	GSM2336308_4m	 GSM2336309_4m	 GSM2336312_4m	 GSM2336316_4m	 GSM2336317_4m	 GSM2336319_4m	 GSM2336320_4m	 GSM2336321_4m	 GSM2336326_4m	 GSM2336331_4m	 GSM2336332_4m	 GSM2336335_4m	 GSM2336342_4m	 GSM2336345_4m	 GSM2336346_4m	 GSM2336347_4m	 GSM2336349_4m	 GSM2336354_4m	 GSM2336359_4m	 GSM2336367_4m	 GSM2336369_4m	 GSM2336370_4m	 GSM2336371_4m	 GSM2336375_4m	 GSM2336383_4m	 GSM2336384_4m	 GSM2336389_4m	 GSM2336390_4m	 GSM2336391_4m	 GSM2336392_4m	 GSM2336398_4m	 GSM2336399_4m	 GSM2336400_4m	 GSM2336401_4m	 GSM2336402_4m	 GSM2336404_4m	 GSM2336405_4m	 GSM2336406_4m	 GSM2336409_4m	 GSM2336413_4m	 GSM2336415_4m	 GSM2336417_4m	 GSM2336418_4m	 GSM2336420_4m	 GSM2336421_4m	 GSM2336424_4m	 GSM2336425_4m	 GSM2336428_4m	 GSM2336429_4m	 GSM2336432_4m	 GSM2336435_4m	 GSM2336437_4m	 GSM2336438_4m	 GSM2336441_4m	 GSM2336442_4m	 GSM2336444_4m	 GSM2336446_4m	 GSM2336453_4m	 GSM2336454_4m	 GSM2336455_4m	 GSM2336464_4m	 GSM2336466_4m	 GSM2336467_4m	 GSM2336468_4m	 GSM2336469_4m	 GSM2336470_4m	 GSM2336471_4m	 GSM2336476_4m	 GSM2336477_4m	 GSM2336478_4m	 GSM2336480_4m	 GSM2336481_4m	 GSM2336483_4m	 GSM2336485_4m	 GSM2336486_4m	 GSM2336487_4m	 GSM2336489_4m	 GSM2336493_4m	 GSM2336494_4m	 GSM2336495_4m	GSM2336112_18m	 GSM2336115_18m	 GSM2336116_18m	 GSM2336118_18m	 GSM2336119_18m	 GSM2336122_18m	 GSM2336126_18m	 GSM2336128_18m	 GSM2336129_18m	 GSM2336130_18m	 GSM2336131_18m	 GSM2336132_18m	 GSM2336133_18m	 GSM2336146_18m	 GSM2336149_18m	 GSM2336150_18m	 GSM2336156_18m	 GSM2336158_18m	 GSM2336159_18m	 GSM2336160_18m	 GSM2336162_18m	 GSM2336169_18m	 GSM2336170_18m	 GSM2336172_18m	 GSM2336173_18m	 GSM2336177_18m	 GSM2336183_18m	 GSM2336184_18m	 GSM2336186_18m	 GSM2336188_18m	 GSM2336192_18m	 GSM2336194_18m	 GSM2336195_18m	 GSM2336197_18m	 GSM2336199_18m	 GSM2336200_18m	 GSM2336201_18m	 GSM2336204_18m	 GSM2336207_18m	 GSM2336690_18m	 GSM2336691_18m	 GSM2336692_18m	 GSM2336693_18m	 GSM2336696_18m	 GSM2336698_18m	 GSM2336700_18m	 GSM2336701_18m	 GSM2336703_18m	 GSM2336707_18m	 GSM2336709_18m	 GSM2336711_18m	 GSM2336723_18m	 GSM2336726_18m	 GSM2336727_18m	 GSM2336729_18m	 GSM2336730_18m	 GSM2336731_18m	 GSM2336732_18m	 GSM2336733_18m	 GSM2336735_18m	 GSM2336737_18m	 GSM2336738_18m	 GSM2336739_18m	 GSM2336744_18m	 GSM2336745_18m	 GSM2336746_18m	 GSM2336747_18m	 GSM2336748_18m	 GSM2336749_18m	 GSM2336752_18m	 GSM2336753_18m	 GSM2336754_18m	 GSM2336756_18m	 GSM2336758_18m	 GSM2336761_18m	 GSM2336762_18m	 GSM2336764_18m	 GSM2336765_18m	 GSM2336766_18m	 GSM2336770_18m	 GSM2336771_18m	 GSM2336772_18m	 GSM2336774_18m	 GSM2336775_18m	 GSM2336776_18m	 GSM2336780_18m
Brat1	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0
Gna12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	135	8	1	38	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	76	0	25	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0
Slc22a18	111	0	0	17	0	0	0	0	0	0	0	0	228	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	68	0	0	0	0	0	0	0	0	0	582	0	0	14	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlat	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	43	54	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	135	0	0	0	5	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	36	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	35	0	0	0	0
Sdhd	0	0	0	0	0	0	0	0	251	449	0	64	0	130	0	0	0	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	83	0	1136	41	0	0	293	0	0	3	26	43	0	96	0	45	116	3	0	0	0	0	56	0	0	193	60	47	0	44	0	201	0	1	0	26	0	178	1	241	0	0	1	5	0	32	0	489	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	70	126	0	0	0	0	75	0	0	0	19	0	0	0	0	0	34	0	0	0	0	6	22	14	0	0	0	39	0	0	0	0	18	4	192	45	0	0	112	0	2	15	0	4	0	1	0	43	0	1	0	384	0	0	0	0	47	0	0	1	172	18	0	0	3	0
Ccnd2	2346	306	7	312	540	465	299	531	346	880	61	20	51	208	235	21	280	206	42	22	649	309	0	39	134	98	6	271	664	22	408	7	791	1850	52	77	0	208	1557	139	2111	8	674	293	797	303	228	275	193	58	14	926	2681	687	35	1017	783	49	2	61	127	16	273	89	555	102	38	1140	889	233	246	594	1375	223	175	466	26	525	38	248	46	1166	515	0	24	10	870	42	25	0	424	59	751	568	690	0	119	425	480	63	497	932	20	0	1	36	46	174	297	447	398	10	533	190	650	283	781	9	1458	43	4	25	39	239	199	0	63	432	104	4	243	402	95	286	786	444	64	33	412	204	21	202	472	1254	17	45	215	113	93	59	1041	179	373	5	313	195	86	400	85	221	527	38	45	0	571	15
Gpr107	1	0	0	178	3	2	7	1	0	4	0	1	3	2	1	25	10	1	5	2	1	1	0	0	8	0	6	0	0	1	3	2	0	0	0	1	0	0	1	42	11	9	0	0	0	0	0	0	0	18	0	0	0	2039	0	0	0	0	0	0	0	1	1	0	0	0	11	86	93	0	0	0	0	0	0	4	0	0	0	5	2	7	0	12	1	12	0	8	0	0	13	1	0	2	0	4	1	0	24	1	11	0	1	0	10	14	0	6	11	19	6	4	19	4	0	0	0	0	11	3	0	0	2	0	0	0	4	0	123	2	0	1	0	0	0	0	0	0	0	0	0	1	2	1	3	6	5	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0
Tspan32	0	578	1	115	248	272	0	327	142	0	0	0	53	29	0	0	83	0	390	0	0	0	23	0	413	97	0	0	254	693	0	5	577	1152	1	188	55	45	1	0	0	0	188	0	1	0	6	145	2	7	149	655	2	318	33	155	164	643	141	129	63	250	40	41	207	88	7	704	0	988	129	49	381	0	1	1553	31	46	1	130	177	329	158	795	0	0	0	0	2	272	264	0	0	0	85	0	1789	0	379	0	617	0	1	0	28	0	0	496	0	21	0	0	16	0	78	799	1	0	0	0	0	0	108	284	27	44	101	1	268	277	120	896	25	257	65	0	0	28	339	136	2	654	0	572	964	1	0	277	336	1	237	0	1	0	0	96	0	108	116	0	138	0	27	1	0	0
Gmpr	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	29	0	0	17	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	386	71	0	0	0	0	0	0	0	0	0	68	414	36	930	0	0	0	30	0	0	0	0	0	0	0	33	0	0	0	0	0	849	0	0	0	0	0	0	0	0	0	39	0	0	0	44	741	0	54	0	10	126	0	233	0	0	0	1	0	0	0	0	0	0	0	0	0	65	1
Trim25	255	5	0	23	0	4	0	0	0	0	1	355	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	120	0	142	0	54	14	0	0	33	1	0	21	0	0	0	14	0	0	4	44	18	0	0	0	0	3	158	0	0	0	10	0	0	0	565	0	0	2	44	19	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	418	0	0	0	0	0	0	2	110	0	0	0	0	53	0	0	0	173	97	0	0	17	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Scpep1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	94	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	351	0	7	0	0	0	69	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
Mnt	282	3	0	14	0	0	0	192	0	0	4	115	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	53	3	0	111	3	0	0	0	0	8	28	59	0	0	0	93	0	0	0	0	0	28	11	110	0	0	23	21	0	0	0	0	0	47	0	0	0	20	2	0	0	0	212	0	0	0	0	0	0	67	0	0	101	87	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	36	0	89	48	0	15	0	0	0	18	0	0	83	0	0	0	0	0	0	30	0	0	0	36	0	1	21	0	0	0	0	0	0	99	0	0	0	357	0	10	0	0	0	85	0	0	0	0	0	0	0	89	0	81	0	0	0	0	0
Hddc2	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	29	0	0	0	0	0	5	0	0	0	0	110	45	0	0	0	4	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	12	0	0	0	0	132	0	0	1	51	0	0	241	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	33	0	0	0	555	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	191	0	0	0	0	0	1	0	0	0	0	1	0	4	0	3	0	0	66	0	0	0	0	28	0	195	0	12	0	0	0
Comt	179	34	0	3	1	221	0	130	0	31	0	144	4	0	0	4	212	0	1	1	44	0	0	0	2	0	2	3	1	1	9	1	1	2	34	0	0	1169	1	63	0	0	0	0	0	1	3	0	0	0	27	2	0	1	0	0	53	0	1	102	7	166	5	0	140	56	0	1	0	6	1	85	0	135	1	7	0	236	2	0	0	0	354	26	2	9	0	22	1	0	632	0	65	1	0	2	125	0	0	3	44	0	1	9	0	0	0	23	205	26	0	3	70	0	0	2	0	0	0	40	163	0	6	25	2	0	0	466	31	433	0	5	0	0	194	0	0	0	64	0	6	2	0	2	5	0	0	0	0	1	0	17	9	53	1	0	3	3	0	347	0	4	27	1	2	0
Dbt	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0	48	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	0	0	179	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	164	0	0	0	0	0	2	0	0	0	11	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	197	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dazap2	99	0	0	2	0	117	1	0	190	0	0	0	564	0	4	2	152	19	0	0	0	0	9	10	144	0	192	1	0	939	75	3	0	235	0	104	92	27	811	1	88	0	1367	2	1	22	163	467	127	0	0	473	1079	1810	1	156	365	1	1	1	6	61	29	41	151	78	11	2	991	123	0	132	534	47	199	1256	5	166	6	184	24	0	97	627	286	0	50	3	196	741	0	22	408	1430	0	302	391	3	9	0	238	187	0	35	170	76	0	198	479	83	12	0	38	0	155	35	2	0	0	161	55	60	162	121	134	305	268	105	372	71	704	399	88	483	274	15	48	49	88	74	120	226	106	0	129	18	19	33	427	1	251	19	86	0	18	0	29	15	25	0	505	85	31	2	273	5
Mcts1	14	31	0	0	0	5	0	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	1	0	0	0	0	0	0	64	0	0	0	24	0	0	0	0	0	0	5	23	0	0	0	2	1	88	0	0	1	100	0	30	0	133	14	0	33	0	0	0	411	256	1	11	0	514	0	0	0	103	0	119	0	92	0	3	0	0	0	0	0	0	345	0	0	649	0	0	29	0	77	0	0	0	0	0	0	0	0	159	0	0	0	0	45	0	0	0	0	0	0	94	7	0	16	0	0	0	0	13	0	0	0	0	42	65	0	0	0	0	0	32	0	0	0	10	0	226	0	178	0	0	112	0	0	0	0	0	12	0	0	0	113	58	46	0	132	56
Trappc10	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	16	0	0	0	62	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	78	38	0	0	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0
Ccm2	46	0	14	3	559	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	21	0	0	42	0	1	0	0	0	1	0	32	0	0	275	0	0	0	24	4	0	0	0	0	0	0	0	0	51	0	0	1	1	0	0	0	0	0	0	4	0	414	0	0	0	0	0	0	23	0	0	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	89	0	0	0	131	0	0	0	0	0	0	0	286	94	0	39	0	93	1	0	0	14	7	180	0	0	0	15	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	62	0	0	281	0	0	0	0	0	0	0	0	4	129	0
Tbrg4	13	0	4	3	0	0	0	35	0	2	0	0	0	1	1	7	0	20	0	0	0	37	0	0	58	53	21	0	3	0	0	21	1	0	0	0	0	0	2	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	0	2	0	18	0	0	0	0	0	2	0	6	822	0	0	0	0	0	0	0	0	0	1	18	0	0	3	10	0	0	0	228	0	9	0	0	81	2	2	5	1	2	0	0	0	0	0	0	0	0	3	1	22	7	24	0	0	0	126	0	0	0	23	0	0	4	0	26	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1	0	290	0	0	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	0	0	0	0	0
