external_gene_name	logFC	FDR
Pdk1	-0.565095995	0.000904153
Runx1t1	1.131425407	0.001507926
Cdc42	0.387511474	0.002962039
Cpt1c	2.178207095	0.000227116
Id3	2.454773314	0.010061236
Relt	-0.868829138	0.001112655
Fut1	3.076588081	0.000240051
Elavl2	5.554637359	0.031247932
Mgst1	-1.161788269	3.10E-05
Dynll1	0.442196472	0.016732967
Trpm5	-3.866593814	0.00308704
Mpo	-5.992548273	1.43E-13
Sardh	1.146353582	0.028875433
Tusc2	-0.691136239	0.037393596
Tex14	7.869888884	8.33E-05
Eya4	6.962200826	4.39E-11
Faf1	-1.128874763	0.022818736
Phlda2	-1.20195467	0.001213065
Exoc3l2	1.271018993	0.000754483
Evi5	-1.10702095	0.046432599
Zfp715	0.496993461	0.015648093
Mcemp1	-2.498725736	0.016057388
Tvp23b	0.408799541	0.049489644
Entpd2	2.085200401	5.94E-06
Npdc1	1.409162462	1.50E-17
Casd1	-1.18331049	0.000137034
Mtmr1	-1.177849729	0.000472713
Slamf1	1.023913231	0.00114512
Cybb	-2.710276662	1.83E-05
Cd48	-2.462580642	2.32E-08
Lpl	1.614517823	1.94E-07
Cers2	0.317249508	0.042259113
Dstn	0.405455874	0.027990509
Fcgr1	-2.506760606	0.032218376
Ncf1	-1.279931473	0.02713868
Fli1	0.314753692	0.049489644
Hsd11b1	-3.091573594	0.021956233
Mpped2	-1.318883503	0.000871528
Lamp2	0.613592727	1.25E-07
Matn4	9.21488217	1.80E-62
Rbpjl	8.964569462	6.37E-11
Cd300lg	-5.66072832	0.006453111
Zfp207	0.376578054	0.006457733
Timp2	-0.932298743	0.035166494
Igfbp4	-0.638302335	0.000103979
Zfp334	1.875907661	0.001840131
Tha1	0.86043635	0.018095411
Pitpna	-0.846563979	0.012889051
Hnf4a	-1.34703572	3.92E-05
Gpx3	1.9022427	0.001337116
Anxa6	-1.412204354	2.26E-07
Il12rb2	-1.912715308	5.07E-05
Gid4	-0.848602645	0.002694668
Dhx40	1.333529229	0.000692282
Dync1h1	-0.677348243	0.0104523
Lsp1	-0.483728768	0.018929637
Ccl6	-1.108742316	0.044496352
Natd1	-0.735693911	0.043514894
Aldh3a1	4.268661397	3.64E-07
Rnf145	-1.000978703	0.001687041
Dpep1	7.349589433	0.011238
Grb7	8.688199784	6.85E-06
Gyg	0.362176575	0.038306547
Cyb561	2.696787815	2.45E-10
Lama4	1.841655741	0.005589211
Perp	1.36681369	0.00030495
Gopc	-0.847887601	0.01705692
Ptprk	2.021600701	1.56E-07
Slc6a15	0.541165742	0.032103398
Tmpo	-0.976688288	0.00402054
Sgk1	1.785033074	1.61E-07
Stx7	0.408111788	0.020056833
Cdk17	-0.739948601	0.021284312
Usp44	1.087983781	0.032700526
Socs2	-1.825417255	2.22E-06
Cry1	-0.972745573	0.023134471
Timp3	1.374988663	3.13E-08
Igf1	-1.681001768	6.35E-05
Dram1	-1.393501567	0.04083082
Srgn	0.447466127	0.010361729
Tysnd1	-1.38354358	0.014050267
Ppa1	0.614865066	0.000144617
Plek	1.267315027	1.41E-18
Elane	-4.878420789	0.001015781
Lgr5	1.348137363	0.018969428
Tcf3	-0.804155864	0.001015781
Glipr1l1	3.090087349	9.87E-05
Jsrp1	2.381054812	0.019045864
Dip2a	-0.921328646	0.020478949
Rhbdf1	-0.924534803	0.027413693
Chac2	0.791543654	0.038683221
Ppp2ca	-1.014461645	0.022875282
Hnrnpab	-1.175376611	0.00308545
Castor1	0.672309743	0.047624087
Efemp1	5.390447638	6.66E-10
Ccdc117	-0.877633707	0.042833909
Rnf187	-1.120051004	0.016756395
Galnt10	-0.867270296	0.028460884
Stxbp4	1.284323365	4.69E-14
Laptm4a	0.341758956	0.033580415
Apob	1.841803956	0.011677834
Itsn2	-1.158548231	0.002148415
Adcy3	-2.199194054	9.14E-06
Dnmt3a	-0.801487819	0.000136706
Itgb3	2.055269454	8.05E-32
Helz	-0.499426841	0.026812339
Aspa	2.58808505	4.83E-26
P2rx1	-0.425061163	0.045331562
Wscd1	7.646336671	0.011227252
Sec14l1	0.617295814	0.000781265
Rflnb	-1.170368432	0.037134809
Hoxb9	3.333993472	0.02176477
Vamp2	-0.620157374	0.016987846
Rcvrn	7.848110309	2.75E-16
Dtd2	0.570405235	0.035836452
Nfkbia	0.585329484	0.001431031
Sptlc2	0.455813389	0.016275148
Sgpp1	-1.331730063	0.006131417
Tmx1	0.373081463	0.018429189
Serpina3n	7.818999313	0.003421044
Plek2	2.864980812	8.74E-05
Tc2n	3.508899441	9.04E-25
Hsp90aa1	0.361932251	0.035836452
Susd3	0.93120738	1.01E-05
Aspn	-7.320719284	0.011937946
Gadd45g	2.285996758	5.03E-07
Syk	-0.578466969	0.002880265
Ror2	2.14289156	9.47E-06
Mctp1	0.377757302	0.018969428
Slc6a3	8.450340761	0.000153419
Vcan	-7.802556701	0.001901502
Ocln	0.976979808	0.000169909
Aggf1	-1.170291792	0.012022621
Scamp1	0.355867013	0.04824644
Slmap	-1.040388762	0.007429114
Sh3bp5	-0.692192272	0.012889051
Tsc22d1	0.912576488	1.34E-08
Tnfsf11	-3.368657484	0.019491725
Rcbtb2	0.381097599	0.028784718
Osmr	8.917008932	1.32E-23
Parvg	-0.458006265	0.011268336
Bcl6	0.889784953	0.034822385
Ly6c2	-4.110585239	3.39E-08
Ly6e	0.388369733	0.006580511
Alcam	1.206320306	7.88E-12
B3gnt5	0.662979182	0.010694193
Zbtb20	-0.641366625	0.006466926
Arl6	0.662954368	0.017996512
Muc13	0.465289483	0.001828365
Cd86	-1.519119197	0.00112517
Pros1	0.99939873	8.42E-08
Slc4a8	2.404239806	0.020790691
Rgn	3.375925439	5.55E-07
Fhl1	1.492328102	2.79E-22
Epb42	-1.570923625	0.030875058
Serping1	1.483447185	0.010468489
Cd4	-3.776625055	2.41E-07
Ache	1.384096555	0.020277908
Tmem176a	0.56212687	0.000160344
Sfi1	-0.684200092	0.009697779
Satb1	-1.378937256	0.01087294
Slc29a1	-0.582342684	0.028784718
Vegfa	-1.689055166	0.002292507
Enpp5	1.712805231	1.37E-30
Enpp4	0.679339695	0.000265023
Tff2	1.324635127	0.023768264
C3	-3.860791143	7.66E-06
Pdia2	-8.539548027	0.002139311
Kdm4b	-0.657447499	0.03257096
Dsc2	2.13604304	0.001574171
Ltb	-1.104340739	6.75E-07
Rab27b	0.677572225	0.005538129
Lmnb1	-1.151481841	0.003712412
Slc27a6	0.719566544	0.002025796
Pdgfrb	0.603810524	0.026588307
Ms4a4c	-7.341704835	1.64E-06
Ms4a6b	-1.007770453	0.000160344
Ms4a3	-2.021349064	0.041714266
Htr7	-5.351293659	0.006348832
Chka	-1.08153971	0.030399009
Vldlr	1.145698727	0.000976616
Mark2	-0.884972952	0.004882483
Msr1	-7.081704818	1.38E-05
Gk	0.722943351	0.013222969
Ablim1	-0.637797615	0.034822385
Rab40b	1.24584921	0.001004254
Kazald1	-1.021177463	0.011238
Hsd17b10	0.402891411	0.04824644
Cd63	0.424241112	0.002348702
Rps26	0.371093917	0.039931569
Nat1	1.827687635	0.002090283
Klhl4	1.474260516	1.84E-24
Cnksr2	-8.219141055	0.001574469
Tmem47	3.194062324	1.56E-13
Alox5	-1.831506861	0.01553349
Il6	6.955876741	0.007235339
Nrp1	-2.135752825	0.03279306
Tspan17	1.128322431	0.004585016
Myo5b	6.05602535	5.92E-05
Casp12	1.275082362	3.71E-09
Rb1cc1	-0.883776272	0.008625018
Ctla4	4.079563756	0.005489699
Il18rap	1.240373583	5.78E-07
Il1rl1	-7.315668547	0.022611977
Il18r1	1.497761242	0.001448256
Il1r1	1.076710845	0.000184744
Rev1	-0.868945635	0.044496352
Nabp1	0.646448476	0.023674032
Cyp27a1	-2.70202557	0.000228778
Fn1	-2.136432951	0.001460359
Obsl1	-1.306315637	0.001378557
Pdcd1	6.184999955	0.027242759
Serpinb8	1.296815876	0.000168528
Rgs18	0.607006389	2.42E-06
Rgs1	1.030022544	1.21E-06
Epb41l5	1.01788034	0.000875181
Cd55	0.630985463	0.014898468
Chit1	-8.386498036	0.015874702
Rgl1	-1.708782591	9.99E-06
Coq8a	0.541566391	0.001892769
Acbd3	-0.802341318	0.013205106
Tagln2	0.355811409	0.014298099
Slamf9	4.115016108	0.021506376
Mpzl1	0.609286914	0.001692715
Selp	4.090171202	1.27E-81
Soat1	0.462733147	0.04824644
Plxna2	-1.920479886	0.022774795
Uhmk1	-0.848349158	0.008117149
Uap1	-0.440908684	0.044703573
Tnfsf4	1.131777257	0.000838289
Plxdc2	-1.449605535	6.79E-10
Ptges2	-1.207061786	0.00584036
Nr4a2	1.309926965	0.047523071
Cytip	0.826795963	7.21E-07
Fcnb	-6.534182581	0.004921169
Stom	0.618559649	0.002698702
Notch1	-0.935620336	0.007612939
Fcna	-1.249592832	0.023077395
Itga4	-0.442962237	0.020947635
Dhrs9	-8.803682954	0.000103979
Slc12a6	-0.494906153	0.030875058
Cat	-0.449761515	0.014063302
Myef2	-1.064749582	0.033572972
Meis2	2.016002897	0.006457733
Slc28a2	-0.644826347	0.023674032
Sord	0.417249308	0.005238216
Hao1	8.09026524	2.32E-06
Cdan1	-1.523078782	0.002581398
Spint1	3.664847994	1.33E-08
Siglec1	-3.059474288	0.039330276
Stard7	-0.852859274	0.00690576
Prom2	2.649054512	6.28E-18
Lpin3	4.487646755	0.030302959
Polr3f	-0.626260622	0.021731495
Dnmt3b	-0.755917626	0.009468526
Procr	0.593281961	0.009468526
Src	-1.358973409	0.008879697
Ttc14	-0.827331747	0.021762954
Anxa5	0.476501267	0.000888883
Dhx36	-0.748305019	0.020309417
Sis	4.77763406	8.14E-12
Tm4sf1	4.229446827	9.98E-27
Wwtr1	3.910667036	9.38E-42
Notch2	-1.032077115	1.68E-07
Efna1	1.451956679	3.34E-10
Col11a1	7.231316999	0.008117149
Trim2	2.075638888	0.001998238
Ctso	0.500231611	0.035787037
Pdgfc	-1.630813866	0.013573423
Dnajb4	0.526621947	0.022962486
Ash1l	-0.814881624	0.003988025
Khdc4	0.555109583	0.00912606
Dclk2	-1.167486138	0.029395398
Abca4	2.511018613	7.03E-16
Rorc	2.006912109	1.14E-10
Tspan5	-1.057663045	0.041409724
Dapp1	0.366043074	0.023082434
Ppp3ca	-0.893355766	0.003033123
Gem	0.923982074	0.000875181
Mmp16	-2.497725188	2.37E-06
Atp6v0d2	7.662376363	9.88E-05
Nsmaf	-0.816571414	0.016471894
Sdcbp	0.595843314	1.07E-07
Rragd	5.878554141	9.23E-07
Anp32b	-0.751967175	0.011238
Coro2a	-0.736666129	0.003243184
Snx30	-0.790305126	0.00308545
Bag1	-1.149992532	0.018637202
Epb41l4b	-1.086885604	2.98E-06
Enho	-1.951728288	0.006184862
Cd72	0.585986674	0.026763371
Glipr2	-0.628062353	0.003322639
Psip1	-1.034259349	0.010167415
Hacd4	0.58365313	0.000228778
Bend5	-0.801659383	0.038783977
Cdkn2c	0.862494028	0.014157307
Rnf11	-1.000981805	0.034224796
Usp1	-1.026841169	0.014154907
Fggy	0.63043906	0.031652715
Tnfrsf8	7.125641103	0.00986596
Lrrc42	0.62905463	0.039795752
Ybx1	-0.788616266	0.021686549
Rragc	-0.66599638	0.02898083
Srsf10	0.363481915	0.048998486
Prdx1	0.374910184	0.013308515
Pomgnt1	-0.847494817	0.011459666
Pdzk1ip1	0.385179646	0.035797016
Pink1	-1.098205212	0.000260346
Maco1	-0.653687846	0.004318455
Cnksr1	2.805701956	0.015757748
Csf3r	0.597934964	0.013205106
Ptpru	1.304892737	0.034947597
Per3	-0.959647213	0.016985147
Abcb1b	0.817755723	0.000328109
H6pd	-0.915842701	0.012915408
Tprgl	-1.024019324	0.015220704
Arhgef16	1.514282376	0.007449902
Prkcz	3.906028037	2.30E-07
Cd38	1.93309158	1.26E-16
Evc	1.168595384	0.006979977
Fosl2	0.892842391	0.046458822
Apbb2	1.060776178	0.002962039
Gnpda2	0.455809207	0.017442447
Gabra4	5.279824715	1.00E-05
Uchl1	1.116465224	0.04722383
Epha5	-5.120844167	0.041640422
Pigg	0.640854053	0.029001101
Dr1	0.558754085	0.002025796
Spp1	1.016069616	0.023674032
Coq2	-1.208081695	0.009958306
Plac8	-2.211173832	1.99E-19
Antxr2	-0.717678024	0.012015541
Cxcl5	8.496835406	0.007492549
Wdr66	3.912887476	0.002094185
Ankle2	-0.919210984	0.00158295
Ddx51	-0.551170428	0.039931569
Lfng	-1.077802535	0.00093081
Wipi2	-0.533706727	0.029791386
Fscn1	-1.848064777	1.55E-11
Rbm19	1.45582671	1.32E-08
Sdsl	0.705150083	1.99E-05
Usp12	-0.972207898	0.031552061
Rasl11a	2.01418835	7.99E-05
Tspan12	1.634849103	0.00778063
Fam3c	-0.49177145	0.025193583
Ephb4	-1.77995993	0.000188592
Nt5c3	0.600671158	1.93E-05
Sspo	-4.732891518	0.005086468
Gpnmb	7.661339115	0.000627709
Tra2a	0.66828573	0.033580415
Zyx	-0.331195379	0.021506376
Hpgds	1.735759963	2.99E-09
Adamts9	7.572337605	0.000296059
Gkn3	1.685834201	0.012063491
Gp9	0.722772506	0.011941543
Rpn1	0.363426552	0.047131
Foxp1	-0.464317541	0.016182246
Aldh1l1	0.658751407	0.001924691
Bhlhe40	1.099828009	0.00016
Gdf3	-0.912092587	0.001186212
Plxnd1	-1.552892328	0.010025903
Tuba8	0.801909283	0.04185933
Clec4e	0.758804398	0.03540563
Cd69	-1.647729418	2.59E-05
Klra2	-7.350827232	0.01868225
Etv6	-0.350915552	0.020767601
Art4	0.70811015	4.77E-05
Erp27	1.347338911	1.72E-06
Sspn	2.150985531	0.00028935
Camk1	0.575493722	0.006287382
Etnk1	-0.777413946	0.018787995
Il17rc	1.83238994	0.001477144
Cmas	-0.909801719	0.034362248
Far2	1.826989274	9.49E-05
Dennd5b	0.930463293	0.036391381
Klrb1c	2.117264604	2.78E-10
Cd9	0.753702788	6.37E-07
Siglece	-3.116872833	0.003042507
Chrna7	4.189301161	0.018735473
Synm	2.021517699	0.018986817
Ttc23	1.597641448	0.00907631
Ctsc	0.40719609	0.011636974
Tyrobp	-1.501217451	0.000626891
Smg1	-0.972586522	0.005148981
Nupr1	2.746007795	3.77E-27
Cd19	-4.040289199	0.02898083
Syt3	1.241673392	0.005291248
Myh14	7.980794018	6.71E-19
Zkscan2	2.783894757	0.002831327
Cd37	-0.686354786	0.0477699
Gga2	-0.836273758	1.82E-05
Wee1	-0.823271691	0.000659924
Eif3f	-0.705870723	0.017581161
Tnni2	-2.534770483	0.001041085
Elf4	-0.463152811	0.043839226
Otud5	-0.924942906	0.042601449
Acsl4	0.426694785	0.044633963
Adgrg2	2.969142107	7.25E-27
Rps6ka3	0.662194072	0.003867996
Arhgap6	0.610656009	0.00907631
Car5b	1.064638236	0.024545985
Bgn	0.698249483	0.002552271
Irak1	-0.587024616	0.044891347
Lamp1	-1.239627353	0.012889051
Col4a1	-0.725854422	0.001336858
Col4a2	-1.22157296	2.73E-07
Ptpn7	-0.493375703	0.041224681
Tnks	-0.578691013	0.049072099
Sfrp1	1.231126263	0.043503011
Adam9	0.687171466	0.03909898
Wwc2	-0.87488183	0.0479194
Gsr	-0.87194247	0.039330276
Tlr3	1.058087468	0.047448906
Sh3rf1	0.869973439	0.034863349
Mfap3l	1.605237163	0.025631657
Adcy7	-0.415479145	0.029949328
Il15	-0.708596725	0.016343513
Hp	-1.975934189	0.023977799
Mmp2	-1.587192616	0.001508206
Amfr	-0.841373561	0.016567286
Mt3	3.564626321	0.047686766
Mt2	5.522712256	9.08E-12
Mt1	3.712901368	4.93E-53
Cx3cl1	-1.512900877	5.11E-06
Zdhhc7	-1.178163943	0.004754404
6430548M08Rik	-2.147843517	0.016756395
Pgr	2.008176131	8.29E-07
Ces2g	1.001962104	8.96E-06
Nfatc3	-0.684988199	0.000659924
Ldhd	1.405871505	1.05E-05
Jam3	-0.896208371	0.01229745
Aplp2	0.603341141	5.02E-05
Trpc6	0.445679891	0.039931569
Pdgfd	0.741543748	0.01246915
Nxpe2	1.417279713	0.040030161
Kcnj5	8.253668439	9.00E-05
Ddx6	-0.600507285	0.00182583
Robo3	1.51266373	0.003731486
Abcg4	-7.481737891	0.003755007
Myo1e	1.895375905	9.71E-07
Anxa2	-0.710140156	0.00679016
Calml4	1.15600434	0.026090495
Pkm	0.377469901	0.009253831
Fbxo22	0.455731888	0.015874702
Nrg4	1.266814504	0.001536139
Neo1	1.25852422	0.002404115
Plscr1	1.091893549	3.28E-09
Plscr2	5.040178553	3.57E-117
Plscr4	0.597481432	0.000493402
Rbpms2	1.575956509	6.52E-12
Smad3	-0.790162757	0.000137034
Crtap	-1.006454346	0.047593677
Ngp	-3.901097982	0.000328467
Amotl2	2.766591659	2.48E-21
Acpp	1.385055497	1.60E-05
Uba7	0.518032225	0.008847029
Atxn2l	-0.599841357	0.023975422
Cd59a	0.797799913	0.047125846
Sbspon	4.673931374	7.64E-28
Folr2	-4.504345165	0.011849903
Ccdc88a	-0.909179808	0.000871186
Heyl	-7.72801453	0.018637202
Gng11	0.653318277	2.29E-05
Trpc1	3.317399322	0.001040302
Abcc10	0.98594698	0.011368575
Ugt8a	3.351290418	0.022521798
Fbxw8	-1.031959144	0.015311799
Fbxo21	-0.433900335	0.021731495
Adgre4	-1.37834996	0.01481209
Clec1a	1.99013801	1.40E-21
Slc22a15	-1.139719505	0.011300064
Lpcat2	-1.15104714	0.010167415
Ttc28	-1.137999095	0.000478445
Rpgrip1l	0.913808281	0.038872029
Myo6	0.744281573	0.009646778
Ndn	0.771888284	8.01E-07
Cep350	-0.933255911	0.00057987
Qsox1	0.50039005	0.003004488
Vav3	-0.615631581	0.018240284
Lgals3bp	0.428251843	0.00055258
Zswim5	6.082027868	4.56E-05
Ptgdr2	-6.952552694	0.006291099
Tpst1	-0.862948308	0.044606175
Srsf2	-0.941526897	0.019313048
Tspan8	1.538383807	0.049223371
Cipc	0.449602762	0.036072262
Ogt	0.607466291	0.011665952
Faah	-0.909660528	0.001224448
Senp6	-0.65915086	0.04824644
Trim59	-0.87108693	0.011603492
Cbl	-0.658886353	0.022818736
Mtmr3	-1.090309122	0.00035887
Diaph2	-0.88012571	0.022229983
Poglut3	-1.052432634	0.007659549
Myo5a	-0.819019731	0.004488214
Tut4	-0.708378902	0.02898083
Pik3ip1	0.503713741	0.033589993
Ly6d	-3.40267217	0.007801837
Lrrn1	6.063202639	8.45E-11
Itga2b	1.235734179	5.93E-07
Gns	-0.768097163	0.037917691
Map4k5	-1.357756429	0.000897568
Dusp5	-1.660675417	0.00083753
B3galt1	2.866674279	0.000905946
Zfp661	0.954220428	0.006770187
Colgalt1	-0.9505422	0.023546062
Tet3	-0.978779882	0.003052765
Tbxa2r	1.063396251	0.000192734
Sidt2	-0.942046547	0.003588307
Pygo1	-4.901392565	0.004154109
Hrh2	1.072471572	0.006613295
Igsf6	-2.653252364	0.000218301
Ccl5	-3.965387823	0.01281687
Secisbp2l	-0.733717302	0.015561166
Neu3	0.703342167	0.008683655
Uvrag	-0.557575338	0.045206832
Ccl2	3.454266212	0.023434573
Myo1d	0.69645843	0.045024944
Slc25a21	2.802484169	0.001623321
Mbd3	-0.754158916	0.025889869
Gnptg	0.603390232	0.016582033
Dcaf10	-1.022294365	0.049223371
Sbno2	0.483492098	0.016182246
Kiss1r	1.656944166	0.01024743
Plppr3	0.477690822	0.024190272
Palm	-1.050872887	0.039173311
Cerk	-1.280632729	0.000968783
Cd276	1.29599139	0.001882674
Acss3	4.027816762	0.000951973
5031439G07Rik	-1.005557576	0.025758315
Slain2	-1.237642679	0.007551585
Rorb	4.481515039	1.24E-15
P2ry13	-1.421526766	0.043067878
P2ry14	-1.407872113	4.31E-06
Greb1	8.389278067	5.28E-05
Ttyh3	-0.809559793	0.026155772
Rfxap	-1.086944045	0.045863808
Atp13a2	-1.083851838	4.43E-05
Tmtc3	0.684488892	0.041632522
C1qc	-1.132459326	0.044329863
Neto2	-1.533928452	0.001378557
Kif1bp	-1.057488179	0.015403659
Apln	-1.30975145	0.015648093
Sik2	-1.01828614	0.002962039
E330009J07Rik	-0.771392086	0.025148036
Islr	-1.128691643	0.006255565
Mex3c	-0.749397821	0.009303342
Rsrp1	0.712784708	0.032677681
4932438A13Rik	-0.580531563	0.034111102
Ovol2	3.683705795	0.030862876
Galnt6	1.007819686	1.26E-07
Man1c1	-0.92344042	0.033270019
Mfsd2b	0.942360317	0.049489644
Ccn3	-6.103485561	1.30E-12
Enpp1	0.848229252	0.045682906
Ctbp1	-1.05141661	0.0169706
Fam168b	-0.826178778	0.003322639
Pank2	-1.025690484	0.023062125
Kdf1	1.581516436	0.001172428
Prkci	-0.883237397	0.020981771
Themis2	-0.888743737	0.004488214
Nek5	-4.839109647	0.003988025
Ppp1r16b	0.894339522	0.00261286
Dzip1l	8.160531647	0.000493402
Vopp1	0.412986366	0.049708125
Tgm2	0.941823014	3.14E-10
Ackr1	4.818491985	3.77E-12
Sirpa	-0.904005117	0.000704861
Bank1	-2.561385557	2.66E-06
Ccdc92	1.56384264	0.001183946
Rmi2	-1.427178646	0.011797704
Kmt2c	-1.030481282	0.001180617
Galnt11	-0.809509666	0.024190272
Spon1	3.453684477	0.00052622
Slc43a2	-0.891582071	0.001092792
Trpm4	1.032828928	0.009345807
Galnt18	3.140609253	0.001011761
Mlxip	-0.637411651	0.023975422
Camp	-3.114061414	0.031954034
Pcp4l1	0.61994344	0.003803728
Rras	-0.880661075	0.003303415
Olfml2b	-9.69667534	1.26E-07
Reep2	1.361415141	0.000130442
Cep85l	-1.026100978	0.026319575
Dock10	-0.892817952	3.49E-05
Tm6sf1	-1.235460465	0.000316751
Ctss	-0.916415367	0.008992869
Herc1	-0.857766057	0.000131786
Mindy1	0.540443982	0.001920492
Pbx3	1.215961414	0.000527388
Hoxb7	1.959716691	0.018786227
Alpk3	-1.15514953	0.006179992
Hace1	-1.003201741	0.001574469
Fam117a	-0.574401928	0.026166042
Slco4a1	0.874888483	0.000209018
Siglecf	-2.41875557	0.016033648
Arpin	1.352169408	0.000130442
Anpep	-1.025188368	0.045498827
Itga9	-2.593142373	0.006071918
Gipc2	9.734428239	9.14E-17
Camk1d	-1.629071531	2.09E-05
Orm1	-7.058192554	0.040746252
Tgfb2	-7.419532392	0.000748717
Gimap3	-1.342361777	0.027232594
Tnfsf10	0.567190951	0.019958603
Ncam1	2.163472491	3.10E-08
Prex1	-0.955464862	0.0054056
Hnrnpu	-0.584607875	0.016567286
Nploc4	-1.153496119	0.000781561
Trp53rka	-1.152046935	0.021437652
Kmo	-6.587610502	0.041632522
Arhgap29	0.810764981	0.000227116
Rere	-0.699848019	0.001817124
Spsb1	3.994700894	0.038557536
Zfp292	-1.069456099	1.13E-06
Cbx4	-1.021751496	0.039494735
Slc7a5	-0.90400653	0.018970917
Elavl1	-0.90549157	0.023674032
Plcb2	-0.555819149	0.002025796
Klhl42	-0.645729794	0.034608226
Pnrc1	-1.054342516	0.010069328
Ndp	7.069255041	0.005233876
Thbs1	-2.375483234	0.025602495
Dnm3	2.913758718	1.88E-06
Nsmce4a	-1.247600459	0.007476489
Arhgap9	-0.633616936	0.016610469
Abhd13	-0.853399073	0.041632522
Large2	1.251178531	4.74E-05
Adam22	-0.69687416	0.038548318
Gstm2	3.34959586	8.87E-22
Abcb1a	1.647668801	6.75E-06
Pogk	-0.632263918	0.040532172
Efhd2	-1.273261143	0.003755007
Col16a1	1.2577713	3.29E-19
Limd2	-0.862161257	6.75E-07
Cyp2s1	6.679985748	0.006010828
Creg1	0.298279202	0.0392256
Cd53	0.794891883	0.001759051
Chil3	-5.386430786	5.11E-06
Dlk1	1.160619311	0.016586405
Atp1a3	-3.187311921	0.004602302
Sh3kbp1	-0.853161595	8.12E-05
Irgq	-1.012165552	0.016537667
Brca2	-0.759137839	0.032103398
Pklr	-6.646616748	0.04722383
Tox	0.786046978	0.001714503
Sntb2	-3.281435673	0.000337379
Fbxo2	2.010072298	0.005162753
Klf8	1.083038582	0.001830558
Bivm	0.478978796	0.046357645
Coro2b	-0.869025036	0.03540563
Trem3	-3.315064413	0.001112655
Oasl1	-1.212158372	0.007638959
Ptpre	-0.770135218	5.71E-07
Fhdc1	3.110521426	1.19E-24
Ankrd13a	-0.794897864	0.004201004
Pkp2	1.468859606	0.047686766
Mettl8	0.779186058	0.00797499
Acacb	1.159179338	0.026133137
Klhdc8a	2.371106396	0.026115235
Ssh1	-0.524786374	0.0479194
Rassf4	-1.556141746	2.23E-06
Slc35f2	0.983319891	4.56E-05
Trem1	-8.899780091	0.000400044
Gjb3	-1.1797419	0.004421321
Fam83g	2.40141761	0.001668399
Mindy2	-1.028124546	0.004395654
AA986860	1.847092515	1.25E-05
Ube2q1	-0.954302799	0.022962486
Sh2b3	-1.704282166	1.56E-05
Kdm7a	-0.725865082	0.041066584
Asb4	1.488805469	0.000411625
Stk40	-0.78161535	0.046332181
Trim46	1.048587336	0.024636756
Muc1	4.874942177	4.25E-19
Fgf11	-1.336007154	0.012424725
Nhlrc3	-0.6517319	0.016275148
Gng2	-0.475862629	0.017098147
Synpo	2.902873342	0.005176114
