Gene.symbol	logFC	adj.P.Val
Rdh10	1.662707717	0.002178146
Zg16	2.437963924	0.002178146
Exoc3l4	1.879759645	0.002254661
Clu	3.301910174	0.002254661
Camk1d	-2.172894569	0.002254661
Gda	3.182190475	0.002254661
Agtr1a	2.866212454	0.002312752
Abca4	2.472515188	0.002493373
C030034E14Rik	1.787323134	0.0025344
Oxr1	1.256113134	0.0025344
Lpar6	1.429686347	0.0025344
Prkag2	1.336430884	0.0025344
Osmr	3.694586857	0.0025344
Ripk4	3.598039939	0.0025344
Ldhd	1.587982323	0.0025344
Ocln	1.66926751	0.0025344
Alcam	1.545652514	0.0025344
Enpp5	2.425141592	0.0025344
Klhl4	1.661093695	0.0025344
Kdr	1.389678104	0.0025344
Fap	3.989568416	0.002539236
Eya4	3.191779362	0.002635527
Kdf1	2.688192559	0.002695037
Pik3r1	1.647580955	0.002778162
Tox	1.495845515	0.002937577
Scd1	2.295021135	0.002937577
Emp2	1.334022035	0.002937577
Ntn4	3.019646899	0.002937577
Art4	1.557193956	0.003150902
Sfrp1	1.893515685	0.003164277
Slc22a3	-1.530232273	0.00320278
Jam2	2.700653157	0.00320278
C4a///C4b	1.651473071	0.003423831
Eif3j2///Eif3j1	-1.99576143	0.003510111
Fhl1	1.12896536	0.003779578
Ptger4	1.835781628	0.003823109
Dzip1	1.121252913	0.003832604
Bmpr1a	2.058222653	0.003832604
Ptprk	2.657605241	0.003832604
Selp	2.705517688	0.003832604
Tyrobp	-1.642904997	0.003832604
Tmem56	2.561635058	0.003832604
Pros1	1.201036934	0.003832604
Gabra4	3.125022735	0.00386108
	-3.132204882	0.00435736
Ccnj	1.733882852	0.00435736
Mmp14	1.727761226	0.00435736
Rab40b	1.734467887	0.00435736
	1.875546905	0.00435736
Sdpr	2.607854193	0.00435736
Ifngr2	-1.453488699	0.00435736
Tbc1d8	1.283994896	0.004383248
Meis2	1.984008421	0.004598879
Phactr1	1.77215421	0.004772605
Abcb1a	1.323714744	0.004887761
AA986860	1.258426607	0.00500271
Ldhd	1.60978985	0.00500271
Gpr146	1.16393999	0.00500271
Mt1	2.918932038	0.00500271
Cntn1	2.770110037	0.005224156
Slamf1	1.080048771	0.005365017
Trim47	1.299725853	0.005553054
Jam2	2.244275092	0.005563577
Dmd	1.027395116	0.00564328
Rnf168	-1.054002898	0.00564328
Clu	3.463020523	0.005898169
Pbx1	1.123348895	0.005932604
Exoc6b	1.23876377	0.006052095
Irf6	1.008407239	0.006052095
Rhoj	1.806262386	0.006052095
Alcam	1.39926327	0.006052095
Cpeb2	1.708336373	0.006052095
Rassf4	-1.58268739	0.006088913
Gda	2.184521096	0.006088913
Arhgap30	-1.38284727	0.006088913
Oxr1	1.392109713	0.006088913
Dsg2	2.176716009	0.006096322
Neo1	2.19099543	0.006234444
Dnajc2	-1.126595577	0.006431003
Xdh	1.900755165	0.006468672
Samsn1	1.033280181	0.006531704
Acsl4	1.092949519	0.00682347
Abcb1b	1.252703384	0.007257906
Tmem254b///Tmem254c///Tmem254a	1.314918992	0.007325266
Pip5k1b	1.033477283	0.007325897
Chek1	-1.251354132	0.007644467
Nrg4	1.902468061	0.007671269
Irf2bpl	1.670232242	0.007755165
Gstm2	2.534558988	0.007910223
Rhobtb3	-1.512598447	0.008062558
Peli2	-1.422335406	0.008062558
Dnm3	2.018662688	0.008062558
Ncf4	-1.60984907	0.008081334
Cpne8	1.794114572	0.008081334
Casp12	1.032715069	0.008227219
Ctr9	-0.897973364	0.008254305
Aldh5a1	1.208730951	0.008277004
Gm5148	1.65754755	0.008277004
Epdr1	1.355371272	0.008277004
Dhrs3	2.303749359	0.008277004
Dnajb6	1.182977012	0.008403803
	-3.758638127	0.008403803
Sema7a	1.092742526	0.008403803
Myof	1.412520382	0.008432701
Eya1	1.041231947	0.008432701
Ampd3	1.321158896	0.008432701
Zg16	3.276937077	0.008432701
Clec1b	1.418164561	0.008432701
Crebl2	1.060582394	0.008783427
Fmnl2	0.922462735	0.008801713
Pclo	2.243632431	0.008801713
Bmpr1a	2.445236269	0.008831491
Hoxa1	1.140163688	0.008860117
Ptger4	1.137972191	0.008940253
Zc3h6	1.556267149	0.008940253
Rps4l	-1.732397396	0.008940253
Cysltr2	1.716098835	0.008940253
Farp1	1.563430214	0.008940253
Rgs7bp	-1.658784587	0.008940253
Cd86	-1.596521015	0.008962908
Evc2	1.215949861	0.008962908
Cd38	2.769466117	0.009217432
Plek	2.032920542	0.009344883
Id2	1.583742156	0.009388648
Mier1	0.81526946	0.009456618
Sulf2	0.972681593	0.009489556
Mcm5	-1.025551302	0.009685231
Tmem47	1.752395184	0.009685231
Prtn3	1.308002621	0.009685231
Itgb3	1.632987818	0.009758625
Prcp	1.181993914	0.01001053
Sspn	2.81722311	0.01001053
Gadd45g	2.675483476	0.01001053
Ddr1	2.570384679	0.01001053
Asph	1.06461082	0.01001053
Fam63a	1.012816699	0.01001053
Gna13	-1.400604348	0.010090778
Baz1b	-2.371652967	0.010390542
Dgkh	0.92223518	0.010459492
Mt2	2.211548024	0.010541582
Pgr	1.504844224	0.010560196
Kcnk6	1.266714452	0.010833916
Itga6	1.175180028	0.010959963
Nampt	0.953423339	0.010959963
Nrg4	1.528635186	0.010959963
Dsg2	2.292076466	0.010959963
Cd200r4	0.933058463	0.010959963
B3galt1	1.78422196	0.010959963
Pnn	-1.570560583	0.010959963
Cited2	0.891578981	0.010959963
Vmp1	1.339417253	0.010959963
Col16a1	0.864150866	0.011055753
Runx1t1	1.495684665	0.011090767
Tmem30b	2.638555328	0.011090767
Rnase6	-1.313715143	0.011090767
Dennd5b	1.993923954	0.011191353
Abat	1.759691461	0.011191353
Fam63a	0.962466773	0.01119278
Tm6sf1	-1.509588951	0.01119278
Sbf2	1.286072197	0.011498583
Mef2c	1.035560574	0.011498583
Rbm5	-1.323025758	0.011498583
Sell	-2.074521571	0.011498583
Rorc	1.117528708	0.011498583
Cdc6	-1.175382257	0.011498583
Dnmt3b	-0.987851366	0.011498583
Cit	-0.94684048	0.011498583
Map2k7	-1.502859992	0.011498583
Cyyr1	1.197684832	0.01167727
LOC102641248///Maf	2.879367594	0.01167727
P2ry14	-1.27525625	0.01167727
Zfand5	0.878961878	0.01167727
Mettl20	1.381501296	0.01167727
Cbx5	-0.97645831	0.011757384
Alcam	1.252298444	0.01178333
Pgr	1.770493359	0.011848886
Vim	-0.931584042	0.011848886
Ctsc	1.630449436	0.011883519
Ddx39	-0.772407505	0.011899614
Pbx3	1.18018433	0.011899614
Pip5k1b	1.204579199	0.011899614
Aspa	1.637337484	0.011899614
Hpgd	-1.993615321	0.012079683
B9d2	-0.785796398	0.012079683
Selp	2.621367867	0.012079683
Klhl24	0.844627727	0.012079683
Nckap1	1.286258247	0.012079683
Sat1	1.378041161	0.012130084
Rarb	2.448412975	0.012191168
Trib2	1.174953465	0.012238889
A730089K16Rik	2.009660631	0.012268896
Phf11d	1.720948635	0.012268896
Nudt10///Nudt11	1.342294496	0.012268896
Dsg2	1.19125764	0.012312498
Prnp	1.000955824	0.012439379
Asph	0.918717938	0.012510514
Gm10419	2.471943627	0.012725723
Mcm5	-1.01663961	0.012868532
Ubtf	-1.011737715	0.0130962
Dcaf12l1	0.757534441	0.01315365
Cldn5	3.636886151	0.013185898
Nabp1	1.057602724	0.01322987
Plek	1.559975766	0.01322987
Ptgfrn	2.095966066	0.01322987
Wwp2	1.115990596	0.01331226
Ncf1	-1.599941413	0.01334138
Nabp1	1.08402084	0.013416926
Plscr1	1.072789177	0.013416926
Plxdc2	-1.500361447	0.013497026
Shtn1	1.198641804	0.013562622
Mthfd2	-0.995758143	0.013789238
1700024P12Rik	-0.987194113	0.013789238
Mylk	0.928902142	0.013789238
Rrm2	-1.60841595	0.013789238
Gm2808///Tulp4	1.186245843	0.013923439
Itga6	1.122075065	0.01402574
Gpld1	1.150834232	0.014072901
Asf1b	-1.164278358	0.014072901
Ezh1	1.198242171	0.014146984
Gclm	0.82670103	0.014193971
Zcchc14	0.85505821	0.014277434
Greb1	1.996367772	0.014302494
Pank1	-0.811624686	0.014302494
1810073O08Rik	1.542526519	0.014302494
Clec1a	2.278514609	0.014302494
Shroom2	1.034666107	0.014422193
Hn1	-0.763778633	0.014464087
Nabp1	0.98059823	0.014464087
Ghr	1.224598853	0.014464087
Elmo3	0.904103279	0.014464087
Trp53	-0.767262469	0.014465181
Gm3579	-3.84175139	0.014682572
Atic	-1.188540289	0.014758987
Epb41l3	-0.875460562	0.014758987
Asb4	1.507341004	0.014758987
Ercc6l	-1.243745882	0.014902302
Slc7a7	1.38692637	0.014902302
Cyb561	1.753067135	0.01497639
Kmt5a	-0.866758077	0.015467815
Serpinb6a	1.015335276	0.015467815
C1qb	-0.86591437	0.015708198
B3galt1	1.186912136	0.015708198
Procr	0.771538881	0.015708198
Tmem215	1.492505167	0.015840951
Neo1	1.990798456	0.015995056
Prcp	0.816949975	0.015995056
Prkag2	0.898850455	0.016049939
Csrp1	1.613611443	0.016049939
Nav1	1.441217806	0.016390215
Arhgap29	1.322988758	0.016442797
Zfp932	1.023029971	0.016442797
Prune2	1.631333109	0.016442797
Zswim5	1.731429368	0.016478028
Tmod3	0.792642788	0.016527416
Ugt1a1///Ugt1a6b///Ugt1a9///Ugt1a5///Ugt1a7c///Ugt1a10///Ugt1a6a///Ugt1a2	-1.326006577	0.016721657
Stxbp4	1.376833945	0.016770966
Trp53	-1.068587843	0.017010393
Runx1t1	2.046420376	0.017105841
Ndrg1	1.005002136	0.017576187
Pten	0.749586285	0.01770095
Tgm2	1.185662137	0.017827896
Plxdc2	-0.912974361	0.017827896
Rgn	2.390086522	0.017827896
Prim2	-0.957248454	0.01801556
Mgea5	0.961062303	0.018027074
Lgals1	-2.19995437	0.018027074
Ipcef1	-1.115124732	0.018140227
Ddx39	-0.711853364	0.018142589
Rasgef1b	1.092724518	0.018142589
Ddr1	1.188702077	0.018249232
Lmnb1	-0.819458754	0.018332634
Serinc1	1.195426954	0.018332634
LOC664787	1.045786869	0.018332634
Ccdc149	0.672862821	0.018332634
Abcb1a	1.293248387	0.018332634
Pfn2	2.154674996	0.018332634
	-1.515212603	0.018332634
Sgms1	0.785568629	0.018332634
Ccne2	-1.598928125	0.018332634
A030001D16Rik	-1.500604519	0.018332634
Fhdc1	1.401802304	0.018332634
Dmd	1.245871437	0.018332634
Fam63a	0.718771459	0.018332634
Rasgrf2	1.210159187	0.018332634
Gpcpd1	0.846774496	0.018332634
Smtnl1	1.122494615	0.018332634
Lrrn1	1.573213879	0.018332634
Nr1h4	1.300294551	0.018332634
Arhgef28	1.010913764	0.018332634
Ndrg1	0.932719315	0.018332634
Stxbp4	1.3133516	0.01833851
Aqp9	1.515429124	0.018593037
Ets1	1.062926919	0.01861451
Cdc73	0.991349616	0.01861451
Cytip	0.904236808	0.018774472
Tmtc2	1.216821781	0.01879995
Gm17167///Gm21093///Gm21075///Gm3893///Gm10600///LOC100041536///Gm2163///Gm7819///Gm5859	0.878722077	0.018946331
Csf2rb	-2.23867722	0.019022955
Chek1	-1.069226449	0.019473386
Srm	-0.83653835	0.019834543
Lrr1	-1.391648028	0.019834543
Gls	0.738882139	0.01993171
Ifrd1	0.961424455	0.01993171
Pcyt1b	0.990322175	0.01993171
	-1.461351423	0.01993171
Tgm2	1.344162573	0.020064389
Nr3c2	1.565541617	0.020064389
Fyb	0.97603782	0.020190903
Gins3	-0.861189094	0.020398403
Fam169a	2.051854401	0.020401769
Myom1	1.530302838	0.020568452
Ypel2	1.147959724	0.020568452
Mb21d1	-0.82464917	0.020637622
Clec7a	1.091915513	0.020637622
Ddx39	-0.74004787	0.020637622
Rassf6	1.260281672	0.020730434
Lgals1	-1.775031411	0.020778919
Runx1t1	0.877669695	0.020778919
Vldlr	2.279195189	0.020778919
Tnfsf4	0.864523763	0.020778919
Npdc1	0.717583707	0.02112282
Abca5	1.015225675	0.021350608
Gnb4	-0.671137351	0.021516293
Pbx3	0.910710733	0.021516293
Ppp1r12a	0.738561815	0.021516293
Rbm14	-1.177969289	0.021516293
Bmp4	1.977421275	0.021516293
Cfp	-1.176111933	0.021570878
Mamdc2	-0.811970395	0.021570878
Zfp292	-1.90785487	0.021570878
Adam10	1.028492329	0.02157815
Dnmt3b	-1.128763416	0.021731106
Akap7	0.707621159	0.021731106
Cytip	1.038249002	0.021731106
Rabif	-1.300217949	0.021731106
Syk	-0.798443567	0.02197587
Psph	-0.671768263	0.022018216
Pde9a	1.462645336	0.022109314
Sgms1	0.740166166	0.022241526
Plagl1	-1.452498183	0.022254135
Homer1	0.928901286	0.022254135
Tnfaip2	0.937459498	0.022404513
Gabarapl1	0.863559408	0.022474799
Cited4	0.708429232	0.02281657
Aph1b	0.850981997	0.02281657
Gabarapl1	0.658368447	0.02281657
Ptprk	1.546239548	0.022836291
Syce2	-0.999921242	0.022864762
Fabp4	-1.636380978	0.023228668
Exo1	-1.288476581	0.023228668
Rnf150	1.140544901	0.023371133
Rnf157	-1.057485698	0.023371133
Muc1	3.19123172	0.023494341
Naa16	-1.082171157	0.023852212
Vldlr	1.116935577	0.024367533
Smg6	0.937029368	0.024534252
Sox13	1.064826273	0.024534252
Wwc2	1.006927797	0.024534252
Trf///Srprb	-1.200369373	0.024769643
Mllt3	0.674678217	0.025119381
Hoxb5	1.096770885	0.025219476
Ptpn12	0.844192123	0.025221684
Uhrf1	-0.958937393	0.025379055
Rpa2	-0.922088355	0.025379055
Sass6	-0.687770407	0.025379055
Cmc2	-0.992696706	0.025446981
Dock9	1.034832215	0.025446981
Casp12	1.125762481	0.025715585
Cyp2j6	0.72691412	0.025726015
Gm15663	0.727939201	0.025736278
Muc13	0.625801688	0.025864805
Umps	-0.655965549	0.025982656
Slc44a1	0.762513788	0.025982656
Tcf19	-1.285054017	0.026025247
Serinc1	0.738087443	0.026025247
Fam63a	0.92209641	0.026086148
Meiob	1.150968115	0.026230416
Mef2c	0.891228343	0.026273172
Pbx1	1.007818346	0.026349127
Ctss	-1.793884127	0.026349127
Hmga2	-1.356488553	0.026447645
Mcm3	-0.757536901	0.026447645
Zfp334	1.164026378	0.026672195
Isoc1	-0.865646201	0.026672195
Pdgfd	1.191085608	0.026755506
Dnmt1	-0.863282618	0.026782602
Paqr8	-1.185199682	0.026782602
Kdm7a	0.916584327	0.026782602
Ddx39	-0.690233681	0.026782602
	1.439002103	0.026782602
Synm	1.826241135	0.026782602
Zfp979	1.062194031	0.026782602
Atp9a	0.587525114	0.026782602
4930550C14Rik	1.367243334	0.02693718
Lst1	-0.897355095	0.02693718
	-0.937339441	0.02693718
Ak4	-1.18024472	0.02693718
Hsp90b1	-0.890151032	0.027242359
Csgalnact2	0.609204978	0.027242359
Cd55	1.090024128	0.027242359
Sell	-1.697031619	0.027361018
Zfp386	0.765940627	0.027599681
Snrpa1	-0.638241378	0.027613512
Tmem176a	0.646259539	0.027684652
Mcm7	-0.69988	0.027799468
Rbm11	1.1120448	0.027811815
Ptger3	0.638905148	0.027823393
Coq8a	0.79753876	0.027823393
Ubqln2	0.764104838	0.027823393
Arhgap15	-0.757498813	0.027823393
Galnt6	0.696962026	0.027850092
Rin2	0.965153966	0.028277379
Dtymk	-0.697637158	0.028277379
Nucb2	-0.770248199	0.028404111
Tceanc	0.752716921	0.028518668
Fam46c	1.862783336	0.028625659
Mgea5	0.769663236	0.028641
Kpna4	-0.932704759	0.028858071
Gipc2	1.379162577	0.028944948
Dock9	1.383062575	0.028984232
Wwtr1	0.775328007	0.028984232
Frmd6	0.868059514	0.029053273
Vim	-0.757946631	0.029053273
Pik3r1	1.074236964	0.029231075
Ebi3	-1.496895799	0.029242887
Fyb	0.927664743	0.029272326
Lamp2	0.691935429	0.029569657
Cpne8	1.177065268	0.029569657
Dusp4	1.04875696	0.029569657
Cenpa	-0.72158042	0.029569657
Stat3	0.638839924	0.029569657
Arhgef12	0.649258853	0.029625397
Adss	0.659607433	0.029789698
Mlec	-0.718165738	0.029896187
Nabp1	0.946932841	0.030055432
Lamp2	0.95329416	0.030379469
Tox	1.083888306	0.030428446
Dock9	1.463606077	0.030428446
Syncrip	-1.003629392	0.030428446
Rab34	0.808687138	0.030428446
Ints6	1.372359845	0.030428446
Mcm2	-0.736896323	0.030428446
Aff3	-1.24061821	0.030483732
Dynll1	-1.040512392	0.030494047
Arhgap5	0.893342333	0.030561441
Dnmt1	-0.902461104	0.030561441
Il6st	0.84473234	0.030561441
Aqp9	0.69582628	0.030561441
Fen1	-0.869718173	0.030787491
Arhgef28	0.958008971	0.030867092
Gulp1	0.64401629	0.030867092
Cd48	-1.22397793	0.030867092
2410002F23Rik	0.62989842	0.030867092
Abcf1	-0.752385586	0.030867092
Phgdh	-0.745386506	0.030867092
Thbd	0.960383479	0.030867092
Slc16a12	0.851616897	0.030867092
Cd55	1.424056452	0.030867092
Cep85	-0.72497791	0.030897251
Orc6	-0.795837372	0.030897251
Rdh10	1.146096871	0.030897251
Usp1	-0.622254907	0.030897251
Trpc6	0.678190558	0.030897251
Ppt1	0.575768549	0.030897251
Homer1	1.017958526	0.030897251
Efhd1	0.930600721	0.030897251
Ccdc112	0.636325059	0.030897251
Fkbp2	-0.855114577	0.030897251
C530008M17Rik	1.155044766	0.030911223
	1.083360371	0.030911223
Hcfc2	0.641839135	0.030911223
St3gal1	0.866590319	0.031291767
Kif16b	0.725877094	0.031444343
Antxr2	-0.9174399	0.031444343
Cenpf	-0.751783099	0.031907945
Tbxa2r	0.633027445	0.031971873
Tmod3	0.721876428	0.031971873
Vwf	2.045137395	0.032075409
Krt8	1.207065804	0.032104376
Enkur	1.460184494	0.032251415
C920006O11Rik	0.598252285	0.032251415
Car11	0.709838158	0.032251415
Plscr4	0.996950815	0.032251415
Nt5c3	0.7657854	0.032334338
Ptprk	1.640974273	0.032405402
Gna15	-0.891698159	0.032422123
Snap23	0.796061742	0.032833163
Eps8	0.767807833	0.033068744
Tnfaip2	0.965504387	0.033153223
H2-Q5	-0.674256637	0.033221835
Lig1	-0.982761681	0.033385117
Epb41l5	0.927946049	0.033385117
Epas1	1.737554668	0.033410764
Pign	0.779571906	0.033989685
Dync1i1	0.604253508	0.033989685
Gch1	-0.612408919	0.033989685
Eif5b	-0.55982865	0.034037933
Hn1	-0.782548006	0.034037933
Hivep2	0.981306499	0.034037933
Pde2a	0.770016741	0.034115263
Cdc14b	1.160913711	0.034307551
Pja2	0.993168442	0.034587454
Hnf4a	-1.178092285	0.034803989
Reck	0.740724714	0.035082954
Pkp2	1.716594881	0.035082954
Myo6	0.719459222	0.035082954
Rhobtb3	-0.840703193	0.03534726
Eps8	0.803078074	0.035377009
9230110C19Rik	0.614636782	0.035377009
Pcyt1a	0.866104202	0.035581966
Cntrl	-0.888199591	0.035708488
Pgp	-0.710854036	0.036087579
Adgre1	-0.716843351	0.036239952
Fam84b	0.860865633	0.036304109
Perp	1.611722307	0.036361106
Bmpr1a	2.24926234	0.036387151
Rab11a	0.532355393	0.036722971
Crebrf	0.883099842	0.036937915
Rfc2	-0.630616677	0.037007375
Ptgr1	-1.339264419	0.037179886
Vldlr	1.626678179	0.037213132
Mrps15	-0.618931682	0.037460098
Wdhd1	-1.10321359	0.037711745
Ston2	0.744162046	0.037821386
Dtymk	-0.643439837	0.037821386
Slc25a24	0.757830504	0.037932738
Rbl2	0.782097535	0.037988808
Ppm1e	0.937283112	0.038182587
Phka1	0.906619544	0.038242046
Apol7e///Apol7b	0.905015346	0.038282462
Nup35	-0.705616563	0.038480489
Kmt5a	-0.757127498	0.038592781
Fen1	-0.965378887	0.038592781
Gkn3	1.110510801	0.038801718
Zbtb7a	-1.386537463	0.038801718
Trim59	-0.702205209	0.038801718
Rad51	-1.092772756	0.038833699
Marveld2	0.680224502	0.038844329
	0.640019533	0.038849314
Insr	0.659664483	0.038849314
Scarb1	-0.539344817	0.038886906
Alad	-0.614992904	0.038995961
Chst2	0.859770126	0.039042958
Lbp	0.696541632	0.039369661
Plk2	2.698375184	0.039575208
LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	1.08737587	0.039809461
Hoxb6	1.325748092	0.039938682
Ms4a6c	-1.364485131	0.039938682
Nr1d2	0.679365443	0.039938682
Enpp4	0.667869385	0.039959713
Tgm2	0.91697639	0.039959713
Slc30a4	0.641403253	0.040001881
Isca1	0.947043606	0.040136068
Cdcp1	0.760554944	0.040239593
Phka1	1.076365534	0.040239593
Snrpa1	-0.529534218	0.040255124
Fgd5	0.555403753	0.040255124
Ntf3	3.043263624	0.040268069
Tacstd2	1.553932657	0.040339785
LOC102641923///Srsf1	1.076720305	0.040533389
Slc25a5	-0.569370208	0.040533389
Slco3a1	0.818980635	0.040601052
Crebbp	-1.398750987	0.040708122
Hectd2	0.914820447	0.040810661
Chrna7	1.961045264	0.040810661
Adgrl4	0.662551225	0.040810661
Zmynd11	-0.812907951	0.040810661
Kiss1r	0.878241974	0.040810661
Ank	0.568091419	0.040810661
Elovl5	-0.55473621	0.040981484
Arid5b	0.732146287	0.040981484
Ms4a3	-0.921062184	0.0411152
Timeless	-1.193245682	0.041286617
Hspb6	0.843436586	0.04174259
Ms4a6b	-1.283254357	0.041782281
Camkk1	1.058461933	0.042282064
Bbof1	0.848847945	0.042402037
Cdca5	-1.195102097	0.042402037
Rundc3b	-0.69592988	0.042815185
Herc3	0.744941877	0.042815185
Cotl1	-1.289187484	0.042815185
Setd6	-0.634095324	0.043118479
Fam46c	0.674113123	0.043118479
Cd55	1.060745005	0.043161843
Krt8	1.311261758	0.043161843
Zfand5	0.916067935	0.043161843
Tmem164	0.517439501	0.043305024
Uhrf1	-1.189545588	0.043305024
Ptges	0.821235303	0.043305024
Ints8	-0.913810356	0.043468127
Gpx8	1.995183471	0.043468127
Dnmt1	-0.67710857	0.043732779
4930523C07Rik	-0.85519402	0.043732779
Bcl6	1.104134214	0.043732779
Sdc2	0.715046288	0.04375855
Dcun1d1	0.555083519	0.043824845
Cwf19l2	0.695537198	0.043930334
Mmrn1	0.891205161	0.043930334
Unc119b	-0.559957374	0.043930334
Crim1	0.622998276	0.04396251
Itgb2	-0.688374919	0.043978211
Myct1	1.025496912	0.044127705
Poli	0.60037482	0.044242652
Rap1gap2	1.289828401	0.044253968
Irak3	0.66696683	0.044446768
Lsr	1.155968516	0.044446768
Mlec	-0.847001729	0.044904011
Fndc3b	0.530118337	0.044904011
Plxnd1	-0.746363577	0.044904011
Dna2	-0.786902819	0.045084067
Sla	-0.536336745	0.045084067
Apitd1	-1.322412017	0.045084067
Tmx3	1.047241649	0.045084067
Pcmtd2	0.848799287	0.045084067
Nxt1	-0.749258489	0.045088223
Mblac2	0.664786271	0.045446152
Serpina3g	-0.78567159	0.045446152
Zfp37	1.425345247	0.045446152
Cytip	1.133630102	0.045446152
Cldn12	0.612140242	0.045476019
1810010H24Rik	0.683726686	0.045476019
C1qa	-1.068005285	0.045942991
Pank1	-1.040825686	0.046031664
Creg1	0.55010271	0.046220581
Nadk2	0.656862898	0.046220581
Ly6e	0.581533303	0.046220581
Jakmip1	-1.187665963	0.046263308
Myo1e	0.85275	0.046263308
Hmgn3	0.629788819	0.046322128
Stk24	0.548448707	0.04638644
Rora	0.765894332	0.046390182
Hif1a	-1.669148068	0.046429763
Mlec	-0.750433137	0.046521535
Rprm	1.465602239	0.046571952
Kiz	0.534912201	0.046571952
Cbr3	0.867609519	0.046571952
Cxcl16	0.601498335	0.046571952
Timeless	-1.024562945	0.046571952
Stxbp5	0.62855736	0.046571952
Aaas	-0.651708814	0.046571952
Ercc6l2	0.610686712	0.046571952
Rbm26	-0.704323049	0.046571952
Adcy6	0.802450763	0.046571952
Hmga2	-2.298411603	0.046571952
Hells	-1.048044514	0.046571952
Rictor	0.682152152	0.046571952
Ptpn11	-0.793336302	0.046731035
Tcp11l2	0.787312185	0.046731035
Camk2n1	1.50143481	0.046731035
Ndrg1	0.972623864	0.046993612
Dynll1	-1.106010164	0.047160018
Sertad2	1.108879314	0.047187444
Entpd5	0.741895131	0.047187444
Vim	-0.82265481	0.047197
Atp10a	0.971539222	0.04738266
Gdi2	0.800065179	0.047729241
	1.272908552	0.047729241
Aplp2	0.758327406	0.047729241
Stat3	0.698382692	0.04777038
Tgm2	0.889340453	0.047877257
Ptprv	0.775385442	0.048052146
Mrps15	-0.60042816	0.04817165
Plscr1	1.1875018	0.048280636
Erbb2ip	0.618920609	0.048295619
Pitpnc1	-0.77214183	0.048295619
Smarcc1	-0.632537541	0.048295619
	1.17010862	0.048379385
Ctsl	0.634620191	0.048379385
Psmf1	0.551095434	0.048441418
Cdc5l	-0.600181562	0.048441418
Cspp1	-1.046654117	0.048441418
Tgm2	0.888473997	0.048454685
Rb1	0.57907983	0.048593334
Kcnd3	0.948483302	0.048600621
Fhod1	-0.59156994	0.048600621
Ccdc62	0.70548253	0.048600621
Rnaseh2b	-0.782164861	0.048600621
Cpt1c	0.990748957	0.048600621
Exo1	-0.771582577	0.048600621
Ezh2	-0.969788147	0.048600621
Cenpk	-1.336188862	0.048600621
LOC102638110///LOC100861615///Gm3164///Gm3173///Gm3739///Gm3696///Gm3667///Gm3194///Gm3591///Gm3558///Gm3488///Gm3500///Gm3383///Gm3264///Gm3252///Gm3239///Gm3636///Gm3115///Gm3095///Gm10340///Gm2897///Gm2888///Gm10406///Gm3373///Gm3317///Gm5796	0.656164526	0.048600621
Eed	-0.536002149	0.048600621
Alox12	0.526234156	0.048600621
Muc13	0.691283051	0.048600621
Gm3470///Rbpms2	0.821694145	0.048600621
Chek1	-0.482906387	0.048600621
Sdc4	1.267552204	0.048600621
Crbn	0.537077325	0.048600621
Serpinb8	1.317379002	0.048600621
Il1rapl2	0.998564618	0.048600621
Mpzl1	0.645266678	0.048600621
Rnf168	-0.650979707	0.048600621
