IDs	logFC	adj.P.Val
Plek	1.010404159	0.043471471
Ifi47	1.007537606	0.021705143
Tmem215	1.004679256	0.021705143
Trbv4	-1.002790356	0.034288119
Csf2rb	-0.994667848	0.007414678
Rhoj	0.985892807	0.001729699
Emp2	0.982931209	0.008961919
Gm10384	-0.980218802	0.007414678
Epha2	0.973605785	0.011138267
Itgb3	0.972797889	0.007914198
Wfdc17	0.967489669	0.030459965
Dock9	0.960551594	0.001399944
Igtp	0.955065952	0.00962105
Tmem56	0.95358306	0.026978612
Fads3	0.95026187	0.040248248
Stom	0.941187979	0.041036638
Pde9a	0.939670991	0.012171742
Tacr1	0.934950446	0.012055453
Ugt1a7c	-0.933412339	0.004585506
Lsr	0.933019041	0.021353602
Ect2	-0.928418235	0.012281746
Cd34	-0.927987472	0.020062974
Cpne8	0.926609605	0.004659101
Prcp	0.921887555	0.010642739
Dok1	0.920696292	0.002493115
Snord49a	0.919060291	0.015125239
Tnip3	0.916959421	0.00540892
Ccnd1	0.916133198	0.008988539
Dnah8	-0.914033333	0.001729699
Fyb	0.909174523	0.007414678
Ctsw	0.90277038	0.015448806
Hoxb5	0.896242453	0.002000572
Igf2bp2	-0.892761127	0.007734903
Abcb1a	0.892528324	0.025041374
Car5b	0.891103663	0.036487294
F2rl3	0.890353913	0.023420316
Iigp1	0.887202927	0.033510132
Pbx3	0.879266164	0.007748135
Olfr99	0.87605819	0.026978612
Jakmip1	-0.870661298	0.028842302
Scarna13	-0.870513177	0.045746384
Pcdhga5	0.866165022	0.048347047
Zfp91	-0.864599558	0.046639796
Myo1e	0.863510272	0.029334403
Zfp334	0.858677459	0.030310339
Serpinb6a	0.845396994	0.007414678
Ldb2	-0.845249635	0.010171054
Phldb2	-0.844278807	0.041036638
Serpinb8	0.83836546	0.026988224
Gm14964	0.837360572	0.028696729
Tent5c	0.829134151	0.028842302
Cxcl16	0.828093137	0.028624023
Klf6	0.827559364	0.041166653
Kif23	-0.826710545	0.028685023
Itga6	0.82572694	0.006665549
Ppp1r16b	0.824753297	0.015448806
Arid5b	0.817574194	0.034205776
Hes1	0.81632488	0.045999441
Cpeb2	0.814424257	0.015929285
Irgm2	0.812612153	0.008322456
Il15	-0.809604262	0.023388168
Ly6a	0.80546654	0.034205776
Tm6sf1	-0.801011683	0.018297694
Rbpjl	0.797807321	0.030459965
Trim12c	0.796356736	0.007669514
Rnase6	-0.792327732	0.048347047
Rhob	0.789371579	0.042926945
Igkv3-4	-0.784569042	0.048154479
Pcdhb18	0.782253824	0.013723158
Srd5a1	0.780395084	0.021051369
Nckap1	0.77915963	0.011587747
Clec1b	0.771664598	0.028624023
F630028O10Rik	-0.76848265	0.00451542
Selenom	0.762241457	0.003487276
Slc6a15	0.761959029	0.013134691
Pfkfb3	0.755751664	0.025041374
NA	0.755573792	0.043559544
Gdpd1	0.754340581	0.008948058
Gpr4	0.748323198	0.010955641
St3gal6	0.747590823	0.039283867
Tnfaip2	0.741198628	0.002136277
Ypel1	-0.736365204	0.021783016
Uba7	0.73457826	0.004163058
Gbp2	0.733469121	0.043473476
Large2	0.725846613	0.021051369
Pclo	0.723890782	0.045746384
Stxbp4	0.723509623	0.034205776
H2-T10	0.721951718	0.007653578
Cd86	-0.721734177	0.029505307
Pcdhb17	0.719098319	0.015314477
Cd37	-0.718890575	0.024927795
Lama5	0.717160849	0.007653578
Abca4	0.716931025	0.028842302
Mmp2	-0.710607431	0.022393233
Arhgap29	0.709707424	0.007776162
Chchd2-ps	0.707383034	0.043471471
Lsp1	-0.704331697	0.039544119
Batf2	0.704015579	0.030160421
Nutf2	-0.699338229	0.009483332
Prl2c5	-0.698322223	0.048909815
Arhgap30	-0.69704063	0.041036638
Slc28a2	-0.692715825	0.025041374
Arhgef28	0.691200139	0.048347047
Olfr56	0.689741172	0.049081581
Exoc3l2	0.686176018	0.018076231
Snord34	0.685257453	0.013723158
Tnfrsf13c	-0.68315458	0.018309189
6030445D17Rik	0.675173687	0.005201401
Nfam1	-0.669869242	0.003487276
Epb41l4b	-0.668973469	0.043471471
Fam83h	0.66585256	0.038513082
Olfr1335	-0.664938664	0.042590612
Gm12250	0.660995627	0.037188027
Mir15a	-0.660303532	0.033510132
Rnf141	0.660134769	0.013464847
NA	-0.659799325	0.007352681
Slamf1	0.658486977	0.040248248
Galnt6	0.658128916	0.005326449
Hbq1b	-0.657332783	0.042926945
Phactr1	0.656864536	0.044400504
Mindy1	0.655892247	0.039544119
Npdc1	0.655367781	0.049081581
Tnfsf10	0.654600365	0.039544119
Plxnb2	0.653480563	0.017547485
Arrb2	-0.653233172	0.041036638
Casp1	0.650358931	0.038362601
Ndrg1	0.646503444	0.023656258
C1qb	-0.644980699	0.018847577
Cd9	0.641443793	0.025041374
Lysmd2	0.639604726	0.030742941
Cd302	0.638121888	0.021051369
Gm8096	-0.633429839	0.019949861
Pla2g4a	0.632782084	0.014686857
Coro2a	-0.632473972	0.012171742
Ncf4	-0.628543447	0.033510132
Gramd1b	-0.62826278	0.012055453
Mtss2	0.627297106	0.028624023
Arhgap6	0.622893253	0.012281746
Socs6	0.619997369	0.022469425
Tgfb3	0.617027122	0.007653578
H2-Q8	0.612705057	0.048154479
Pip5k1b	0.609725702	0.014387157
Gpc3	0.60696803	0.033510132
Map10	-0.606794866	0.025041374
H2-T22	0.604681647	0.039544119
Jund	0.604657169	0.028624023
Abat	0.598724113	0.028975932
Gm6623	0.594712383	0.02754665
A430078G23Rik	-0.587384274	0.030459965
P4ha1	-0.587188363	0.023388168
H2-T23	0.585176356	0.027382595
Col4a2	-0.581915233	0.014060579
Myo1f	-0.581520555	0.036487294
Cd247	0.579093557	0.020062974
Exoc3l	0.577567552	0.036487294
Slco4a1	0.577177135	0.039283867
Lag3	0.574983552	0.033510132
Kif21a	0.571482779	0.028624023
Nav1	0.571212961	0.029742584
Abcb1b	0.571001259	0.040262079
Dhx40	0.563655793	0.008988539
B4galnt4	0.5633742	0.021051369
Dennd5b	0.561840484	0.028842302
Hsdl2	0.560239318	0.030310339
F530104D19Rik	-0.556214355	0.022209816
Mustn1	-0.552440077	0.03229021
Dock10	-0.551082364	0.026978612
Naip5	0.547658553	0.044313997
Gng2	-0.544985004	0.040559972
Evc	0.536347357	0.031249442
Chd7	0.536223204	0.041233008
Ung	-0.531733406	0.025041374
Grina	0.529575748	0.044761814
Lrrc18	-0.527547137	0.021051369
Pls3	0.527081066	0.028624023
Zc3hav1l	-0.52602448	0.039544119
Glipr1l1	0.52510475	0.023147953
Flad1	0.521943193	0.045183667
Gdap2	0.518838113	0.03188977
Nt5dc2	-0.51780347	0.043471471
Bphl	0.515772167	0.034205776
Mad1l1	-0.515314749	0.034205776
Zfp57	0.514670773	0.032512621
Klhl12	0.513306645	0.046251906
Map6d1	-0.511486721	0.029155021
A630072M18Rik	0.503665354	0.046425634
Rin3	-0.503193137	0.033345813
Dnajb9	0.500688897	0.015459468
Prrt2	-0.500060618	0.039283867
Casp4	0.498237173	0.039239655
Slc40a1	-0.495876874	0.030459965
Zan	-0.49410374	0.033345813
Mir92b	-0.493473637	0.048347047
Ccdc62	0.492292938	0.026207834
Kctd14	-0.491446216	0.023420316
Fads2	0.488997602	0.042590612
Col9a2	-0.487865719	0.031944698
Ikzf2	-0.486071511	0.034185795
Trpc6	0.485440536	0.045183667
Sorl1	-0.483493636	0.028872893
Tsc22d1	0.476190462	0.043473476
Nrgn	0.47616964	0.030310339
Tet1	-0.472142521	0.041370786
Nme2	0.4707895	0.033510132
Kcnrg	-0.46316401	0.042926945
Gramd3	-0.460488719	0.048909815
Irf2bp2	-0.460330658	0.033510132
Zfp462	0.459524639	0.043559544
Sipa1	-0.459372738	0.030459965
Pfkp	0.459273496	0.0457988
Rhobtb3	-0.457160134	0.024872436
Runx2	-0.456250973	0.032270529
Prkcd	-0.456067633	0.034205776
Cobl	-0.455852404	0.034205776
Rbmx	-0.447806974	0.035204667
Pacrgl	-0.446314826	0.032512621
Zfp704	-0.445289697	0.048347047
Pde4d	-0.44524437	0.043471471
Gm1966	0.422677762	0.044761814
Mcts2	-0.417745337	0.039283867
Sox12	-0.397628369	0.048412701
Elovl5	-0.392129381	0.041588521
