Data from original supplementary file
probeset	gene	log2FC	repFC	p-val
1443852_at	Mm.151150.1	1.71821	3.29	0.012884963837783613
1443933_at	Tc2n	3.03049	8.17	0.0062236900150870154
1443997_at	Gprin2	1.34411	2.54	0.0003995988483018886
1444028_s_at	Dock9	1.25723	2.39	5.426818270876347e-05
1444615_x_at	Runx1t1	2.09917	4.29	2.943106907670995e-05
1445723_at	Plcl1	1.88386	3.69	0.0007046689721134195
1447040_at	Mm.173892.1	1.71098	3.27	0.06647707448809885
1447623_s_at	Prkd1	1.25595	2.39	0.0010755663478486453
1447849_s_at	Maf	2.55951	5.89	6.924305630106918e-05
1448021_at	Mm.29940.1	1.74685	3.36	8.801628962873172e-11
1448145_at	Wwp2	0.93813	1.92	2.646323600816323e-17
1448233_at	Prnp	0.95139	1.93	3.2058374656879935e-22
1448383_at	Mmp14	1.56368	2.96	2.5697472402810084e-07
1448390_a_at	Dhrs3	1.70301	3.26	0.0022501165474497096
1448529_at	Thbd	1.0365	2.05	6.977461033660002e-08
1448710_at	Cxcr4	2.55106	5.86	0.17334614781603558
1448748_at	Plek	1.5639	2.96	0.0003644027811837276
1448873_at	Ocln	1.44462	2.72	2.0297979667696452e-08
1448919_at	Cd302	0.93388	1.91	3.277529095684759e-08
1448961_at	Plscr2	4.34446	20.31	0.16411125438642898
1449023_a_at	Ezh1	0.96498	1.95	1.1000518918725997e-07
1449078_at	St3gal6	1.05507	2.08	1.2219280891603495e-06
1449174_at	Art4	1.24236	2.37	8.973529984381112e-09
1449199_at	Muc1	2.59314	6.03	0.03889286980563219
1449283_a_at	Mapk12	0.99047	1.99	2.4129147796665486e-05
1449379_at	Kdr	1.46589	2.76	2.261092946754037e-14
1449491_at	Card10	0.86513	1.82	5.088303594300434e-15
1449570_at	Klrb1c	2.29071	4.89	4.419813873423155e-07
1449588_at	Abca4	1.98423	3.96	9.706427457676423e-13
1449799_s_at	Pkp2	1.49211	2.81	8.473558920080482e-07
1450138_a_at	Serpinb6a	1.01289	2.02	1.301566967108775e-09
1450344_a_at	Ptger3	0.75535	1.69	9.300260416805386e-30
1450380_at	Epdr1	1.57003	2.97	0.004989518724354911
1450896_at	Arhgap5	0.76505	1.7	3.673056880480071e-12
1450958_at	Tm4sf1	3.17159	9.01	0.024108710663758175
1451006_at	Xdh	1.66013	3.16	0.008686953613687712
1451050_at	Nt5c3	0.77523	1.71	3.31241615876129e-31
1451063_at	Stxbp4	1.05317	2.08	3.817061709720093e-07
1451255_at	Lsr	0.83063	1.78	5.543521671582376e-12
1451365_at	Rbm19	0.84366	1.79	3.939969419201481e-09
1451507_at	Mef2c	0.89618	1.86	1.9171242831350682e-11
1452117_a_at	Fyb	0.96293	1.95	7.756659134543602e-08
1452190_at	Prcp	0.87181	1.83	2.505954829661945e-23
1452191_at	LOC100048391 /// Prcp	1.14194	2.21	3.4085232056807057e-38
1452196_a_at	Nckap1	1.14368	2.21	1.063718888096507e-18
1452207_at	Cited2	0.74942	1.68	8.221076619222266e-19
1452387_a_at	Amotl2	1.19819	2.29	9.210969689406996e-10
1452843_at	Il6st	0.84417	1.8	5.03470010418421e-10
1453065_at	Aldh5a1	1.29764	2.46	1.4218502120434974e-07
1453357_at	Tdrd9	4.03621	16.41	0.05183069356506004
1453622_s_at	Mllt3	1.03174	2.04	3.5914378085623357e-10
1453851_a_at	Gadd45g	2.49844	5.65	8.211596110990187e-06
1454609_x_at	6430527G18Rik	1.30638	2.47	1.4666332863886643e-17
1454685_at	Gpr146	0.94745	1.93	1.3152174968943526e-17
1454745_at	Arhgap29	1.18106	2.27	1.1941678656066382e-15
1454906_at	Rarb	2.29977	4.92	0.0021456817104975293
1455009_at	Cpd	0.79383	1.73	2.443928029562998e-10
1455029_at	Kif21a	1.22498	2.34	5.5074341326329215e-05
1455080_at	Ppp1r16b	1.1005	2.14	5.499647731636228e-05
1455200_at	Pak6	1.09233	2.13	0.00043209442514349636
1455257_at	Itgb3	1.59511	3.02	1.0247558942775525e-08
1455340_at	Dennd5b	1.711	3.27	0.0001421469156002411
1455342_at	A230083H22Rik	0.9134	1.88	6.839383154887642e-07
1455610_at	Synm	1.58706	3.01	0.022010584743487306
1455653_at	Ccnj	1.14358	2.21	1.669225950693979e-05
1455706_at	Mm.23733.1	1.32536	2.51	1.3752182320014615e-10
1455799_at	Rorb	1.29189	2.45	0.0019437418121922
1455899_x_at	Socs3	2.50808	5.69	0.5103523759860705
1456226_x_at	Ddr1	2.75834	6.76	0.12406839524376745
1456229_at	Hoxb3	1.09065	2.13	2.7783791146618794e-06
1456318_at	Clec1a	2.14924	4.44	0.0012951407396344656
1456335_at	Gm106	5.0333	32.75	0.3016832538558557
1456532_at	Pdgfd	1.08162	2.12	6.226613553297403e-10
1457745_at	Gpr4	1.18989	2.28	1.1258923630284808e-05
1458324_x_at	Mm.96562.1	3.10517	8.61	5.4720214087535526e-05
1458974_at	Mm.218392.1	1.47941	2.79	0.05849062197400552
1459903_at	Sema7a	1.26334	2.4	1.3813592250260708e-13
1460011_at	Cyp26b1	2.25126	4.76	0.07306189987766336
1460242_at	Cd55	1.10368	2.15	0.0005178373791706476
1460259_s_at	Clca1 /// Clca2	3.41997	10.7	0.01753707167969274
1460509_at	B3galt1	2.13117	4.38	0.28470982546372425
1460632_at	Mm.22185.1	1.32427	2.5	4.463164792807665e-12
1415897_a_at	Mgst1	-1.18624	-2.28	1.1957126148697324e-05
1415945_at	Mcm5	-0.81347	-1.76	4.461181646795112e-14
1415960_at	Mpo	-1.87753	-3.67	0.18269377004489923
1416008_at	Satb1	-1.55698	-2.94	0.0003863693123195516
1416072_at	Cd34	-0.94622	-1.93	7.944373771115055e-07
1416558_at	Melk	-1.08239	-2.12	0.0006594552248121015
1416641_at	Lig1	-0.83478	-1.78	2.29663008839172e-15
1416802_a_at	Cdca5	-1.02737	-2.04	0.0025151124974833075
1417019_a_at	Cdc6	-0.86906	-1.83	1.1442105190446045e-06
1417587_at	Timeless	-1.09327	-2.13	6.683783510989773e-06
1417777_at	Ptgr1	-1.04038	-2.06	6.018008879445405e-06
1417938_at	Rad51ap1	-0.9534	-1.94	0.00027138800367293626
1417975_at	Kpna4	-0.784	-1.72	3.9815687698891896e-10
1418219_at	Il15	-0.90849	-1.88	6.123194452178788e-09
1418261_at	Syk	-0.80394	-1.75	3.536818380278956e-18
1418264_at	Cenpk	-1.01539	-2.02	0.003246107352302329
1418351_a_at	Dnmt3b	-0.84387	-1.79	2.8013326576534384e-13
1418465_at	Ncf4	-1.4304	-2.7	2.759161633805287e-08
1418507_s_at	Socs2	-1.12153	-2.18	0.005144386082772944
1418600_at	Klf1	-1.1684	-2.25	8.528998853296645e-08
1418826_at	Ms4a6b	-1.15355	-2.22	4.189040707946636e-06
1418912_at	Plxdc2	-1.03696	-2.05	2.7693398736095246e-05
1419062_at	Epb4.1l3	-1.04795	-2.07	3.612894956534193e-10
1419091_a_at	Anxa2	-0.8335	-1.78	5.030020417726918e-07
1419153_at	2810417H13Rik	-1.0182	-2.03	0.0033886234376420197
1419206_at	Cd37	-0.76335	-1.7	8.500390193404898e-16
1419253_at	Mthfd2	-0.78713	-1.73	3.4101955163521183e-10
1419307_at	Tnfrsf13c	-1.40967	-2.66	0.00010110209376010844
1419480_at	Sell	-1.66456	-3.17	0.002349032820302171
1419497_at	Cdkn1b	-1.39238	-2.63	0.0032260562071096894
1419513_a_at	Ect2	-1.09873	-2.14	0.003662207146282892
1419573_a_at	Lgals1	-1.50968	-2.85	0.0006617754563599098
1419616_at	Bmpr2	-0.92184	-1.89	1.3157592176625633e-05
1420444_at	Slc22a3	-1.1467	-2.21	1.4457605871854026e-07
1420989_at	4933411K20Rik	-1.2647	-2.4	0.0010719662786914759
1421005_at	Cep110	-0.91214	-1.88	2.1878354508255812e-10
1421955_a_at	Nedd4	-1.31316	-2.48	0.0016398444193833075
1422535_at	Ccne2	-1.05802	-2.08	0.00047165902345317157
1422679_s_at	Ctr9	-0.878	-1.84	2.0704661464279773e-15
1422769_at	Syncrip	-0.99227	-1.99	2.3525723115169687e-07
1422851_at	Hmga2	-1.35025	-2.55	4.1981840910691994e-05
1423066_at	Dnmt3a	-1.14679	-2.21	9.178014056010292e-05
1423123_at	Rad54l	-0.95885	-1.94	1.231192888036848e-05
1423325_at	Pnn	-1.22298	-2.33	9.507642421474166e-06
1424051_at	Col4a2	-0.9856	-1.98	6.028989009871224e-10
1424143_a_at	Cdt1	-0.89792	-1.86	9.028031785248112e-09
1424443_at	Tm6sf1	-1.07283	-2.1	4.4758745407974913e-07
1424486_a_at	Txnrd1	-0.98238	-1.98	1.4663420284960526e-07
1424733_at	P2ry14	-1.56026	-2.95	1.4158252731679011e-06
1425513_at	Map2k7	-0.98595	-1.98	6.280315978685485e-14
1425548_a_at	Lst1	-1.0639	-2.09	4.580308980797072e-13
1426260_a_at	LOC632297 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9	-0.93254	-1.91	0.00013387618915279779
1426538_a_at	Trp53	-0.83242	-1.78	2.474515631163696e-19
1426708_at	Antxr2	-0.81052	-1.75	1.3422716353321315e-14
1427001_s_at	Hnf4a	-1.43908	-2.71	1.3391123664964928e-09
1427037_at	Eif4g1	-0.87028	-1.83	3.973225055225144e-06
1427094_at	Pole2	-0.78174	-1.72	1.8125462859608882e-16
1427167_at	Armcx4	-0.95606	-1.94	0.0001073829214417736
1427797_s_at	Mm.214467.1	-0.88822	-1.85	1.1769341390698895e-11
1428105_at	Tpx2	-1.10045	-2.14	0.006355091428140672
1428361_x_at	Hba-a1 /// Hba-a2	-1.78605	-3.45	0.2352778276423236
1428481_s_at	Cdca8	-1.15994	-2.23	0.0114960888644312
1429172_a_at	Ncapg	-1.31703	-2.49	0.016734077676382776
1429270_a_at	Syce2	-0.81771	-1.76	7.99392525162649e-15
1429452_x_at	4933439C20Rik	-2.10238	-4.29	0.042530151042375126
1430534_at	Rnase6	-1.57042	-2.97	2.327773011681184e-05
1431213_a_at	LOC433762	-3.39463	-10.52	0.1332852016493351
1433862_at	Espl1	-1.14911	-2.22	0.017045673614272755
1434129_s_at	Lhfpl2	-0.82201	-1.77	1.30914665953495e-07
1435375_at	Fam105a	-1.00339	-2.0	2.2362203229711822e-06
1435575_at	Kntc1	-1.00586	-2.01	0.00036516530610898303
1435959_at	Arhgap15	-0.74066	-1.67	1.7220798093923503e-19
1436100_at	Sh2d5	-0.90356	-1.87	7.2545960516135425e-06
1436171_at	Arhgap30	-1.18358	-2.27	3.1279881438824004e-15
1436509_at	Mlec	-0.80117	-1.74	7.118861811525611e-11
1436838_x_at	Cotl1	-0.94001	-1.92	4.7237060715829624e-07
1436876_at	Rgs7bp	-2.08787	-4.25	0.0016964840496241267
1437251_at	Cdca2	-1.12269	-2.18	0.0050993915444791016
1437581_at	Zfp800	-1.16828	-2.25	0.0007994531570713652
1437868_at	Fam46a	-1.8042	-3.49	0.0005961418229076499
1438833_at	Casc5	-1.6565	-3.15	0.20810207229461286
1439208_at	Chek1	-0.96297	-1.95	0.0002705113762741902
1439364_a_at	Mmp2	-1.62229	-3.08	0.0011561259486878538
1439510_at	Sgol1	-1.03018	-2.04	0.00033764417040948845
1439622_at	Rassf4	-1.46548	-2.76	1.1659819705290363e-10
1439956_at	Mm.123404.1	-1.05042	-2.07	1.2012184332479945e-05
1440297_at	Rnf220	-0.9423	-1.92	5.135570706547465e-06
1440299_at	E330016A19Rik	-0.72701	-1.66	5.47174910889215e-20
1441317_x_at	Jakmip1	-1.39087	-2.62	1.293015119056046e-06
1445421_at	Mm.150139.1	-1.17765	-2.26	0.0003026725850130798
1446607_at	Mtap7	-1.04459	-2.06	5.860625207709192e-05
1447869_x_at	Rhobtb3	-1.19564	-2.29	1.762561806552085e-05
1447903_x_at	Ap1s2	-0.82791	-1.78	2.3448260370339645e-08
1448162_at	Vcam1	-1.56159	-2.95	0.19213656744243673
1448183_a_at	Hif1a	-1.36888	-2.58	1.519581264263328e-06
1449061_a_at	Prim1	-0.83847	-1.79	7.45811063927209e-08
1449222_at	Ebi3	-1.7685	-3.41	8.973875819695062e-07
1449232_at	Gata1	-1.23452	-2.35	8.906785820033511e-07
1450068_at	Baz1b	-1.71537	-3.28	0.0003501255402724799
1450079_at	Nrk	-1.54431	-2.92	0.007406472281745888
1450234_at	Ms4a6c	-1.29571	-2.45	1.0623762139960935e-05
1450639_at	RP23-357I14.1 /// Slc28a2	-1.04369	-2.06	1.2249928531782062e-07
1451243_at	Rnpep	-0.89393	-1.86	6.936957025616298e-06
1451335_at	Plac8	-2.17002	-4.5	0.002610844620885572
1451349_at	Efcab7	-0.92671	-1.9	0.00019949438314762196
1452035_at	Col4a1	-0.91125	-1.88	1.0190840866063689e-06
1452050_at	Camk1d	-1.84152	-3.58	1.8075544458838697e-07
1452115_a_at	Plk4	-1.04689	-2.07	0.00018480615590294816
1452187_at	Rbm5	-1.32013	-2.5	1.9828329692992868e-05
1452279_at	Cfp	-0.86543	-1.82	5.584743014766644e-09
1452305_s_at	Cenpn	-0.90757	-1.88	2.217770334076048e-05
1452426_x_at	Mm.220934.1	-2.67257	-6.38	0.10142836837379988
1452458_s_at	Ppil5	-1.03027	-2.04	0.0016554103055151166
1452470_at	Cep350	-1.03093	-2.04	1.7212449856442164e-07
1452811_at	Atic /// LOC100046995	-1.11576	-2.17	2.1369956563836373e-06
1452912_at	Dscc1	-1.19403	-2.29	1.5383669388713522e-06
1454862_at	Phldb2	-0.90223	-1.87	1.9771828053741854e-05
1455451_at	Kctd14	-1.0156	-2.02	5.059476468609731e-07
1455660_at	Csf2rb	-1.59975	-3.03	5.283030549586222e-06
1455869_at	Mm.157900.2	-3.50913	-11.39	0.10293764685527025
1455892_x_at	Mm.220934.3	-0.90916	-1.88	1.739285111597465e-08
1455990_at	Kif23	-1.0042	-2.01	5.7662121148903285e-05
1456319_at	Mm.196322.1	-2.33598	-5.05	0.03457116382665168
1456498_at	Cerkl /// Itga4	-1.4255	-2.69	6.735763447154796e-05
1456772_at	Ncf1	-1.0539	-2.08	1.916178194028416e-07
1457102_at	A030001D16Rik	-1.49729	-2.82	1.027668366842362e-09
1457110_at	Pank1	-0.88552	-1.85	1.767473648736789e-05
1459804_at	Crebbp	-1.41454	-2.67	0.0002398952410232681
1460304_a_at	Ubtf	-1.01117	-2.02	1.4072748545559284e-07
