Data from original supplementary file					
ensembl	geneSymbol	log2FC	FDR	fpkm.sum	type
ENSMUST00000070330	Dnm3	2.6576470299	5.47E-59	2.1800853106	UP
ENSMUST00000099683	Gm10800	-2.1432372757	2.33E-57	56.0045317221	DN
ENSMUST00000133341	Gm16548	2.3512786154	3.10E-56	23.1502423263	UP
ENSMUST00000028783	Spint1	3.4683898121	2.38E-55	2.9827662395	UP
ENSMUST00000049655	Tmem215	2.8538198477	2.33E-53	2.9606079404	UP
ENSMUST00000106371	Sult1a1	1.9955497154	5.08E-52	123.3052090976	UP
ENSMUST00000160830,ENSMUST00000162735	Tc2n	2.8404584882	5.76E-52	3.6639439907	UP
ENSMUST00000032122	Tacr1	2.7719986736	6.16E-52	2.0697211155	UP
ENSMUST00000018737	Sparc	-2.7457988107	7.07E-52	4.504150284	DN
ENSMUST00000006749	Slc4a1	-2.2674796442	1.52E-48	4.2781456954	DN
ENSMUST00000064795	Egr1	-1.9151496994	2.38E-47	149.3566775244	DN
ENSMUST00000008991	Spnb3	2.5652268444	3.93E-47	1.6095389119	UP
ENSMUST00000074477	Ear6	-2.2670644643	5.44E-46	31.0563380282	DN
ENSMUST00000166468	Ptprk	2.1021988261	7.15E-46	4.8559804719	UP
ENSMUST00000066412	Agtr1a	2.4253521917	3.11E-45	5.8921525647	UP
ENSMUST00000019246,ENSMUST00000108716	Aldh3a1	3.3616229705	4.08E-44	2.9224941725	UP
ENSMUST00000026760	Tmem47	2.243885564	6.06E-44	4.1260112773	UP
ENSMUST00000087600	Gda	1.7416949392	1.17E-43	98.0140662595	UP
ENSMUST00000102732	Fap	2.1220129272	2.78E-43	8.860996628	UP
ENSMUST00000119693,ENSMUST00000035351	Syt15	3.2453005661	3.24E-43	1.2104885057	UP
ENSMUST00000092665	Eya4	2.3210080133	1.11E-42	3.2365196078	UP
ENSMUST00000149552	Gm16758	-2.0551506002	1.20E-42	5.0208224883	DN
ENSMUST00000120977,ENSMUST00000029380	Wwtr1	1.8646217546	1.67E-42	10.6227758007	UP
ENSMUST00000074233,ENSMUST00000051389	Synm	2.0874370822	1.74E-42	2.9057491732	UP
ENSMUST00000017151	Rbpjl	2.904254888	2.01E-42	2.5265957447	UP
ENSMUST00000046614	Gipc2	3.7089988596	2.64E-42	2.6351351351	UP
ENSMUST00000051241	Zfp36	-1.8268453237	2.85E-42	175.5587067499	DN
ENSMUST00000035061	Ngp	-2.0535083862	3.48E-42	35.4710458081	DN
ENSMUST00000072646	1200009I06Rik	2.1601572054	6.48E-42	5.7749140893	UP
ENSMUST00000030964	Cd38	1.8461018893	7.26E-42	15.3314362236	UP
ENSMUST00000100944	AK031816	1.7943012225	1.72E-41	26.6986455982	UP
ENSMUST00000027941	Atf3	-3.5604176673	5.05E-41	2.0740365112	DN
ENSMUST00000073556	Mdga1	-1.7109750926	5.24E-41	16.719205298	DN
ENSMUST00000102675	H2-T3	2.2343932528	4.06E-40	5.9392265193	UP
ENSMUST00000127206	Rgs2	-1.8080180822	4.43E-40	23.9996671105	DN
ENSMUST00000021290	Rcvrn	3.6400344184	5.91E-40	3.342776204	UP
ENSMUST00000095157	D14Ertd668e	2.0391846321	7.99E-40	7.0429906542	UP
ENSMUST00000117167	S100a9	-1.9346009706	9.44E-40	112.7525773196	DN
ENSMUST00000021458	Spnb1	-1.8971330025	2.54E-39	2.2513998841	DN
ENSMUST00000032259	Cd69	-2.1714548939	3.34E-39	9.3560371517	DN
	Gm5833	2.17412489	1.25E-38	7.9064935065	UP
ENSMUST00000024756,ENSMUST00000154166	Enpp5	1.6554337158	1.33E-38	96.6495456341	UP
ENSMUST00000041142	Muc1	2.3704625595	3.42E-38	4.0641831239	UP
ENSMUST00000049768	Epx	-1.8452972856	3.60E-38	21.573935773	DN
ENSMUST00000099684	Gm10801	-2.0769884076	8.12E-38	24.6548323471	DN
ENSMUST00000138395	Ermap	-1.6792854147	9.09E-38	14.5240193918	DN
ENSMUST00000024860	Ehd3	1.6480945531	1.27E-36	42.3233844469	UP
ENSMUST00000017881	Mmp9	-3.2249081115	1.33E-36	1.3643634037	DN
ENSMUST00000066041	Shisa7	2.2184461625	1.40E-36	1.8430261623	UP
ENSMUST00000059787	Dsg2	1.7687023478	1.51E-36	8.3295414771	UP
ENSMUST00000114195	Jam2	1.6691491836	2.55E-36	17.1250260037	UP
ENSMUST00000165156,ENSMUST00000098986	Pgr	1.6814780184	3.26E-36	10.4548757448	UP
ENSMUST00000077705	Cyp26b1	1.6157642337	3.60E-36	33.1836018174	UP
ENSMUST00000068664	Neo1	1.6544418729	5.24E-36	12.3515019709	UP
ENSMUST00000029795	Rorc	1.7296813387	7.02E-36	23.6516853933	UP
ENSMUST00000040504	Klhl4	1.6189821687	7.97E-36	35.3947772657	UP
ENSMUST00000112254	Vwf	1.5746425186	1.95E-35	114.8705077011	UP
ENSMUST00000102694	Ptgfrn	1.8951045935	2.67E-35	3.4957590445	UP
ENSMUST00000100691	Ear1	-1.9865928305	4.43E-35	31.2183098592	DN
ENSMUST00000106426	Synpo2	-1.89242814	4.77E-35	2.6304317255	DN
ENSMUST00000030922,ENSMUST00000103178	Prkcz	2.9100588513	4.92E-35	1.0336538462	UP
ENSMUST00000109777	Apol10b	2.6028689602	2.04E-34	2.8607467205	UP
ENSMUST00000116625,ENSMUST00000170805,ENSMUST00000023587	Fetub	2.5267881878	3.47E-33	3.5436619718	UP
ENSMUST00000028855,ENSMUST00000103214	Prom2	1.8018293397	5.54E-33	5.6093823668	UP
ENSMUST00000074839	Ear12	-1.9447469583	7.04E-33	27.8921568627	DN
ENSMUST00000049324	Flt3	-1.6224023489	8.88E-33	16.098265896	DN
ENSMUST00000080141	Tmem117	2.914837285	7.69E-32	1.4190407501	UP
ENSMUST00000033952	Sfrp1	1.5959802034	1.33E-31	13.3360036622	UP
ENSMUST00000095267	Jund	-1.5350269502	2.63E-31	57.0281543274	DN
	Gm9199	1.5987942117	2.65E-31	49.087024087	UP
ENSMUST00000019068	Alox15	-2.107959423	2.71E-31	4.3395833333	DN
ENSMUST00000108304	Gem	1.5518175433	5.31E-31	25.8880994671	UP
ENSMUST00000121802,ENSMUST00000084038	Ank1	-1.5899339976	9.09E-31	3.8816940847	DN
ENSMUST00000032069	Add2	-1.7760885448	4.36E-30	4.8968739929	DN
ENSMUST00000000010	Hoxb9	2.1932413243	4.51E-30	2.7419354839	UP
ENSMUST00000053577	Epcam	2.039009561	7.09E-30	4.6879570941	UP
ENSMUST00000006614	Epha2	2.0314208513	9.84E-30	2.650063857	UP
ENSMUST00000028467	Prg2	-1.5762754699	1.12E-29	244.0985576923	DN
	AI848285	-1.6970573343	1.61E-29	10.6527777778	DN
ENSMUST00000030627	Rhd	-1.7100141104	4.63E-29	11.2367021277	DN
ENSMUST00000079251	Hist1h2bg	-3.0489816212	6.87E-29	5.3501628664	DN
ENSMUST00000060427	Ier2	-1.4758819683	7.58E-29	149.3261012492	DN
ENSMUST00000013995	Abca4	1.4987399931	9.70E-29	11.2163100861	UP
ENSMUST00000047111,ENSMUST00000107482	Pklr	-1.5655614018	1.02E-28	9.8297491039	DN
ENSMUST00000074077	Bmp4	1.7596061559	1.08E-28	8.37355455	UP
ENSMUST00000169168,ENSMUST00000044664	Cysltr2	1.480789069	1.78E-28	49.8580178174	UP
ENSMUST00000094365	Car1	-1.388853199	1.95E-28	136.75	DN
ENSMUST00000098553,ENSMUST00000001279,ENSMUST00000108116	Lsr	1.5796149672	4.30E-28	13.7263497923	UP
ENSMUST00000023312	Alcam	1.4074320226	1.32E-27	43.7790815294	UP
ENSMUST00000037481	Clec1a	1.4275920921	1.54E-27	46.9803801349	UP
ENSMUST00000051572	Sdpr	1.3952791685	1.85E-27	107.4074680642	UP
ENSMUST00000063359	Gypa	-1.8957833775	3.73E-27	5.582737768	DN
ENSMUST00000105409,ENSMUST00000081654	Col18a1	1.4975865108	4.83E-27	6.9693806541	UP
ENSMUST00000034214	Mt2	1.6307195813	6.27E-27	37.3417721519	UP
ENSMUST00000027817	Spna1	-1.5054622286	6.86E-27	2.818149168	DN
ENSMUST00000109411	Hnf4a	-1.540224617	6.86E-27	6.849126035	DN
ENSMUST00000160704,ENSMUST00000032479,ENSMUST00000162170	C530028O21Rik	2.1501413075	1.46E-26	2.8825546507	UP
ENSMUST00000109843,ENSMUST00000109842,ENSMUST00000109844,ENSMUST00000109846,ENSMUST00000056110	Dlk1	1.6391013555	1.86E-26	3.9292403746	UP
ENSMUST00000069927	S100a8	-1.5685177034	5.96E-26	160.6940874036	DN
ENSMUST00000064391,ENSMUST00000014777	Cpne8	1.393882241	8.75E-26	18.7154845696	UP
ENSMUST00000078357	Emp2	2.0326407992	1.10E-25	2.2227074236	UP
ENSMUST00000047889	Atp1b2	-1.4947957751	1.33E-25	8.4095528455	DN
ENSMUST00000035121	Amotl2	1.4359402501	1.44E-25	14.353025592	UP
ENSMUST00000021028	Itgb3	1.3319526091	1.44E-25	78.5782442748	UP
ENSMUST00000065220,ENSMUST00000091112	P2ry14	-1.6999291025	3.08E-25	7.8841870824	DN
ENSMUST00000003116	Klf4	-1.76891847	3.78E-25	4.1066140178	DN
ENSMUST00000034215	Mt1	1.3917271023	1.00E-24	95.3988868275	UP
ENSMUST00000022212	Plk2	1.3592990409	2.55E-24	36.6146393972	UP
ENSMUST00000107899	Myh14	1.8073284258	2.80E-24	1.6969218627	UP
ENSMUST00000035208	Bsn	-1.4156540101	3.03E-24	2.0191522763	DN
ENSMUST00000018485	Il12rb2	-1.5651052013	3.07E-24	6.3868986694	DN
ENSMUST00000063750	Rarb	1.3740071248	3.10E-24	17.2794649313	UP
ENSMUST00000031090	Sel1l3	1.7579885731	3.81E-24	2.176916221	UP
ENSMUST00000133010	Dpy19l2	2.4810103624	4.46E-24	1.085112606	UP
ENSMUST00000089620	Cd86	-1.9410804318	6.03E-24	2.7479257211	DN
ENSMUST00000061455	Fam46c	1.4457127707	6.55E-24	13.6137148495	UP
ENSMUST00000097333,ENSMUST00000119825,ENSMUST00000003628	Ddr1	1.8078157593	8.68E-24	2.4724034119	UP
ENSMUST00000031668	Col1a2	-1.3733667783	9.46E-24	10.8878412885	DN
ENSMUST00000112404,ENSMUST00000112402,ENSMUST00000112401,ENSMUST00000112400	Gpr64	1.4026656464	1.08E-23	10.9341010877	UP
ENSMUST00000022282	Gpx8	1.9228999061	1.48E-23	7.6653504442	UP
ENSMUST00000044823	Zswim5	1.5370791617	1.92E-23	3.3828720045	UP
ENSMUST00000100201,ENSMUST00000141798,ENSMUST00000063446,ENSMUST00000106386	Sphk1	-1.4887859325	2.34E-23	7.0891608392	DN
ENSMUST00000033512	Slc38a5	-1.6911624574	2.65E-23	5.7780195865	DN
ENSMUST00000102611	Myh10	-1.2822767681	3.24E-23	9.7591061741	DN
ENSMUST00000031899	Kel	-1.6485259037	5.61E-23	4.1870244293	DN
ENSMUST00000050785	Lcn2	-1.8038979663	8.66E-23	13.0342384888	DN
ENSMUST00000020204	Ntn4	1.6484535134	2.05E-22	5.0374843815	UP
ENSMUST00000113063	Il1rapl2	1.7775169361	2.09E-22	3.6507618284	UP
ENSMUST00000008987	Cldn13	-1.667652569	2.65E-22	8.9419475655	DN
ENSMUST00000064922	Junb	-1.3131744752	2.68E-22	86.7509516041	DN
ENSMUST00000069756	Ocln	1.4869844566	3.01E-22	6.5912661012	UP
ENSMUST00000062723,ENSMUST00000112590	Acpp	1.3952259788	3.69E-22	4.4465937763	UP
ENSMUST00000100713	Gm10384	-1.5206167006	3.75E-22	8.0699608611	DN
ENSMUST00000064937	Nrk	-1.4538129376	6.49E-22	3.1715850319	DN
ENSMUST00000104915	Gm16485	1.6870147213	7.96E-22	2.9834254144	UP
ENSMUST00000148891,ENSMUST00000136576	Phactr1	1.3152099711	8.71E-22	11.4619039538	UP
ENSMUST00000048656	Ubash3a	-1.6370708254	1.67E-21	3.904389248	DN
ENSMUST00000015712	Lpl	1.3179720119	2.23E-21	14.1557316167	UP
ENSMUST00000105901,ENSMUST00000042919	1810019J16Rik	2.2947210754	2.42E-21	2.28515625	UP
ENSMUST00000112022	Camp	-1.6170931675	2.88E-21	29.3193277311	DN
ENSMUST00000036273,ENSMUST00000114457,ENSMUST00000114458	Nfkbiz	-1.3616728136	2.88E-21	9.5509834369	DN
ENSMUST00000036206	Ccdc92	1.6957875913	3.59E-21	4.1740674956	UP
ENSMUST00000020215,ENSMUST00000119917,ENSMUST00000170690,ENSMUST00000172070	Socs2	-1.4596516515	4.32E-21	6.8826587449	DN
ENSMUST00000024988	C3	-1.3658975888	4.32E-21	8.3140219953	DN
ENSMUST00000055221	Kcnk12	-1.7696099086	5.37E-21	3.841025641	DN
ENSMUST00000161354	Abcg4	-1.9043255386	6.24E-21	1.6518969814	DN
ENSMUST00000152830,ENSMUST00000169480,ENSMUST00000144331,ENSMUST00000133574	Satb1	-1.435657189	1.27E-20	2.4439031591	DN
ENSMUST00000042470	Zkscan2	1.6651366337	1.50E-20	2.5109457093	UP
ENSMUST00000019998	Perp	1.5203341801	2.41E-20	6.0595677385	UP
ENSMUST00000034187	Mmp2	-1.6082672408	2.69E-20	3.6756935271	DN
ENSMUST00000106242,ENSMUST00000064821	Itgam	-1.4142098992	3.71E-20	5.5750214961	DN
ENSMUST00000067060	Klf1	-1.3491973923	4.71E-20	15.3821032005	DN
ENSMUST00000035908	Egr3	-2.4386337907	5.58E-20	2.43281471	DN
ENSMUST00000164513,ENSMUST00000164160,ENSMUST00000058352,ENSMUST00000088075	Clec9a	1.3946592979	5.74E-20	8.6203224825	UP
ENSMUST00000021438	Nova1	1.7265402571	5.99E-20	1.1586847748	UP
ENSMUST00000005592	Siglecg	-2.1003646133	6.33E-20	1.765776699	DN
ENSMUST00000103084	Zfp334	1.5919586067	6.82E-20	2.0206841687	UP
ENSMUST00000064762	Mtap1b	1.518976134	7.25E-20	1.3364288729	UP
ENSMUST00000025844	Ctsw	1.366799409	7.30E-20	21.6898527005	UP
ENSMUST00000042586	5830405N20Rik	-1.9845242626	8.09E-20	3.0682492582	DN
ENSMUST00000044165,ENSMUST00000124360	Itga9	-1.4280567415	8.86E-20	2.2939677145	DN
ENSMUST00000165485,ENSMUST00000070118	Efemp2	2.1786489516	1.05E-19	2.2570960699	UP
ENSMUST00000097735	Plcl1	1.2004667288	1.27E-19	12.5805466483	UP
ENSMUST00000064341,ENSMUST00000093506	C130026I21Rik	2.4683762488	1.40E-19	1.4747834947	UP
ENSMUST00000055390	Rhoj	1.2507376297	1.61E-19	20.4186145346	UP
ENSMUST00000115028,ENSMUST00000069345	Itgb5	-1.7339651868	1.81E-19	2.2329354148	DN
ENSMUST00000065987,ENSMUST00000115839	Abat	1.4526147947	2.25E-19	3.1846720069	UP
ENSMUST00000036355,ENSMUST00000076333	Phldb2	-1.3504794138	2.27E-19	3.0173175473	DN
ENSMUST00000087638	Aldh1a1	1.129204203	3.15E-19	325.2748885587	UP
ENSMUST00000048731	2610034B18Rik	1.4307069674	4.05E-19	7.6193755739	UP
ENSMUST00000028466	Prg3	-1.7657288718	4.44E-19	8.8282078473	DN
ENSMUST00000020974	Id2	1.3118681236	4.46E-19	19.4326241135	UP
ENSMUST00000172753	Hspa1b	-2.1127266401	5.27E-19	1.3278746885	DN
ENSMUST00000021119	Aspa	1.2757142466	5.65E-19	18.4522251309	UP
ENSMUST00000127929,ENSMUST00000047168	Pde9a	1.3537452727	7.17E-19	9.6161369193	UP
ENSMUST00000115995	Fads3	1.2384212842	7.26E-19	13.93920786	UP
ENSMUST00000049285	Lrrn1	1.9300380356	8.38E-19	1.3239211508	UP
ENSMUST00000168788	Csf2rb	-1.2817904246	1.09E-18	7.4563249842	DN
ENSMUST00000113516	Kdr	1.2701097347	1.27E-18	6.8229647406	UP
ENSMUST00000044405	Lpar6	1.1808226122	1.27E-18	62.6874746656	UP
ENSMUST00000003274	Ebi3	-1.217751585	1.36E-18	37.1698113208	DN
ENSMUST00000028328	Entpd2	1.6062710611	1.50E-18	4.8755186722	UP
ENSMUST00000032383	Sspn	1.6167066132	1.50E-18	1.8206583428	UP
ENSMUST00000051442	Pcdhb16	1.4749685233	1.57E-18	2.2755741127	UP
ENSMUST00000004829	Cd244	-1.7451115939	1.74E-18	1.7564683916	DN
ENSMUST00000043794	Jakmip1	-1.4632761462	1.83E-18	4.7699451245	DN
ENSMUST00000029574	Vcam1	-1.3281639019	1.87E-18	6.5417527294	DN
ENSMUST00000043294	Asb4	1.5760506686	1.99E-18	2.615126563	UP
ENSMUST00000036267	Chst2	1.268296171	2.40E-18	4.6866987179	UP
ENSMUST00000108883,ENSMUST00000102727	Anxa6	-1.1795083009	2.56E-18	31.8728652751	DN
ENSMUST00000044009	Camk1d	-1.2911920851	2.56E-18	3.5838028169	DN
ENSMUST00000121175,ENSMUST00000038618	Ltbp4	1.2081940135	2.93E-18	8.4616076245	UP
ENSMUST00000001051	S100a6	1.1432198009	3.74E-18	91.3268156425	UP
ENSMUST00000105987,ENSMUST00000030741	Ptpru	1.4469369061	4.20E-18	2.683171935	UP
ENSMUST00000070004	Ldhd	1.2184782115	5.03E-18	20.0497737557	UP
ENSMUST00000053389	Cxcr1	1.5251068295	5.55E-18	8.5962566845	UP
ENSMUST00000163820,ENSMUST00000034777	Calml4	1.5786440381	6.61E-18	9.9941520468	UP
ENSMUST00000021120,ENSMUST00000106441	Trim47	1.1114584779	7.24E-18	145.1210598447	UP
ENSMUST00000020779	Mpo	-1.1664244862	1.06E-17	180.920221169	DN
ENSMUST00000031646	Rasl11a	1.771514362	1.17E-17	5.2584670232	UP
ENSMUST00000112629,ENSMUST00000028166	Nr4a2	-1.3008011579	1.70E-17	6.9967046135	DN
ENSMUST00000038227	Darc	1.7632671125	1.91E-17	5.0562283737	UP
ENSMUST00000024954	Epas1	1.3524070707	2.49E-17	3.2065217391	UP
ENSMUST00000062862,ENSMUST00000075330,ENSMUST00000095360,ENSMUST00000121161,ENSMUST00000122100	Igf1	-1.6432604114	2.49E-17	1.0325182435	DN
ENSMUST00000027053	Rdh10	1.160950129	2.56E-17	21.1009174312	UP
ENSMUST00000025656	Aldh1a7	-1.6244996567	2.69E-17	3.3781143136	DN
ENSMUST00000079300	Arhgef26	1.3288479212	2.79E-17	3.3586977461	UP
ENSMUST00000056449	Arhgap30	-1.0740058285	3.14E-17	50.6022346369	DN
ENSMUST00000063517	Spats2	1.8000033034	5.30E-17	2.3569682152	UP
ENSMUST00000114112,ENSMUST00000069994	St3gal5	-1.3175861896	6.85E-17	6.8844735764	DN
ENSMUST00000096308	Nlrc3	-1.599046111	7.17E-17	1.6494337765	DN
ENSMUST00000040914	Hist1h1c	-1.1908821901	7.67E-17	22.1730769231	DN
ENSMUST00000097625	Pam	1.0658234735	8.07E-17	59.1464311994	UP
ENSMUST00000029566,ENSMUST00000118587	Efna1	1.2019029739	1.33E-16	17.2035452323	UP
ENSMUST00000160616	Tmem163	1.5361432387	1.33E-16	2.961339179	UP
ENSMUST00000171127	Hist1h2ac	-2.2467994811	1.46E-16	1.1536918138	DN
ENSMUST00000055226	Fn1	-1.168014294	2.18E-16	14.1229131382	DN
ENSMUST00000022918,ENSMUST00000170127,ENSMUST00000110297,ENSMUST00000166917	Oxr1	1.0376821052	2.32E-16	69.454779339	UP
ENSMUST00000020234	Timp3	1.1017426479	2.36E-16	18.9050470488	UP
	2310069B03Rik	2.8098345418	2.73E-16	1.0153256705	UP
ENSMUST00000011407	Exoc3l2	1.1585260433	2.96E-16	20.5163304515	UP
ENSMUST00000024721	Rhag	-1.2215637743	3.99E-16	8.5494362533	DN
ENSMUST00000114769,ENSMUST00000023854,ENSMUST00000114772	Fhl1	1.0495450032	4.19E-16	70.8132635253	UP
ENSMUST00000033502	Gata1	-1.1034267598	4.27E-16	28.3647973348	DN
ENSMUST00000031982	Hpgds	1.1903813744	4.52E-16	11.7269137303	UP
ENSMUST00000033899	Col4a2	-1.0448505143	4.81E-16	21.7223267482	DN
ENSMUST00000091002,ENSMUST00000107689	Fhdc1	1.0896926648	6.52E-16	18.1831683168	UP
ENSMUST00000040638	Pbx3	1.1083854264	9.38E-16	24.4693791946	UP
ENSMUST00000038422	6430527G18Rik	1.1153871392	1.07E-15	17.2050595962	UP
ENSMUST00000047379,ENSMUST00000120563	Ptger4	1.0608704855	1.08E-15	30.2093180284	UP
ENSMUST00000039788	Cd276	1.2080347088	1.17E-15	6.4521711768	UP
ENSMUST00000100521,ENSMUST00000071510,ENSMUST00000103154	Skap1	1.8321684532	1.29E-15	1.8856224162	UP
ENSMUST00000021903	Gadd45g	1.3101297838	1.67E-15	15.2602230483	UP
ENSMUST00000032738	Chrna7	2.3111555714	1.77E-15	1.2686208554	UP
ENSMUST00000041331	Scd1	1.1377798661	1.90E-15	5.6199544608	UP
ENSMUST00000007624	Mc5r	-1.258222813	1.96E-15	15.25	DN
ENSMUST00000098256,ENSMUST00000105566,ENSMUST00000006761	Runx1t1	1.2017460851	2.52E-15	3.621892717	UP
ENSMUST00000035065	Ptgs2	-1.7137719856	2.77E-15	1.6009673519	DN
ENSMUST00000074557	H2-Eb1	1.0126914525	3.09E-15	67.2188815394	UP
ENSMUST00000042944	Arap3	-1.0574326807	3.58E-15	11.5526075023	DN
ENSMUST00000098461	Cd37	-1.072484004	4.27E-15	55.8908045977	DN
ENSMUST00000110689	C7	1.62439173	4.64E-15	2.3021181717	UP
ENSMUST00000034802	Fam46a	-1.1772682002	4.99E-15	4.8182479099	DN
ENSMUST00000109104	Maf	1.2673425619	5.51E-15	4.2817907168	UP
ENSMUST00000133659,ENSMUST00000164721	Nrg4	1.1996944108	6.65E-15	7.3020471224	UP
ENSMUST00000024972	4930528F23Rik	2.6576703557	7.27E-15	1.0746003552	UP
	AK083197	1.2978113838	7.67E-15	2.3329864724	UP
ENSMUST00000075249	Plekhg3	-1.1447398272	8.19E-15	4.4529983793	DN
ENSMUST00000048028	Stag3	-1.4126847881	1.08E-14	1.7572722938	DN
ENSMUST00000076052	Prcp	0.9736474955	1.16E-14	122.5871404399	UP
ENSMUST00000124830	Dsp	1.3705396215	1.44E-14	1.2599289298	UP
ENSMUST00000111275	Ncf1	-1.1744776902	1.48E-14	10.1697416974	DN
ENSMUST00000035842	Rassf4	-1.0477118567	2.42E-14	13.7194062845	DN
ENSMUST00000068140	Tmem158	1.1743073308	2.49E-14	11.3048498845	UP
ENSMUST00000032343	Erp27	1.2234424946	2.62E-14	15.4016913319	UP
ENSMUST00000055745	Nlrp10	-1.4672487508	4.17E-14	1.5234375	DN
ENSMUST00000035148	Slco2a1	1.2444887639	4.22E-14	4.5533714854	UP
ENSMUST00000113982,ENSMUST00000000641	Sema4f	1.4658442427	4.47E-14	1.369	UP
ENSMUST00000166811,ENSMUST00000114476	Ncam1	1.2521894624	4.72E-14	1.7775534063	UP
ENSMUST00000037453	Prss34	-1.0985591281	4.73E-14	35.9496284063	DN
ENSMUST00000108364,ENSMUST00000011895,ENSMUST00000108362,ENSMUST00000108363	Spnb4	1.2075496271	4.73E-14	2.2582071405	UP
ENSMUST00000102707	Cyp4b1	1.4106651753	6.45E-14	4.3356643357	UP
ENSMUST00000112346	B3galt1	1.1665047522	6.79E-14	3.4910588708	UP
ENSMUST00000103239,ENSMUST00000076335,ENSMUST00000078621,ENSMUST00000051419,ENSMUST00000077847	Sema6d	1.4290428256	6.79E-14	1.262649494	UP
ENSMUST00000068584	Cd48	-1.3080840997	7.56E-14	12.1309314587	DN
ENSMUST00000067384	Rhob	-1.0402288922	8.24E-14	62.1046720575	DN
ENSMUST00000012798	Siglec5	-1.7176419063	8.90E-14	1.8513957307	DN
ENSMUST00000023151	Bcl6	1.1377045037	1.06E-13	7.5282442748	UP
ENSMUST00000070518	Nkg7	-1.062001116	1.13E-13	63.0160692213	DN
ENSMUST00000082430	Gpx3	1.1868853244	1.25E-13	10.8794466403	UP
ENSMUST00000149025	Gm13881	1.1138837413	1.39E-13	10.8494884222	UP
ENSMUST00000110697,ENSMUST00000069451,ENSMUST00000110698	Ghr	1.0197017429	1.48E-13	12.0002266546	UP
ENSMUST00000071745	Rps4y2	-1.2777333959	1.52E-13	13.0053191489	DN
ENSMUST00000172388,ENSMUST00000027604	Rgs1	-0.9628155712	1.56E-13	155.079245283	DN
