seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr8,13036208,13037962,1755,*,7.85,8.31,7.15,1.17,3.85e-07,0.000289
chr1,88276305,88278408,2104,*,10.47,10.66,10.25,0.41,4.37e-07,0.000319
chr7,35117740,35120980,3241,*,9.81,10.04,9.54,0.49,4.56e-07,0.000319
chr7,93079524,93081267,1744,*,9.52,9.76,9.23,0.53,4.6e-07,0.000319
chr5,8356867,8358244,1378,*,8.91,9.2,8.54,0.65,4.84e-07,0.000323
chr17,39843078,39848750,5673,*,12.79,12.94,12.62,0.32,4.88e-07,0.000323
chr19,3321450,3324297,2848,*,9.92,10.14,9.66,0.47,5.03e-07,0.000325
chr7,58836751,58837621,871,*,7.57,8.03,6.91,1.12,5.49e-07,0.000347
chr12,116077091,116078448,1358,*,8.9,9.19,8.53,0.65,6.47e-07,4e-04
chr18,9211605,9214541,2937,*,10.25,10.45,10.02,0.43,6.63e-07,0.000401
chr8,4212890,4214933,2044,*,9.83,10.05,9.56,0.48,7.6e-07,0.000449
chr14,118234360,118237473,3114,*,9.39,9.63,9.09,0.54,7.98e-07,0.00045
chrX,18161560,18164483,2924,*,10.48,10.67,10.26,0.41,8.09e-07,0.00045
chr12,114378303,114379640,1338,*,8.48,8.81,8.05,0.76,8.1e-07,0.00045
chr5,16374921,16376995,2075,*,8.74,9.05,8.36,0.68,8.56e-07,0.000465
chr3,58414168,58417385,3218,*,10.71,10.89,10.5,0.39,8.7e-07,0.000465
chr10,80791573,80793136,1564,*,8.48,8.81,8.04,0.78,8.87e-07,0.000465
chr8,3278242,3280788,2547,*,9.7,9.93,9.43,0.49,9.45e-07,0.000486
chr12,108274073,108276651,2579,*,9.73,9.96,9.47,0.48,1.13e-06,0.000563
chr5,23432467,23435569,3103,*,10.85,11.02,10.66,0.37,1.13e-06,0.000563
chr18,50052873,50054778,1906,*,9.1,9.36,8.77,0.59,1.19e-06,0.00058
chr1,168225491,168226684,1194,*,8.63,8.94,8.24,0.7,1.22e-06,0.000584
chr19,36347275,36349697,2423,*,10.19,10.39,9.96,0.42,1.35e-06,0.000634
chr12,103531660,103533517,1858,*,9.57,9.8,9.3,0.5,1.39e-06,0.000644
chr2,178497521,178498971,1451,*,9.04,9.34,8.66,0.68,1.43e-06,0.000653
chr16,78375278,78377422,2145,*,10.39,10.57,10.17,0.4,1.53e-06,0.000685
chr17,31842985,31843934,950,*,7.75,8.18,7.14,1.04,1.67e-06,0.000736
chr2,13009339,13011947,2609,*,8.65,8.95,8.27,0.69,1.8e-06,0.000773
chr19,10914234,10915378,1145,*,7.98,8.38,7.43,0.95,1.81e-06,0.000773
chr6,26766239,26767595,1357,*,8.68,8.98,8.29,0.68,1.92e-06,0.000804
chr11,93821084,93822408,1325,*,8.89,9.19,8.5,0.7,1.94e-06,0.000804
chr16,90142286,90144946,2661,*,10.25,10.44,10.03,0.41,2.02e-06,0.000825
chr18,25167886,25169665,1780,*,9.89,10.11,9.63,0.48,2.08e-06,0.000832
chr13,105053677,105055954,2278,*,9.34,9.59,9.05,0.53,2.1e-06,0.000832
chr3,93443508,93445668,2161,*,9.21,9.46,8.9,0.56,2.15e-06,0.000843
chr11,90331528,90332937,1410,*,7.58,8.02,6.94,1.08,2.21e-06,0.000852
chr10,83183651,83185529,1879,*,8.9,9.18,8.56,0.62,2.28e-06,0.000859
chr12,105683925,105685960,2036,*,9.69,9.91,9.43,0.49,2.29e-06,0.000859
chr13,21753135,21754988,1854,*,9.65,9.88,9.38,0.5,2.32e-06,0.000859
chr17,50114883,50117760,2878,*,7.28,7.79,6.51,1.28,2.36e-06,0.000864
chr2,18607712,18610011,2300,*,9.41,9.65,9.13,0.53,2.49e-06,0.000895
chr4,72198868,72201835,2968,*,10.6,10.78,10.4,0.38,2.51e-06,0.000895
chr9,98424216,98426391,2176,*,8.68,8.97,8.31,0.66,2.55e-06,0.000896
chr19,16872010,16873115,1106,*,8.04,8.4,7.55,0.85,2.58e-06,0.000896
chr2,147012016,147013979,1964,*,10.02,10.22,9.79,0.43,2.73e-06,0.000936
chr18,90508959,90510871,1913,*,9.75,9.97,9.5,0.47,2.79e-06,0.00094
chr2,153560426,153561945,1520,*,8.76,9.06,8.37,0.69,2.81e-06,0.00094
chr8,27120322,27121298,977,*,8,8.37,7.51,0.86,2.84e-06,0.00094
chr2,34776805,34780834,4030,*,9.23,9.5,8.89,0.61,2.99e-06,0.000976
chr4,145463558,145464564,1007,*,7.59,8.06,6.88,1.18,3.13e-06,0.00101
chr1,17726720,17728218,1499,*,9.01,9.27,8.69,0.58,3.21e-06,0.00101
chr16,5049081,5051063,1983,*,9.82,10.02,9.58,0.45,3.21e-06,0.00101
chr1,82290065,82292093,2029,*,9.16,9.42,8.85,0.57,3.3e-06,0.00102
chr19,16131948,16134082,2135,*,9.84,10.06,9.58,0.48,3.31e-06,0.00102
chrX,170672802,170676506,3705,*,9.17,9.42,8.86,0.56,3.5e-06,0.00107
chr14,50061070,50062967,1898,*,9.81,10.02,9.57,0.45,3.58e-06,0.00108
chr12,108178294,108180396,2103,*,10.29,10.48,10.07,0.41,3.74e-06,0.00112
chr6,108212182,108214963,2782,*,9.92,10.12,9.68,0.44,4.06e-06,0.0012
chr18,20895581,20897130,1550,*,9.6,9.82,9.34,0.47,4.17e-06,0.00122
chr18,42897886,42899943,2058,*,8.81,9.1,8.45,0.65,4.26e-06,0.00123
chr5,32712338,32714489,2152,*,9.67,9.91,9.37,0.54,4.65e-06,0.00133
chr16,4963392,4965259,1868,*,9.69,9.9,9.44,0.46,4.86e-06,0.00137
chr7,113294512,113295933,1422,*,8.84,9.12,8.5,0.62,4.88e-06,0.00137
chr8,119423659,119425098,1440,*,9.11,9.36,8.8,0.56,5.03e-06,0.00139
chr2,43738552,43740155,1604,*,8.72,9.02,8.35,0.67,5.04e-06,0.00139
chr11,72960393,72962142,1750,*,9.03,9.3,8.71,0.58,5.14e-06,0.0014
chr1,44118225,44120300,2076,*,9.91,10.11,9.69,0.43,5.24e-06,0.00141
chr5,38560357,38562375,2019,*,9.88,10.07,9.65,0.43,5.33e-06,0.00141
chr19,17835624,17837995,2372,*,9.26,9.51,8.96,0.55,5.42e-06,0.00141
chr7,82865668,82868073,2406,*,10.46,10.63,10.26,0.37,5.43e-06,0.00141
chr1,9699673,9701294,1622,*,9.73,9.94,9.47,0.47,5.46e-06,0.00141
chr13,83737451,83740309,2859,*,8.54,8.84,8.15,0.69,5.5e-06,0.00141
chr4,36950079,36952275,2197,*,8.77,9.06,8.42,0.64,5.54e-06,0.00141
chr10,9674420,9676029,1610,*,8.78,9.05,8.44,0.61,5.78e-06,0.00146
chr3,9249566,9251933,2368,*,10.11,10.3,9.89,0.42,5.95e-06,0.00148
chr15,50888214,50891003,2790,*,9.81,10.01,9.58,0.43,5.97e-06,0.00148
chr17,65883943,65886697,2755,*,10.21,10.4,10.01,0.39,6.34e-06,0.00156
chr9,97017370,97019387,2018,*,9.03,9.29,8.72,0.57,6.67e-06,0.00162
chr16,52449998,52453685,3688,*,10.75,10.92,10.56,0.36,6.76e-06,0.00162
chr15,3581790,3583792,2003,*,9.85,10.05,9.62,0.43,6.77e-06,0.00162
chr18,67288218,67290734,2517,*,9.78,9.99,9.54,0.45,7.11e-06,0.00166
chr10,39625077,39626391,1315,*,8.69,8.97,8.34,0.64,7.15e-06,0.00166
chr15,4025985,4028066,2082,*,10.19,10.37,9.98,0.39,7.15e-06,0.00166
chr13,60601328,60603030,1703,*,9.76,9.97,9.5,0.47,7.22e-06,0.00166
chr14,122474817,122476422,1606,*,8.5,8.8,8.12,0.67,7.29e-06,0.00166
chr17,8799967,8802972,3006,*,8.97,9.23,8.65,0.57,7.31e-06,0.00166
chr3,100161630,100163155,1526,*,9.27,9.51,8.99,0.52,7.5e-06,0.0017
chr18,73571617,73574786,3170,*,10.89,11.06,10.7,0.36,7.74e-06,0.00173
chr4,154011126,154012846,1721,*,8.95,9.2,8.63,0.57,7.84e-06,0.00174
chr16,25220339,25221438,1100,*,7.48,7.96,6.75,1.21,8.13e-06,0.00176
chr18,42723595,42724360,766,*,7.61,8.01,7.06,0.95,8.18e-06,0.00176
chr1,149960470,149962186,1717,*,8.9,9.16,8.57,0.6,8.2e-06,0.00176
chr8,113634664,113636343,1680,*,10.22,10.41,10.01,0.4,8.21e-06,0.00176
chr19,58453009,58456230,3222,*,8.79,9.07,8.45,0.63,8.29e-06,0.00176
chr2,13573079,13575797,2719,*,10.22,10.4,10.01,0.39,8.33e-06,0.00176
chr3,126595834,126598382,2549,*,10.32,10.49,10.12,0.37,8.36e-06,0.00176
chr14,14347348,14347971,624,*,8.26,8.58,7.85,0.73,8.6e-06,0.0018
chr2,11776955,11779070,2116,*,10.15,10.34,9.94,0.39,8.81e-06,0.00183
chr12,112672972,112675725,2754,*,9.81,10.01,9.57,0.43,9.01e-06,0.00185
chr5,38219699,38221277,1579,*,9.2,9.44,8.92,0.52,9.05e-06,0.00185
chr10,82866047,82867248,1202,*,7.43,7.85,6.83,1.03,9.24e-06,0.00186
chr14,16363960,16366510,2551,*,10.27,10.45,10.06,0.39,9.3e-06,0.00186
chr14,14349406,14350068,663,*,8.6,8.89,8.24,0.65,9.34e-06,0.00186
chr14,98167277,98170251,2975,*,10.49,10.66,10.29,0.36,9.37e-06,0.00186
chr2,84839269,84840957,1689,*,9.42,9.65,9.15,0.5,9.5e-06,0.00187
chr14,122463049,122465830,2782,*,9.11,9.35,8.81,0.54,1.01e-05,0.00197
chr5,41706889,41708844,1956,*,9.96,10.15,9.75,0.41,1.01e-05,0.00197
chr8,73352405,73354765,2361,*,10.16,10.35,9.95,0.4,1.04e-05,0.002
chr2,20967723,20970090,2368,*,10.39,10.56,10.19,0.38,1.06e-05,0.00201
chr19,8818800,8820866,2067,*,10.15,10.33,9.94,0.39,1.06e-05,0.00201
chr12,41565596,41567176,1581,*,9.04,9.29,8.73,0.56,1.06e-05,0.00201
chr14,115040019,115042769,2751,*,10.73,10.9,10.54,0.35,1.09e-05,0.00201
chr16,78398560,78399760,1201,*,7.9,8.25,7.42,0.83,1.09e-05,0.00201
chr11,32619143,32620214,1072,*,8.59,8.88,8.24,0.64,1.09e-05,0.00201
chr15,25983731,25985570,1840,*,9.8,10,9.57,0.43,1.09e-05,0.00201
chr11,18924624,18925770,1147,*,8.62,8.9,8.26,0.63,1.12e-05,0.00203
chr3,98427090,98429385,2296,*,9.39,9.61,9.12,0.48,1.12e-05,0.00203
chr9,23569929,23570695,767,*,7.65,8.07,7.05,1.02,1.14e-05,0.00205
chr18,37805874,37808537,2664,*,9.36,9.58,9.09,0.49,1.18e-05,0.00211
chr4,20007909,20009892,1984,*,9.34,9.57,9.07,0.5,1.23e-05,0.00219
chr5,93091985,93094651,2667,*,9.75,9.95,9.52,0.43,1.25e-05,0.00221
chr13,21179440,21181502,2063,*,10.14,10.33,9.92,0.41,1.26e-05,0.00222
chr12,105031876,105033565,1690,*,9.8,10,9.56,0.43,1.3e-05,0.00227
chr13,23738510,23740458,1949,*,10.33,10.51,10.12,0.38,1.31e-05,0.00227
chr2,157063216,157064585,1370,*,8.36,8.67,7.97,0.7,1.32e-05,0.00227
chr10,125388517,125390433,1917,*,9.62,9.83,9.39,0.44,1.32e-05,0.00227
chr18,24674507,24675776,1270,*,8.07,8.41,7.63,0.79,1.33e-05,0.00227
chr17,51831458,51833628,2171,*,9.45,9.67,9.2,0.48,1.34e-05,0.00227
chrX,140060728,140063066,2339,*,8.42,8.73,8.02,0.7,1.38e-05,0.00233
chr2,4517670,4519596,1927,*,7.4,7.84,6.78,1.06,1.44e-05,0.0024
chr9,88481058,88483357,2300,*,10.34,10.53,10.14,0.39,1.44e-05,0.0024
chr17,71182484,71185109,2626,*,9.98,10.17,9.75,0.42,1.45e-05,0.0024
chr19,18670246,18671969,1724,*,9.64,9.85,9.4,0.44,1.47e-05,0.00242
chr19,41846915,41848828,1914,*,9.58,9.79,9.34,0.45,1.49e-05,0.00242
chr12,3892308,3893506,1199,*,8.39,8.69,8.01,0.69,1.49e-05,0.00242
chr6,23838154,23840556,2403,*,9.84,10.04,9.61,0.43,1.51e-05,0.00244
chr9,89958859,89959928,1070,*,7.42,7.84,6.81,1.04,1.53e-05,0.00246
chr17,43016144,43018316,2173,*,9.99,10.17,9.78,0.39,1.56e-05,0.00248
chr10,56114777,56116039,1263,*,9.1,9.34,8.81,0.53,1.57e-05,0.00248
chr1,15678670,15679428,759,*,7.43,6.75,7.89,-1.14,1.58e-05,0.00248
chr1,66815850,66818182,2333,*,10.51,10.67,10.33,0.34,1.58e-05,0.00248
chr19,12572947,12574656,1710,*,9.44,9.66,9.19,0.46,1.59e-05,0.00249
chr2,23067713,23069786,2074,*,10.04,10.22,9.83,0.39,1.6e-05,0.00249
chr12,116280410,116282252,1843,*,10.05,10.24,9.83,0.41,1.61e-05,0.00249
chr2,148406127,148408781,2655,*,9.64,9.85,9.4,0.45,1.65e-05,0.00253
chr10,52416945,52419017,2073,*,9.84,10.04,9.62,0.42,1.65e-05,0.00253
chr12,116404738,116406061,1324,*,9.34,9.56,9.08,0.48,1.7e-05,0.00258
chr2,36230003,36231538,1536,*,9.35,9.57,9.09,0.48,1.71e-05,0.00258
chr11,90334440,90335627,1188,*,7.9,8.28,7.38,0.9,1.72e-05,0.00258
chr9,37488422,37490249,1828,*,9.93,10.13,9.71,0.41,1.73e-05,0.00259
chr19,18712530,18713905,1376,*,9.46,9.67,9.21,0.46,1.76e-05,0.00262
chr11,68384700,68387481,2782,*,8.36,8.68,7.97,0.71,1.83e-05,0.0027
chr9,16214737,16216781,2045,*,9.57,9.77,9.32,0.45,1.85e-05,0.00271
chr15,75431519,75432107,589,*,7.35,7.81,6.68,1.13,1.85e-05,0.00271
chr19,12500795,12502451,1657,*,9.43,9.65,9.18,0.46,1.88e-05,0.00273
chr2,93849252,93851092,1841,*,9.31,9.53,9.05,0.49,1.89e-05,0.00273
chr3,61363019,61366189,3171,*,10.67,10.84,10.49,0.35,1.9e-05,0.00273
chr16,45843231,45845285,2055,*,9.13,9.37,8.85,0.52,1.91e-05,0.00274
chr12,44328470,44330634,2165,*,8.85,9.1,8.53,0.57,1.93e-05,0.00275
chr16,3743134,3744936,1803,*,9.85,10.05,9.62,0.42,1.94e-05,0.00275
chr19,9982169,9983453,1285,*,9.67,9.87,9.43,0.43,1.95e-05,0.00275
chr8,60631291,60633547,2257,*,10.07,10.25,9.86,0.4,1.96e-05,0.00275
chr19,26604532,26608080,3549,*,10.36,10.53,10.16,0.37,2e-05,0.00275
chr11,29692223,29694506,2284,*,10.43,10.6,10.24,0.36,2e-05,0.00275
chr7,13022915,13025205,2291,*,10.26,10.43,10.06,0.37,2.01e-05,0.00275
chr13,28951878,28954028,2151,*,10.02,10.2,9.81,0.39,2.01e-05,0.00275
chr8,124732519,124733427,909,*,7.66,8.03,7.15,0.88,2.01e-05,0.00275
chr9,78473459,78474616,1158,*,7.72,8.15,7.13,1.02,2.04e-05,0.00278
chr19,12009537,12012809,3273,*,10.2,10.39,9.99,0.4,2.06e-05,0.00278
chr19,60755491,60757330,1840,*,9.45,9.67,9.2,0.47,2.06e-05,0.00278
chr8,4612430,4614008,1579,*,9.19,9.42,8.92,0.5,2.1e-05,0.00281
chr12,49382635,49385786,3152,*,9.04,9.3,8.73,0.56,2.11e-05,0.00281
chr10,120474732,120477417,2686,*,8.87,9.13,8.55,0.58,2.15e-05,0.00284
chr12,113146029,113147336,1308,*,8.83,9.1,8.48,0.62,2.15e-05,0.00284
chr7,41498864,41500886,2023,*,9.67,9.87,9.44,0.43,2.16e-05,0.00284
chr15,31417436,31419301,1866,*,9.37,9.58,9.11,0.47,2.28e-05,0.00298
chr12,119237635,119239516,1882,*,8.73,9,8.39,0.61,2.29e-05,0.00299
chr12,113187216,113188215,1000,*,8.34,8.65,7.95,0.7,2.35e-05,0.00304
JH584304.1,58542,61414,2873,*,11.43,11.58,11.27,0.31,2.35e-05,0.00304
chr14,99045356,99047130,1775,*,10.01,10.2,9.8,0.4,2.37e-05,0.00305
chr18,74778275,74780323,2049,*,9.9,10.08,9.69,0.4,2.39e-05,0.00306
chr16,14438807,14439859,1053,*,8.3,8.63,7.87,0.76,2.42e-05,0.00309
chr16,63832071,63834909,2839,*,7.27,7.69,6.68,1.01,2.47e-05,0.00309
chr3,96219125,96221684,2560,*,10.04,10.22,9.84,0.39,2.48e-05,0.00309
chr19,23133946,23136502,2557,*,10.53,10.7,10.34,0.35,2.49e-05,0.00309
chr1,16617915,16619909,1995,*,9.63,9.83,9.39,0.43,2.49e-05,0.00309
chr10,69308962,69309938,977,*,7.94,8.31,7.46,0.85,2.5e-05,0.00309
chr8,66859895,66861988,2094,*,9.57,9.78,9.34,0.44,2.52e-05,0.00309
chrY,90737545,90738542,998,*,7.7,8.1,7.15,0.95,2.52e-05,0.00309
chr4,147940474,147941849,1376,*,9.15,9.38,8.88,0.5,2.53e-05,0.00309
chr15,31349687,31350595,909,*,9.03,9.27,8.74,0.52,2.53e-05,0.00309
chr3,99112817,99114430,1614,*,8.1,7.61,8.46,-0.85,2.55e-05,0.00311
chr2,151972863,151974549,1687,*,9.87,10.06,9.65,0.41,2.58e-05,0.00313
chr2,107231442,107232204,763,*,7.78,7.21,8.19,-0.98,2.6e-05,0.00314
chr11,30953312,30954926,1615,*,9.27,9.49,9.01,0.48,2.64e-05,0.00318
chr1,106758702,106760570,1869,*,9.88,10.07,9.67,0.4,2.65e-05,0.00318
chr8,36247657,36249958,2302,*,10.61,10.78,10.43,0.35,2.73e-05,0.00324
chr5,96160352,96163357,3006,*,10.49,10.65,10.32,0.34,2.73e-05,0.00324
chr8,4492555,4494364,1810,*,9.92,10.1,9.71,0.39,2.75e-05,0.00324
chr19,16955368,16956755,1388,*,8.87,9.12,8.56,0.56,2.78e-05,0.00324
chr10,70094884,70098283,3400,*,10.19,10.36,9.99,0.37,2.79e-05,0.00324
chr3,79285885,79288325,2441,*,10.15,10.32,9.95,0.38,2.8e-05,0.00324
chr2,36101872,36104082,2211,*,8.55,8.84,8.2,0.64,2.8e-05,0.00324
chr15,68927497,68929569,2073,*,9.43,9.64,9.19,0.46,2.8e-05,0.00324
chr19,8251663,8253072,1410,*,8.97,9.21,8.67,0.53,2.83e-05,0.00324
chr7,63937201,63940019,2819,*,11.14,11.3,10.97,0.33,2.83e-05,0.00324
chr10,7680351,7682143,1793,*,9.42,9.63,9.17,0.47,2.84e-05,0.00324
chr12,108764909,108766738,1830,*,9.31,9.55,9.04,0.51,2.85e-05,0.00324
chr19,12595339,12596646,1308,*,8.97,9.22,8.68,0.54,2.87e-05,0.00324
chr13,6646860,6649239,2380,*,10.18,10.36,9.98,0.38,2.87e-05,0.00324
chr11,72945929,72947361,1433,*,8.77,9.04,8.44,0.6,2.93e-05,0.0033
chr19,40512689,40514225,1537,*,9.43,9.65,9.19,0.46,2.97e-05,0.00332
chr10,36506141,36508465,2325,*,8.69,8.98,8.33,0.65,3e-05,0.00335
chr7,70273802,70274838,1037,*,7.51,6.81,7.97,-1.16,3.02e-05,0.00335
chr1,89929978,89931571,1594,*,8.95,9.19,8.66,0.53,3.02e-05,0.00335
chr7,49245443,49246907,1465,*,9.22,9.45,8.96,0.49,3.06e-05,0.00335
chr14,122982344,122984173,1830,*,9.91,10.09,9.7,0.39,3.06e-05,0.00335
chr16,87725391,87726841,1451,*,7.44,7.91,6.74,1.17,3.07e-05,0.00335
chr12,112808467,112809730,1264,*,8.75,9.02,8.42,0.6,3.07e-05,0.00335
chr7,49544466,49545560,1095,*,7.9,8.24,7.45,0.79,3.12e-05,0.00338
chr9,81632361,81634491,2131,*,9.32,9.54,9.05,0.49,3.14e-05,0.00338
chr7,59227950,59229927,1978,*,10.18,10.36,9.98,0.39,3.15e-05,0.00338
chr4,35155566,35158152,2587,*,9.72,9.91,9.5,0.41,3.15e-05,0.00338
chr18,21299320,21301019,1700,*,10.11,10.29,9.9,0.39,3.16e-05,0.00338
chr2,35898527,35899358,832,*,8.27,8.57,7.88,0.69,3.21e-05,0.00342
chr12,98269438,98271596,2159,*,9.12,9.36,8.82,0.54,3.26e-05,0.00346
chr5,125483337,125485282,1946,*,8.3,8.6,7.91,0.69,3.28e-05,0.00346
chr17,78199375,78201953,2579,*,10.44,10.61,10.24,0.36,3.3e-05,0.00346
chr16,18876180,18878340,2161,*,10.07,10.25,9.87,0.38,3.3e-05,0.00346
chrX,105762865,105765608,2744,*,9.09,9.32,8.81,0.51,3.42e-05,0.00357
chr14,116924962,116927329,2368,*,9.62,9.83,9.38,0.45,3.45e-05,0.00359
chr19,53902536,53904387,1852,*,9.89,10.07,9.69,0.39,3.46e-05,0.00359
chr10,82858536,82860981,2446,*,10.04,10.22,9.84,0.39,3.47e-05,0.00359
chr3,18054169,18056005,1837,*,9.19,9.41,8.93,0.49,3.49e-05,0.00359
chr1,15805240,15806683,1444,*,9.34,9.56,9.09,0.47,3.51e-05,0.00359
chr7,3692342,3695062,2721,*,10.55,10.71,10.37,0.34,3.51e-05,0.00359
chr1,13372132,13374834,2703,*,10.84,10.99,10.66,0.33,3.53e-05,0.00359
chr5,84415831,84417951,2121,*,9.78,9.97,9.55,0.42,3.55e-05,0.00359
chr18,75304281,75305602,1322,*,8.89,9.14,8.58,0.55,3.56e-05,0.00359
chr12,37107898,37109712,1815,*,8.01,8.34,7.58,0.76,3.57e-05,0.00359
chr18,46197902,46199718,1817,*,9.56,9.76,9.33,0.43,3.58e-05,0.00359
chr3,56182044,56184262,2219,*,9.45,9.66,9.2,0.46,3.67e-05,0.00367
chr6,90369099,90370787,1689,*,9.45,9.67,9.2,0.46,3.75e-05,0.00374
chr9,4308950,4310336,1387,*,10.07,10.25,9.86,0.39,3.78e-05,0.00375
chr3,138740732,138743581,2850,*,9.9,10.08,9.69,0.39,3.81e-05,0.00377
chr5,45855884,45858397,2514,*,10.45,10.61,10.26,0.34,3.88e-05,0.00382
chr14,115091366,115093237,1872,*,9.37,9.58,9.13,0.46,3.97e-05,0.00389
chrX,95443651,95445476,1826,*,9.32,9.54,9.07,0.47,3.97e-05,0.00389
chr12,41483368,41486483,3116,*,9.33,9.54,9.08,0.46,4e-05,0.00389
chrX,145504063,145506593,2531,*,9.78,9.97,9.56,0.42,4e-05,0.00389
chr6,135322997,135325403,2407,*,9.69,9.88,9.47,0.41,4.02e-05,0.00389
chr19,8941477,8942756,1280,*,9.3,9.51,9.05,0.46,4.04e-05,0.0039
chr6,61179702,61181599,1898,*,9.79,9.97,9.57,0.4,4.07e-05,0.00392
chr10,89442568,89444836,2269,*,9.76,9.94,9.54,0.4,4.16e-05,0.00399
chr6,117891014,117891920,907,*,7.81,8.16,7.35,0.81,4.19e-05,0.00401
chr2,56304923,56305845,923,*,7.77,8.14,7.27,0.88,4.22e-05,0.00402
chr4,70533965,70536308,2344,*,10.06,10.24,9.86,0.39,4.24e-05,0.00402
chr3,8766001,8768156,2156,*,9.71,9.91,9.47,0.44,4.29e-05,0.00406
chr2,181364619,181366361,1743,*,9.4,9.61,9.15,0.46,4.32e-05,0.00407
chr15,25621490,25623696,2207,*,9.94,10.12,9.74,0.38,4.34e-05,0.00408
chr5,103752644,103755112,2469,*,9.99,10.17,9.8,0.37,4.43e-05,0.00415
chr5,3198050,3199321,1272,*,9.3,9.51,9.04,0.47,4.52e-05,0.0042
chr2,18025841,18029075,3235,*,9.99,10.18,9.77,0.41,4.58e-05,0.0042
chr3,51081146,51083269,2124,*,7.57,7.95,7.05,0.9,4.59e-05,0.0042
chr13,119428221,119430497,2277,*,10.05,10.23,9.85,0.37,4.62e-05,0.0042
chr2,24384874,24387190,2317,*,9.6,9.8,9.36,0.44,4.62e-05,0.0042
chr6,42348887,42350813,1927,*,10.14,10.32,9.94,0.37,4.63e-05,0.0042
chr8,41016036,41017286,1251,*,8.05,8.37,7.64,0.73,4.63e-05,0.0042
chr13,67483400,67484736,1337,*,8.91,9.16,8.62,0.54,4.64e-05,0.0042
chr6,11925318,11926801,1484,*,8.98,9.22,8.7,0.51,4.65e-05,0.0042
chr8,47673203,47676116,2914,*,10.8,10.95,10.63,0.32,4.66e-05,0.0042
chr8,64204208,64206954,2747,*,9.19,9.42,8.93,0.48,4.66e-05,0.0042
