"Table 4. Age-regulated genes in LT-HSC, Age-up-regulated genes are in red, and age-down-regulated genes are in green."					
Probe set	Gene symbol	FC	Fold change	Representative public ID	
1418269_at	Loxl3	2.3	2.3	272012	
1418318_at	Rnf128	3.6	3.6	27764	
1418402_at	Adam19	2.2	2.2	89940	
1418407_at	Pde8a	2.0	2.0	9757	
1418488_s_at	Ripk4	2.5	2.5	35290	
1418501_a_at	Oxr1	1.5	1.5	254267	
1418502_a_at	Oxr1	1.7	1.7	254267	
1418627_at	Gclm	3.0	3.0	292676	
1418674_at	Osmr	5.8	5.8	10760	
1418759_at	Ptpn20	1.6	1.6	8019	
1418901_at	Cebpb	1.7	1.7	NM_009883	
1418946_at	Siat4a	1.6	1.6	347496	
1418975_at	Nckipsd	2.7	2.7	192416	
1419089_at	Timp3	4.0	4.0	4871	
1419119_at	Hcst	2.6	2.6	24026	
1419187_at	1700012L04Rik	2.0	2.0	350551	
1419434_at	Slc2a10	5.6	5.6	34147	
1419457_at	Rgnef	1.8	1.8	252718	
1419616_at	Bmpr2	2.6	2.6	NM_007561	
1419626_at	Adam25	1.4	1.4	251574	
1419699_at	Scgb3a1	2.3	2.3	22802	
1419758_at	Abcb1a	2.4	2.4	31403	
1420113_s_at	2410022L05Rik	1.4	1.4	29063	
1420160_s_at	Myo1e	3.6	3.6	266645	
1420462_at	Il1rapl2	2.3	2.3	155534	
1420716_at	Cd3z	2.1	2.1	234551	
1420784_at	Scn11a	1.8	1.8	89981	
1420874_at	Ptk9	8.8	8.8	309867	
1420934_a_at	Srrm1	5.7	5.7	1963	
1421027_a_at	Mef2c	2.4	2.4	24001	
1421182_at	Clec2	1.5	1.5	30700	
1421344_a_at	Jub	2.5	2.5	100253	
1421378_s_at	Abcc1	4.1	4.1	196634	
1421386_at	Ankrd6	2.6	2.6	214766	
1421415_s_at	Gcnt2	1.8	1.8	26734	
1421569_at	Grid1	2.2	2.2	121569	
1421642_a_at	Cysltr2	1.8	1.8	158324	
1421681_at	Nrg4	1.9	1.9	262663	
1421841_at	Fgfr3	2.0	2.0	6904	
1421869_at	Trim44	3.6	3.6	173246	
1421936_at	Dapp1	1.6	1.6	254835	
1422024_at	Fli1	5.9	5.9	258908	
1422122_at	Fcer2a	2.0	2.0	1233	
1422206_at	B3galt1	4.7	4.7	357406	
1422444_at	Itga6	2.7	2.7	225096	
1422455_s_at	Nsf	4.1	4.1	260117	
1422546_at	Ilf3	2.8	2.8	20935	
1422573_at	Ampd3	1.9	1.9	3238	
1422680_at	Sh2bp1	3.0	3.0	255858	
1422861_s_at	1110001A05Rik	2.8	2.8	117709	
1422868_s_at	Gda	1.8	1.8	45054	
1423233_at	Cebpd	5.5	5.5	347407	
1423274_at	Ddx26	2.4	2.4	291864	
1423278_at	Ptprk	2.1	2.1	332303	
1423352_at	Cocoacrisp	1.4	1.4	289625	
1423413_at	Ndrg1	6.1	6.1	AI987929	
1423569_at	Gatm	2.1	2.1	29975	
1423571_at	Edg1	2.1	2.1	BB133079	
1423597_at	Atp8a1	6.0	6.0	153230	
1423872_a_at	Dag1	2.1	2.1	7524	
1424050_s_at	Fgfr1	1.7	1.7	265716	
1424129_at	1200003O06Rik	1.5	1.5	271975	
1424229_at	Dyrk3	2.3	2.3	39299	
1424342_at	3830421F13Rik	2.5	2.5	12831	
1424470_a_at	Rapgef3	2.9	2.9	24028	
1424713_at	Calml4	3.5	3.5	28623	
1424885_at	A630065K24Rik	4.3	4.3	39723	
1424913_at	2310044G17Rik	5.9	5.9	22337	
1424926_at	Sec63	4.1	4.1	214344	
1425060_s_at	Rsn	2.9	2.9	241109	
1425139_at	Sesn2	2.5	2.5	23608	
1425162_at	Rorb	6.3	6.3	234641	
1425215_at	Gpr43	3.5	3.5	97338	
1425281_a_at	Dsip1	3.8	3.8	22216	
1425370_a_at	Erg	14.8	14.8	164531	
1425381_a_at	Trfr2	1.5	1.5	21757	
1425383_a_at	Pbx1	2.8	2.8	43358	
1425398_at	Hist1h2bc	1.9	1.9	261676	
1425522_at	2600011C06Rik	3.3	3.3	46005	
1425533_a_at	Stau2	4.7	4.7	216257	
1425571_at	Slamf1	1.6	1.6	BB132695	
1425779_a_at	Tbx1	2.8	2.8	295194	
1425895_a_at	Idb1	13.3	13.3	444	
1425915_at	Slc26a8	7.4	7.4	219530	
1425964_x_at	Hspb1	28.6	28.6	13849	
1426092_a_at	Trim34	1.8	1.8	326945	
1426300_at	Alcam	3.0	3.0	288282	
1426301_at	Alcam	3.2	3.2	288282	
1426317_at	Stard6	1.9	1.9	83623	
1426526_s_at	Ovgp1	1.9	1.9	298812	
1426575_at	Tmem23	2.4	2.4	329810	
1426779_x_at	Dag1	3.1	3.1	7524	
1426784_at	Trim47	2.0	2.0	5510	
1426955_at	Col18a1	2.3	2.3	4352	
1426960_a_at	Fa2h	2.6	2.6	41083	
1427028_at	Lgr6	5.8	5.8	279594	
1427081_at	A630072M18Rik	1.7	1.7	BB246700	
1427126_at	Hspa1b	14.4	14.4	M12573	
1427127_x_at	Hspa1a /1b	14.2	14.2	275405	
1427183_at	Efemp1	4.2	4.2	44176	
1427190_at	2900057D21Rik	1.4	1.4	202322	
1427196_at	Prkwnk4	4.6	4.6	23656	
1427299_at	Rps6ka3	1.5	1.5	328476	
1427334_s_at	2810474O19Rik	2.7	2.7	333515	
1427488_a_at	Birc6	37.6	37.6	290908	
1427511_at	B2m	3.9	3.9	163	
1427650_a_at	Runx1	1.6	1.6	4081	
1427699_a_at	Ptpn11	2.8	2.8	8681	
1427878_at	0610010O12Rik	3.3	3.3	272527	
1427932_s_at	1200003I10Rik	2.5	2.5	332931	
1428045_a_at	Elf2	2.8	2.8	131038	
1428074_at	2310037P21Rik	2.5	2.5	BE981853	
1428167_a_at	Mpzl1	1.5	1.5	46438	
1428267_at	Dhx40	1.7	1.7	260627	
1428343_at	Rcor3	2.9	2.9	207457	
1428359_s_at	1810010M01Rik	5.8	5.8	21835	
1428376_at	4932415G12Rik	4.3	4.3	116284	
1428614_at	Ldhd	3.1	3.1	27589	
1428867_at	4933417E01Rik	2.7	2.7	90507	
1428904_at	E230022H04Rik	3.0	3.0	290804	
1429009_at	Snrp70	3.6	3.6	216386	
1429040_at	2610005L07Rik	7.9	7.9	157360	
1429058_at	1110004B13Rik	1.7	1.7	33964	
1429216_at	Paqr3	1.4	1.4	332505	
1429279_at	Wars2	1.6	1.6	218342	
1429352_at	Mocos	2.3	2.3	AK003797	
1429400_at	5430408K11Rik	2.6	2.6	BB794830	
1429413_at	5730456K23Rik	2.4	2.4	261548	
1429463_at	Prkaa2	1.9	1.9	48638	
1429567_at	4632411J06Rik	5.0	5.0	349943	
1429657_at	5830475F03Rik	8.6	8.6	AW049828	
1429769_at	Pggt1b	4.2	4.2	262096	
1430050_at	Ddx23	1.7	1.7	45725	
1430183_at	Pbx1	4.4	4.4	43358	
1430319_at	4833411C07Rik	2.6	2.6	BB667652	
1430387_at	1810073O08Rik	1.7	1.7	AK007978	
1430554_at	9430095K15Rik	1.7	1.7	275586	
1430561_at	5730496F10Rik	3.6	3.6	197473	
1430568_at	3110050K21Rik	1.7	1.7	103508	
1430680_a_at	1500041I23Rik	2.2	2.2	307004	
1430784_a_at	4932417H02Rik	1.7	1.7	209933	
1430969_at	Mtch2	5.6	5.6	28023	
1431020_a_at	Fgfr1op2	1.7	1.7	333499	
1431182_at	Hspa8	2.9	2.9	290774	
1431360_s_at	4921520P21Rik	1.5	1.5	29672	
1431361_at	2510048K03Rik	4.9	4.9	39856	
1431530_a_at	Tm4sf9	2.1	2.1	31927	
1431582_at	Itgb4bp	1.5	1.5	AK018313	
1431929_a_at	Stx17	1.6	1.6	171334	
1432034_at	Neurog3	27.7	27.7	57236	
1432155_at	Wasl	1.8	1.8	1574	
1432156_a_at	Rnf32	2.1	2.1	87352	
1432275_at	Ikbkb	1.7	1.7	277886	
1432360_a_at	4930403J22Rik	1.9	1.9	271988	
1433184_at	6720477C19Rik	2.3	2.3	AK020162	
1433203_at	6030400A10Rik	3.1	3.1	AK020045	
1433515_s_at	Etnk1	2.2	2.2	272548	
1433670_at	Emp2	1.6	1.6	246009	
1433707_at	Gabra4	4.7	4.7	BB430205	
1433771_at	5730446C15Rik	1.8	1.8	28796	
1433855_at	Abat	5.2	5.2	259315	
1433904_at	Ggnbp1	1.6	1.6	328890	
1434077_at	Wdr37	1.6	1.6	284654	
1434137_x_at	1810010M01Rik	9.4	9.4	21835	
1434180_at	Plekhc1	4.4	4.4	210018	
1434188_at	AW210596	2.2	2.2	74636	
1434246_at	L3mbtl3	1.9	1.9	268708	
1434272_at	Cpeb2	1.8	1.8	7233	
1434361_at	E130307J07Rik	7.8	7.8	191459	
1434424_at	9630055N22Rik	1.3	1.3	354530	
1434465_x_at	Vldlr	3.1	3.1	4141	
1434553_at	4930577M16Rik	1.6	1.6	26088	
1434557_at	Hip1	1.4	1.4	280805	
1434700_at	6030408C04Rik	3.1	3.1	253264	
1434739_at	Fmr1nb	1.7	1.7	284945	
1434802_s_at	Ntf3	3.9	3.9	267570	
1434885_at	5830435K17Rik	1.8	1.8	BM242524	
1434891_at	Ptgfrn	1.9	1.9	24807	
1435203_at	Man2a2	1.5	1.5	269245	
1435321_at	3732412D22Rik	5.9	5.9	18830	
1435493_at	5730453H04Rik	3.8	3.8	203911	
1435494_s_at	5730453H04Rik	4.3	4.3	203911	
1435542_s_at	BC003236	1.8	1.8	200327	
1435605_at	Arp3b	3.1	3.1	150319	
1435697_a_at	Pscdbp	1.5	1.5	273905	
1435729_at	Mapbpip	2.6	2.6	41680	
1435783_at	B230112C05Rik	2.1	2.1	BB476773	
1435792_at	Csprs	7.1	7.1	326773	
1435893_at	Vldlr	2.2	2.2	4141	
1435913_at	BC038881	1.9	1.9	28436	
1436229_at	BC049806	4.5	4.5	26272	
1436324_at	4831403C07Rik	1.9	1.9	152426	
1436362_x_at	Ccrn4l	2.1	2.1	86541	
1436480_at	Dpp7	1.6	1.6	21440	
1436535_at	A530054J02Rik	3.3	3.3	BQ176653	
1436566_at	Rab40b	2.4	2.4	281639	
1436568_at	Jam2	2.7	2.7	41758	
1436624_at	9630020E24Rik	2.4	2.4	BE988832	
1436698_x_at	BC054438	2.1	2.1	34379	
1436737_a_at	Sorbs1	1.9	1.9	210815	
1436739_at	Agtr1	2.7	2.7	35062	
1436830_at	Marveld1	6.1	6.1	206250	
1436852_at	E130308A19Rik	2.7	2.7	45688	
1436875_at	Dnm3	9.3	9.3	BB130476	
1436907_at	Nav1	3.1	3.1	34977	
1436994_a_at	Hist1h1c	2.0	2.0	193539	
1437000_at	Dgkq	1.7	1.7	260921	
1437080_s_at	Psmd11	1.9	1.9	260539	
1437155_a_at	2310058J06Rik	11.5	11.5	227202	
1437221_at	Rrm2b	7.7	7.7	24738	
1437222_x_at	Rrm2b	8.7	8.7	24738	
1437244_at	Gas2l3	3.3	3.3	BB770972	
1437268_at	6030463G20Rik	3.0	3.0	245119	
1437272_at	4932443J21Rik	3.7	3.7	AV253967	
1437307_at	Senp8	18.4	18.4	279070	
1437356_at	Ebi2	2.9	2.9	265618	
1437390_x_at	Stx1a	2.2	2.2	6225	
1437458_x_at	Clu	3.0	3.0	200608	
1437467_at	Alcam	5.3	5.3	288282	
1437486_at	Rai3	2.5	2.5	23575	
1437689_x_at	Clu	3.0	3.0	200608	
1437765_at	Cpeb3	1.6	1.6	206779	
1437808_x_at	Il10ra	2.5	2.5	26658	
1437864_at	Adipor2	3.5	3.5	291826	
1438137_at	Ubce7ip1	26.1	26.1	258977	
1438160_x_at	Slco4a1	2.7	2.7	133687	
1438232_at	Foxp2	1.9	1.9	332919	
1438258_at	Vldlr	6.8	6.8	4141	
1438269_at	A930014K01Rik	12.1	12.1	77656	
1438277_at	E130308A19Rik	3.6	3.6	45688	
1438378_at	1700013G23Rik	1.5	1.5	AV208934	
1438556_a_at	Tmod3	8.9	8.9	38445	
1438664_at	Prkar2b	1.7	1.7	25594	
1438694_at	Csng	3.0	3.0	4908	
1438699_at	Srd5a1	3.7	3.7	315980	
1438743_at	Cyp7a1	2.0	2.0	57029	
1438764_at	Anxa7	1.7	1.7	AV333182	
1438785_at	Enpp6	2.5	2.5	211429	
1438855_x_at	Tnfaip2	2.6	2.6	BB233088	
1438877_at	Trpm6	2.2	2.2	215171	
1439045_x_at	Mtac2d1	3.9	3.9	275939	
1439078_at	Klhl4	2.6	2.6	132583	
1439106_at	Zfp462	2.1	2.1	102904	
1439127_at	AI314180	2.7	2.7	234801	
1439158_at	Tlk1	10.7	10.7	136511	
1439210_at	Mrps9	1.9	1.9	252982	
1439211_at	D17Ertd488e	7.5	7.5	25923	
1439274_at	A230083H22Rik	3.7	3.7	257354	
1439349_at	BC019206	3.1	3.1	262102	
1439353_x_at	4930577M16Rik	6.4	6.4	26088	
1439768_x_at	Sema4f	3.1	3.1	270543	
1439934_at	E130106K10Rik	4.2	4.2	227117	
1440173_x_at	Selp	25.2	25.2	3337	
1440222_at	Sod1	10.1	10.1	276325	
1440462_at	B930068K11Rik	2.2	2.2	AV339681	
1440658_at	E230022H04Rik	2.1	2.1	290804	
1440789_at	2610028H22Rik	8.8	8.8	BB243938	
1440806_x_at	5730526G10Rik	3.8	3.8	AV305197	
1440849_at	6330417G04Rik	1.6	1.6	AV327187	
1440855_at	Mjd	1.8	1.8	271914	
1440966_at	Axot	4.3	4.3	260635	
1441170_a_at	Dab2ip	2.1	2.1	29629	
1441192_at	Scly	2.2	2.2	25724	
1441216_at	5330418N22Rik	2.2	2.2	248334	
1441241_at	9630013D21Rik	2.1	2.1	119546	
1441571_at	4732468D17Rik	1.7	1.7	164436	
1441656_at	B930068K11Rik	2.5	2.5	BM239301	
1441827_x_at	Hspca	2.4	2.4	BM243794	
1441907_s_at	C1qr1	4.6	4.6	681	
1441946_at	Itih5	2.0	2.0	36661	
1441994_at	Pcdhb16	2.0	2.0	197441	
1442038_at	1700009P03Rik	4.0	4.0	291542	
1442061_at	Btbd7	3.3	3.3	63456	
1442085_at	Whsc1l1	2.6	2.6	217337	
1442233_at	Fyb	2.9	2.9	BE853428	
1442234_at	Chst2	1.5	1.5	212446	
1442330_at	Srrm1	2.5	2.5	1963	
1442340_x_at	Cyr61	29.9	29.9	1231	
1442583_a_at	AI854703	1.9	1.9	26678	
1442647_at	C030002N13Rik	3.1	3.1	29118	
1442709_at	BF147024	6.4	6.4	BF147024	
1442798_x_at	Unc5a	2.0	2.0	267479	
1442804_at	Fgr	2.5	2.5	271665	
1443077_at	9430041J06Rik	6.8	6.8	BB526689	
1443522_s_at	Phip	1.9	1.9	BM221262	
1443547_at	Slc10a1	2.9	2.9	AI327318	
1443721_x_at	BC019206	2.7	2.7	262102	
1443764_x_at	Rab27b	2.5	2.5	246753	
1443832_s_at	Sdpr	6.6	6.6	255909	
1443904_at	BC044804	1.9	1.9	21995	
1443933_at	Mtac2d1	3.7	3.7	275939	
1444028_s_at	Dock9	1.8	1.8	288693	
1444150_at	Epb4.1	4.2	4.2	30038	
1444432_at	D330040H18Rik	2.7	2.7	BB532898	
1444486_at	Klhl5	2.0	2.0	10281	
1444512_at	B130017I01Rik	6.3	6.3	229287	
1444615_x_at	Cbfa2t1h	1.8	1.8	4909	
1444987_at	Ctsb	2.3	2.3	BG067383	
1445081_at	A930041I02Rik	4.0	4.0	204836	
1445412_at	4931417A20	2.1	2.1	205316	
1445723_at	C230017K02Rik	2.2	2.2	336824	
1445934_at	Arih2	3.4	3.4	290447	
1445938_at	5930427L02Rik	2.0	2.0	207154	
1446295_at	Trim24	13.2	13.2	41063	
1446448_at	Pias1	2.1	2.1	228322	
1446497_at	BB499356	4.0	4.0	235164	
1446807_at	Usp8	3.1	3.1	315279	
1447640_s_at	Pbx3	2.3	2.3	7331	
1447682_x_at	Traf5	2.0	2.0	196445	
1447693_s_at	Neo1	2.0	2.0	BB350308	
1447694_x_at	Neo1	1.9	1.9	BB350308	
1447863_s_at	Nr4a2	3.6	3.6	3507	
1447869_x_at	Rhobtb3	9.1	9.1	276200	
1448023_at	E530005C20Rik	6.0	6.0	BB662566	
1448145_at	Wwp2	1.7	1.7	294777	
1448183_a_at	Hif1a	2.8	2.8	3879	
1448383_at	Mmp14	3.2	3.2	NM_008608	
1448529_at	Thbd	1.9	1.9	24096	
1448545_at	Sdc2	1.7	1.7	234266	
1448757_at	Pml	5.1	5.1	278985	
1448885_at	Rap2b	6.2	6.2	273288	
1448961_at	Plscr2	2.3	2.3	10306	
1449195_s_at	Cxcl16	3.3	3.3	340612	
1449199_at	Muc1	3.2	3.2	16193	
1449372_at	Dnajc3	2.1	2.1	12616	
1449379_at	Kdr	3.4	3.4	285	
1449460_at	Asb13	2.9	2.9	253061	
1449491_at	Card10	2.2	2.2	17629	
1449563_at	Cntn1	3.4	3.4	4911	
1449570_at	Klrb1c	3.4	3.4	6180	
1449588_at	Abca4	3.0	3.0	3918	
1449642_at	Ebi2	5.5	5.5	AA267307	
1449853_at	Sfxn2	1.7	1.7	296837	
1449885_at	Tm4sf10	2.3	2.3	NM_138751	
1449906_at	Selp	9.0	9.0	3337	
1450063_at	Fmn2	3.2	3.2	330620	
1450344_a_at	Ptger3	1.6	1.6	30424	
1450389_s_at	Pip5k1a	1.6	1.6	329783	
1450493_at	Gpr54	1.6	1.6	191035	
1450506_a_at	2700083B06Rik	2.9	2.9	34109	
1450738_at	Kif21a	4.9	4.9	41379	
1450750_a_at	Nr4a2	2.3	2.3	3507	
1450751_at	Zpbp	1.4	1.4	9500	
1450906_at	Plxnc1	14.7	14.7	256712	
1450915_at	Ap3b1	1.9	1.9	21185	
1450932_s_at	Dock9	1.8	1.8	288693	
1450947_at	2610528J11Rik	1.6	1.6	34431	
1451038_at	Apln	1.7	1.7	29262	
1451340_at	Arid5a	2.4	2.4	34316	
1451342_at	Spon1	7.0	7.0	334160	
1451420_at	2610204L23Rik	20.1	20.1	22109	
1451494_at	Wac	2.4	2.4	304706	
1451539_at	1300006M19Rik	1.6	1.6	18814	
1451660_a_at	Hoxb6	2.7	2.7	215	
1451887_at	Lrba	2.4	2.4	239927	
1452013_at	Atp10a	1.9	1.9	135129	
1452127_a_at	Ptpn13	4.5	4.5	3414	
1452140_at	2810442O16Rik	3.0	3.0	BC002196	
1452269_at	Spnb3	2.6	2.6	329668	
1452318_a_at	Hspa1a /// Hspa1b	13.8	13.8	275405	
1452333_at	Smarca2	2.6	2.6	268103	
1452342_at	2310007D03Rik	2.3	2.3	274452	
1452357_at	Gp1bb	3.3	3.3	20365	
1452360_a_at	Jarid1a	2.2	2.2	288602	
1452383_at	Rps6ka3	1.8	1.8	328476	
1452388_at	Hspa1a	21.0	21.0	275405	
1452397_at	6720435I21Rik	2.1	2.1	52140	
1452413_at	C230081A13Rik	1.7	1.7	268105	
1452493_s_at	Hoxb8	1.9	1.9	196037	
1452639_at	Enpp4	4.6	4.6	255971	
1452688_at	Prpf39	3.1	3.1	283339	
1452723_at	Bteb1	2.3	2.3	291595	
1452741_s_at	Gpd2	2.7	2.7	3711	
1452805_at	D11Wsu47e	2.7	2.7	239566	
1452871_at	Neil1	1.7	1.7	35749	
1452952_at	9030418K01Rik	1.5	1.5	AK018518	
1452961_at	1200009O22Rik	1.9	1.9	41187	
1453021_at	Stxbp5	2.1	2.1	331751	
1453025_at	1110033L15Rik	1.5	1.5	229466	
1453071_s_at	2010004J24Rik	1.7	1.7	260766	
1453265_at	4930579C15Rik	1.7	1.7	25097	
1453338_at	Stam2	3.9	3.9	345208	
1453357_at	4930441E05Rik	73.3	73.3	60648	
1453412_a_at	Sec14l1	2.0	2.0	272312	
1453595_at	2900064B18Rik	2.5	2.5	AV154597	
1453704_at	Nmt2	1.8	1.8	AV151026	
1453771_at	Gulp1	2.2	2.2	133132	
1453825_at	4933421O10Rik	1.8	1.8	BG296369	
1453851_a_at	Gadd45g	1.8	1.8	281298	
1453853_a_at	Arhgef12	2.0	2.0	275266	
1454158_at	Mpp7	3.7	3.7	133293	
1454457_at	4930439G18Rik	1.7	1.7	AK015342	
1454523_at	C530007A02Rik	2.8	2.8	AK021269	
1454604_s_at	Tm4sf12	1.6	1.6	21950	
1454609_x_at	6430527G18Rik	3.7	3.7	248358	
1454646_at	E430026E19Rik	1.7	1.7	296142	
1454655_at	Dgkd	2.0	2.0	277217	
1454849_x_at	Clu	3.0	3.0	200608	
1454938_at	Snx13	1.6	1.6	213991	
1455027_at	D5Bwg0860e	1.9	1.9	270469	
1455162_at	4922503N01Rik	1.7	1.7	33091	
1455177_at	Ahi1	2.0	2.0	253280	
1455215_at	C530028O21Rik	2.0	2.0	295327	
1455325_at	A230057G18Rik	2.2	2.2	AV221928	
1455426_at	End3	2.5	2.5	AV226618	
1455567_at	Crk7	1.5	1.5	260516	
1455647_at	AW320017	1.5	1.5	BB148302	
1455799_at	Rorb	4.5	4.5	234641	
1455803_at	Slco4a1	2.0	2.0	133687	
1455899_x_at	Socs3	2.7	2.7	3468	
1455967_at	Sorbs1	2.0	2.0	210815	
1455980_a_at	Gas2l3	2.8	2.8	BB770972	
1456060_at	Maf	2.0	2.0	275549	
1456212_x_at	Socs3	2.1	2.1	3468	
1456318_at	5930406N14Rik	6.4	6.4	131289	
1456333_a_at	Arhgap6	3.4	3.4	260183	
1456335_at	Gm106	4.4	4.4	131665	
1456394_at	1500019C06Rik	1.6	1.6	133300	
1456480_at	9330186A19Rik	1.6	1.6	216590	
1456503_at	BC039282	2.5	2.5	289686	
1456605_at	Cebpd	2.5	2.5	AI642132	
1456609_at	1810006K23Rik	1.9	1.9	41603	
1456635_at	5830484A20Rik	1.9	1.9	AW909306	
1456718_at	4930577M16Rik	3.5	3.5	26088	
1456746_a_at	Mic2l1	2.0	2.0	283879	
1456747_x_at	Mic2l1	2.0	2.0	283879	
1456762_at	Ian6	3.5	3.5	321047	
1456797_at	Cltb	2.4	2.4	290026	
1457026_at	Liph	3.4	3.4	33192	
1457140_s_at	4632411J06Rik	4.3	4.3	349943	
1457275_at	Dmn	7.5	7.5	347762	
1457429_s_at	Gm106	4.5	4.5	131665	
1457454_at	Usp47	3.9	3.9	16974	
1457632_s_at	Mrg1	1.5	1.5	247566	
1458318_at	3110047M12Rik	11.3	11.3	BB164159	
1458385_at	Osp94	1.8	1.8	39330	
1458824_at	AW538196	9.7	9.7	243024	
1459218_at	D330001F17Rik	15.3	15.3	123240	
1459860_x_at	Trim2	5.6	5.6	44876	
1459890_s_at	1110008P14Rik	1.7	1.7	27608	
1460011_at	Cyp26b1	2.8	2.8	255246	
1460113_at	B930093H17Rik	1.5	1.5	BB352875	
1460159_at	C130067A03Rik	12.7	12.7	208868	
1460206_at	Grasp	2.9	2.9	276573	
1460259_s_at	Clca1/2	1.8	1.8	275745	
1460436_at	Ndst1	1.8	1.8	181862	
1460509_at	6330417G03Rik	3.6	3.6	AK018190	
1460568_at	Trim46	1.9	1.9	331156	
1415708_at	AI316828	-1.8	1.8	229654	
1415810_at	Uhrf1	-1.8	1.8	42196	
1415822_at	Scd2	-2.0	2.0	193096	
1415909_at	Stip1	-2.0	2.0	258633	
1415960_at	Mpo	-3.5	3.5	4668	
1415992_at	Pigo	-1.4	1.4	143738	
1416030_a_at	Mcm7	-4.5	4.5	241714	
1416031_s_at	Mcm7	-1.9	1.9	241714	
1416091_at	Mtap4	-2.0	2.0	217318	
1416136_at	Mmp2	-2.3	2.3	29564	
1416184_s_at	Hmga1	-3.5	3.5	4438	
1416193_at	Car1	-6.6	6.6	273195	
1416214_at	Mcm4	-1.5	1.5	1500	
1416325_at	Crisp1	-2.4	2.4	16781	
1416350_at	Klf16	-1.6	1.6	41513	
1416401_at	Kai1	-1.9	1.9	4261	
1416410_at	Pafah1b3	-2.8	2.8	597	
1416473_a_at	Nope	-1.8	1.8	209041	
1416544_at	Ezh2	-1.7	1.7	246688	
1416553_at	Stra13	-3.8	3.8	259716	
1416743_at	Uap1	-2.0	2.0	27969	
1416795_at	Cryl1	-3.6	3.6	25539	
1416956_at	Kcnab2	-1.6	1.6	302496	
1416957_at	Pou2af1	-4.3	4.3	897	
1417095_a_at	Hspa14	-1.4	1.4	89341	
1417226_at	Fbxw4	-1.4	1.4	254739	
1417327_at	Cav2	-1.8	1.8	31915	
1417445_at	Kntc2	-2.2	2.2	294983	
1417450_a_at	Tacc3	-2.5	2.5	27836	
1417533_a_at	Itgb5	-2.4	2.4	6424	
1417590_at	Cyp27a1	-1.7	1.7	85083	
1417628_at	Supt6h	-1.6	1.6	20755	
1417692_at	Drg2	-1.8	1.8	41803	
1417756_a_at	Lsp1	-5.0	5.0	234003	
1417777_at	Ltb4dh	-1.8	1.8	34497	
1418181_at	Ptp4a3	-3.9	3.9	153891	
1418219_at	Il15	-2.6	2.6	4392	
1418265_s_at	Irf2	-1.8	1.8	1149	
1418369_at	Prim1	-1.8	1.8	2903	
1418450_at	Islr	-1.8	1.8	335196	
1418465_at	Ncf4	-2.8	2.8	2068	
1418480_at	Cxcl7	-3.5	3.5	293614	
1418497_at	Fgf13	-6.3	6.3	7995	
1418546_a_at	1700095N21Rik	-1.7	1.7	130952	
1418565_at	1200009K13Rik	-1.7	1.7	240490	
1418722_at	Ngp	-4.0	4.0	236225	
1418736_at	B3galt3	-3.4	3.4	153710	
1418826_at	Ms4a6b	-1.9	1.9	278844	
1419004_s_at	Bcl2a1d	-4.5	4.5	L16462	
1419042_at	AW111922	-2.9	2.9	261140	
1419062_at	Epb4.1l3	-3.0	3.0	131135	
1419135_at	Ltb	-5.7	5.7	1715	
