Old_to_young					
p_val	Gene	avg_logFC	pct.1	pct.2	p_val_adj
2.9102275048874e-12	Thumpd2	-0.2878514843	0	0.248	1.99321481809738e-08
2.9102275048874e-12	Itgb2	-0.3312362073	0	0.248	1.99321481809738e-08
2.9102275048874e-12	Pank4	-0.3312679321	0	0.248	1.99321481809738e-08
2.9102275048874e-12	Rnase6	-0.5259276793	0	0.248	1.99321481809738e-08
2.9102275048874e-12	Hist1h2bg	-0.5888505421	0	0.248	1.99321481809738e-08
3.15400050691475e-12	Efna1	0.5907907925	0.274	0	2.16017494718591e-08
3.15400050691475e-12	Gpr183	0.2901684407	0.274	0	2.16017494718591e-08
3.15400050691475e-12	Pros1	0.2681080539	0.274	0	2.16017494718591e-08
5.71164230102979e-12	Gpx3	0.5836506416	0.269	0	3.9119038119753e-08
5.71164230102979e-12	Rorc	0.3649052105	0.269	0	3.9119038119753e-08
6.0447138628239e-12	Cnrip1	-0.2869503405	0	0.242	4.14002452464809e-08
6.0447138628239e-12	Trf	-0.297339821	0	0.242	4.14002452464809e-08
6.0447138628239e-12	Mlst8	-0.3395325821	0	0.242	4.14002452464809e-08
6.0447138628239e-12	Anxa2	-0.4705228737	0	0.242	4.14002452464809e-08
1.03089342373165e-11	Mt2	0.2640402358	0.263	0	7.06058905913804e-08
1.25048474218801e-11	ZFP873	-0.2689056724	0	0.235	8.56456999924567e-08
1.25048474218801e-11	Polr3a	-0.2929094306	0	0.235	8.56456999924567e-08
1.25048474218801e-11	Ms4a6b	-0.3262992625	0	0.235	8.56456999924567e-08
1.25048474218801e-11	Gmnn	-0.3853268051	0	0.235	8.56456999924567e-08
1.8545268431558e-11	Gipc1	0.326050394	0.257	0	1.27016543487741e-07
2.12558154141378e-11	Rpl18a	0.2994554474	1	1	1.4558107977143e-07
2.57664282520661e-11	Tacc3	-0.2574533362	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Gtpbp5	-0.2619885476	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Tsen54	-0.2643384644	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Zkscan14	-0.2693632788	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Trim13	-0.2995289241	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Nmral1	-0.3132038129	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Thsd1	-0.3234013774	0	0.229	1.76474267098401e-07
2.57664282520661e-11	uc009deo.2,uc012eqa.1	-0.3248765443	0	0.229	1.76474267098401e-07
2.57664282520661e-11	Haus7	-0.410919076	0	0.229	1.76474267098401e-07
3.32531139930361e-11	Gem	0.5520096425	0.251	0	2.27750577738304e-07
3.32531139930361e-11	Nrg4	0.2521410908	0.251	0	2.27750577738304e-07
3.64164049072162e-11	uc008agq.1	-0.4867174448	0.211	0.582	2.49415957209523e-07
5.28838596619155e-11	Timeless	-0.2669790237	0	0.222	3.62201554824459e-07
5.28838596619155e-11	Rad52	-0.2914095887	0	0.222	3.62201554824459e-07
5.28838596619155e-11	Mr1	-0.3218298262	0	0.222	3.62201554824459e-07
5.28838596619155e-11	Alkbh4	-0.3648367347	0	0.222	3.62201554824459e-07
5.52396825180689e-11	Tgm2	0.6272327124	0.829	0.542	3.78336585566254e-07
5.98030866720917e-11	Cd47	-0.5427078087	1	1	4.09591340617156e-07
7.65776247904205e-11	Tox	0.5002741181	0.691	0.386	5.2448015218959e-07
1.05882544948722e-10	Rbpms2	0.3060415852	0.24	0	7.25189550353797e-07
1.05882544948722e-10	Tm4sf1	0.2751157552	0.24	0	7.25189550353797e-07
1.08119931717408e-10	Slc30a6	-0.2561329691	0	0.216	7.40513412332527e-07
1.08119931717408e-10	Pus1	-0.2963179868	0	0.216	7.40513412332527e-07
1.08119931717408e-10	Tmem63a	-0.2993366735	0	0.216	7.40513412332527e-07
1.08119931717408e-10	Mgst1	-0.4264388355	0	0.216	7.40513412332527e-07
1.88037694127269e-10	Avpi1	0.3877112853	0.234	0	1.28787016707767e-06
2.20203100751155e-10	Tdp1	-0.2856686205	0	0.209	1.50817103704466e-06
2.20203100751155e-10	Serpinb6b	-0.2942521055	0	0.209	1.50817103704466e-06
2.20203100751155e-10	Spryd4	-0.3430335037	0	0.209	1.50817103704466e-06
2.20203100751155e-10	BC023829	-0.4971667151	0	0.209	1.50817103704466e-06
3.32889999311334e-10	Ptpmt1	0.2887729545	0.229	0	2.27996360528333e-06
4.46784767466069e-10	Fancl	-0.2615006255	0	0.203	3.06002887237511e-06
4.46784767466069e-10	Tmem229b	-0.2678601697	0	0.203	3.06002887237511e-06
4.46784767466069e-10	Aldh16a1	-0.2835291616	0	0.203	3.06002887237511e-06
4.46784767466069e-10	Gins2	-0.3379970554	0	0.203	3.06002887237511e-06
5.69864308785214e-10	Aldh1a1	0.5733065936	0.491	0.183	3.90300065086993e-06
5.87498114021728e-10	Copg2	0.2853853288	0.223	0	4.02377458293482e-06
9.03137204615607e-10	Mlx	-0.2934400946	0	0.196	6.18558671441229e-06
9.03137204615607e-10	Zscan22	-0.3356608556	0	0.196	6.18558671441229e-06
1.38229172219405e-09	Ly6e	0.4897860919	0.989	0.993	9.46731600530707e-06
1.81312593186386e-09	Gadd45g	0.4620932923	0.211	0	1.24180995073356e-05
1.81312593186386e-09	Pex11a	0.3280520667	0.211	0	1.24180995073356e-05
1.81312593186386e-09	Tmem29	0.2788342575	0.211	0	1.24180995073356e-05
1.81892107055297e-09	Gm4902	-0.2760697365	0	0.19	1.24577904122173e-05
1.81892107055297e-09	Bnip1	-0.2800244137	0	0.19	1.24577904122173e-05
1.81892107055297e-09	Toe1	-0.2971587829	0	0.19	1.24577904122173e-05
1.81892107055297e-09	uc008cru.2	-0.3308864787	0	0.19	1.24577904122173e-05
1.81892107055297e-09	Psmc3ip	-0.3752956698	0	0.19	1.24577904122173e-05
1.81892107055297e-09	Slc10a3	-0.3910868749	0	0.19	1.24577904122173e-05
1.81892107055297e-09	Snx29	-0.4190791462	0	0.19	1.24577904122173e-05
2.07065057717267e-09	Rps19	0.351463325	1	1	1.41818858030556e-05
3.17084483832252e-09	Pus3	0.2717806958	0.206	0	2.17171162976709e-05
3.65009599809407e-09	Slc22a18	-0.2599984834	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Wrap53	-0.2706063233	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Stk19	-0.2994635638	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Zbtb8os	-0.3011630867	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Gpank1	-0.3350200177	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Nudt1	-0.3487474847	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Rps4y2	-0.3873726876	0	0.183	2.49995074909463e-05
3.65009599809407e-09	Pf4	-0.9928150456	0	0.183	2.49995074909463e-05
5.52884645520513e-09	Il18bp	0.3143960365	0.2	0	3.78670693717e-05
5.56569571620667e-09	Oxr1	0.5650202259	0.731	0.458	3.81194499602995e-05
7.22324755961474e-09	Arhgdib	-0.5757642912	0.903	0.98	4.94720225358014e-05
7.29880992417847e-09	Aacs	-0.2571692936	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Pglyrp1	-0.2948703296	0	0.176	4.99895491706983e-05
7.29880992417847e-09	uc007irv.2	-0.2999803476	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Ada	-0.3025469166	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Sccpdh	-0.3233627684	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Tmem120a	-0.3553255254	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Pcbd1	-0.3846112629	0	0.176	4.99895491706983e-05
7.29880992417847e-09	Hbb-b2	-1.6498212029	0	0.176	4.99895491706983e-05
8.15908177097597e-09	Cdca7	-0.6593020632	0.451	0.725	5.58815510494144e-05
9.61221655355263e-09	Rnf135	0.308669675	0.194	0	6.5834071175282e-05
9.61221655355263e-09	St3gal6	0.3069255713	0.194	0	6.5834071175282e-05
9.61221655355263e-09	Elmo3	0.269015657	0.194	0	6.5834071175282e-05
1.42302894436171e-08	Selm	0.2986554902	0.554	0.255	9.74632523993334e-05
1.45440665525508e-08	Mettl22	-0.2638835858	0	0.17	9.96123118184204e-05
1.66632480999613e-08	Tubb6	0.2844511136	0.189	0	0.0001141266
1.66632480999613e-08	Fbxl4	0.250020228	0.189	0	0.0001141266
2.02068384205738e-08	Tmem176a	0.5309406043	0.88	0.732	0.0001383966
2.02940643884933e-08	Laptm5	-0.5380453161	0.931	1	0.000138994
2.5176331380228e-08	Eif5a	-0.5599817911	0.96	0.987	0.0001724327
2.88826021577107e-08	Cgrrf1	-0.2658814161	0	0.163	0.0001978169
2.88826021577107e-08	Lhpp	-0.2735815224	0	0.163	0.0001978169
2.88826021577107e-08	Armc7	-0.2873147474	0	0.163	0.0001978169
2.88826021577107e-08	Gstk1	-0.3122353619	0	0.163	0.0001978169
3.46297860277093e-08	Junb	0.262982433	0.549	0.268	0.0002371794
4.8099260379077e-08	Tmem181b-ps	-0.4182959929	0.983	0.993	0.0003294318
4.87283739766423e-08	Wdfy1	-0.2523214484	0.486	0.693	0.0003337406
4.96532221264438e-08	Smtnl1	0.2535056544	0.177	0	0.0003400749
5.16536482037327e-08	Lsp1	-0.6133604625	0.531	0.784	0.0003537758
5.61124984305147e-08	mt-Rnr2	0.4076182596	0.989	0.993	0.0003843145
5.71658059036716e-08	Nthl1	-0.2541391776	0	0.157	0.0003915286
5.71658059036716e-08	Ifit1	-0.2556908534	0	0.157	0.0003915286
5.71658059036716e-08	Gm5111	-0.2632519135	0	0.157	0.0003915286
5.71658059036716e-08	uc007icj.1,uc007ick.1	-0.2736729264	0	0.157	0.0003915286
5.71658059036716e-08	Zc4h2	-0.2887351873	0	0.157	0.0003915286
5.71658059036716e-08	uc008bbb.1	-0.3484971334	0	0.157	0.0003915286
5.71658059036716e-08	Gata1	-0.3643634064	0	0.157	0.0003915286
5.71658059036716e-08	uc011zrr.1	-0.7478868423	0	0.157	0.0003915286
5.9996957208177e-08	Mafg	0.4366764557	0.6	0.333	0.0004109192
7.3424652529819e-08	Cd34	-0.6401451153	0.28	0.556	0.0005028854
8.50859550090069e-08	Cd74	0.9394496405	0.56	0.288	0.0005827537
8.53568583012896e-08	Ctsw	0.3735568374	0.171	0	0.0005846091
8.53568583012896e-08	Ppap2c	0.3093644959	0.171	0	0.0005846091
8.53568583012896e-08	Uxs1	0.2641087982	0.171	0	0.0005846091
9.20306044785492e-08	Mcm5	-0.6031808779	0.194	0.464	0.0006303176
9.92699534465859e-08	Snord15b	0.2978716368	1	0.993	0.0006798999
1.01200168583986e-07	Sepw1	0.3625059114	0.989	0.993	0.00069312
1.07449724672885e-07	Klf10	0.5876739313	0.743	0.49	0.0007359232
1.12777222692356e-07	Gsn	-0.2548591647	0	0.15	0.0007724112
1.12777222692356e-07	Sertad3	-0.2615509424	0	0.15	0.0007724112
1.12777222692356e-07	Zfp623	-0.2739247357	0	0.15	0.0007724112
1.12777222692356e-07	Irf5	-0.2790022812	0	0.15	0.0007724112
1.12777222692356e-07	Tst	-0.31787862	0	0.15	0.0007724112
1.15037242032594e-07	Gm14435	-0.2864433323	1	1	0.0007878901
1.26321701732023e-07	Rfc2	-0.5590018106	0.457	0.719	0.0008651773
1.46337419145723e-07	Cby1	0.2916923693	0.166	0	0.001002265
1.53260989234832e-07	Ptpn7	-0.4916945573	0.571	0.758	0.0010496845
1.67369699349644e-07	Rpl5	0.2740218709	1	1	0.0011463151
1.9014460891689e-07	Rac2	-0.3815681477	0.937	0.967	0.0013023004
2.09920455309313e-07	Gm14440	-0.2962736695	1	1	0.0014377452
2.11547409247834e-07	Npdc1	0.3728385986	0.406	0.15	0.0014488882
2.20430132284413e-07	Tsc22d1	0.4998557354	0.617	0.366	0.001509726
2.21783940927038e-07	Gstm7	-0.2513598938	0	0.144	0.0015189982
2.21783940927038e-07	Nudt7	-0.2556223329	0	0.144	0.0015189982
2.21783940927038e-07	Hyal2	-0.3045584528	0	0.144	0.0015189982
2.50219283261585e-07	Erp27	0.5521792509	0.16	0	0.0017137519
2.50219283261585e-07	Gstm2	0.4000135468	0.16	0	0.0017137519
2.50219283261585e-07	Gnat2	0.2719453247	0.16	0	0.0017137519
2.50219283261585e-07	Kti12	0.2521031402	0.16	0	0.0017137519
2.97570544349025e-07	Actg1	-0.4743735477	0.977	0.993	0.0020380607
4.34815134045044e-07	uc008lgw.2	-0.2735066224	0	0.137	0.0029780489
4.34815134045044e-07	Rnf25	-0.2902794273	0	0.137	0.0029780489
4.34815134045044e-07	Mfap2	-0.358258491	0	0.137	0.0029780489
4.59764000120184e-07	Cyba	-0.5325320466	0.543	0.784	0.0031489236
4.65305627198423e-07	Serpina3g	-0.7238299559	0.703	0.895	0.0031868782
6.92746832333216e-07	Arpc1b	-0.4786192965	0.909	0.967	0.0047446231
6.99260052907299e-07	Hmgb1	-0.3576163407	1	1	0.0047892321
7.25928278946433e-07	Plaur	0.2593319623	0.149	0	0.0049718828
7.51483070979766e-07	Ppia	-0.3529116712	1	1	0.0051469076
7.71961034619138e-07	Hmgn2	-0.4256771418	0.971	0.993	0.0052871611
8.72859401568742e-07	Adck3	0.557692365	0.903	0.699	0.005978214
1.00050135905171e-06	Snord34	0.2967943369	1	1	0.0068524338
1.06043173259972e-06	Mcm7	-0.6089664108	0.303	0.562	0.0072628969
1.10496680137142e-06	Vwf	0.284538469	0.617	0.392	0.0075679176
1.20527147359176e-06	Foxn3	-0.3884632691	0.869	0.895	0.0082549043
1.23183913199518e-06	Lrrc51	0.2872878276	0.143	0	0.0084368662
1.40411385097828e-06	Cmtm7	-0.5914417966	0.64	0.83	0.0096167758
1.67491894438486e-06	Apoe	0.4437919122	0.886	0.804	0.0114715199
1.89193683809029e-06	Fyb	0.3037296953	0.703	0.477	0.0129578754
2.14915052024961e-06	Mmrn1	0.4340373728	0.977	0.928	0.0147195319
2.25289144110315e-06	Ccdc82	-0.3077216273	1	1	0.0154300535
2.2903824564415e-06	Mat2a	-0.5133655062	0.886	0.954	0.0156868294
2.43597742560713e-06	Ucp2	-0.3563084417	0.611	0.784	0.0166840094
2.66009929767489e-06	Rpl7	0.3323832051	1	1	0.0182190201
2.76019548521913e-06	Hmga1	-0.3862009615	0.394	0.627	0.0189045789
3.39631186202021e-06	Rpl32	0.2510948092	1	1	0.0232613399
3.52184080178477e-06	Ddit3	0.3347340224	0.131	0	0.0241210877
3.52184080178477e-06	uc007gzs.2	0.311871853	0.131	0	0.0241210877
3.52184080178477e-06	Ecscr	0.291715748	0.131	0	0.0241210877
3.80104632211916e-06	Cd63	0.3893650779	0.989	0.954	0.0260333663
3.98845729099508e-06	Ier2	0.3396911922	0.709	0.484	0.027316944
4.12982358441068e-06	Ccnd2	-0.3853534717	0.943	0.954	0.0282851617
4.40400823540665e-06	Fkbp3	-0.3983014271	0.749	0.85	0.0301630524
4.67520412170835e-06	Anxa6	-0.4286156366	0.314	0.562	0.032020473
4.73155064949294e-06	Ppp1r15a	0.6259698589	0.771	0.608	0.0324063904
4.88120894642722e-06	Sat1	0.6652957086	0.909	0.771	0.0334314001
5.19965031790609e-06	Ywhaz	-0.3465452082	1	1	0.035612405
5.55552681571457e-06	Nnt	-0.315930306	0.571	0.712	0.0380498032
5.55912814242167e-06	Fam134b	-0.4162531404	0.543	0.732	0.0380744686
5.6182473204198e-06	Lpar6	0.3276185809	0.726	0.464	0.0384793759
5.87944534938489e-06	Apex1	-0.337384929	0.48	0.784	0.0402683212
