version_soft_cutoff(row.mean>5);upperquartile_norm;estimateGLMRobustDisp						
ensembl_gene_id	external_gene_name	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000006262	Mob1b	0.6341218265	5.9393861321	8.7585899008	0.0030814721	0.0391733113
ENSMUSG00000006345	Ggt1	1.4786595279	1.9049980226	11.9232922073	0.0005543642	0.011183207
ENSMUSG00000006360	Crip1	0.4852522772	7.4381065241	9.5418197006	0.0020084252	0.0285554488
ENSMUSG00000006373	Pgrmc1	0.3298663102	8.4879349031	9.4287798456	0.0021360636	0.0298925131
ENSMUSG00000006442	Srm	-0.7336739877	6.6591611989	8.7060196862	0.0031716096	0.0399315692
ENSMUSG00000006445	Epha2	2.9416663243	0.7306061635	11.9056671526	0.0005596342	0.0112272518
ENSMUSG00000006494	Pdk1	-0.5650959948	7.8968945204	17.8926127971	2.33726581254245e-05	0.0009041528
ENSMUSG00000006586	Runx1t1	1.1314254074	4.0862409114	16.6877418997	4.40648083246222e-05	0.0015079263
ENSMUSG00000006699	Cdc42	0.3875114742	10.5496851999	15.1030085675	0.0001018009	0.0029620387
ENSMUSG00000007783	Cpt1c	2.1782070946	2.1476217612	20.9062762872	4.82311713528879e-06	0.0002271164
ENSMUSG00000007872	Id3	2.454773314	0.9020219189	12.1745381709	0.0004844629	0.0100612357
ENSMUSG00000008318	Relt	-0.868829138	5.1696685585	17.3962653782	3.03421566484646e-05	0.0011126554
ENSMUSG00000008461	Fut1	3.076588081	0.6918294028	20.7842491904	5.14039929765475e-06	0.000240051
ENSMUSG00000008489	Elavl2	5.554637359	-0.6520428772	9.3248680171	0.002260646	0.0312479322
ENSMUSG00000008540	Mgst1	-1.1617882686	5.5644259395	25.3767083887	4.71577693946897e-07	3.10195366388027e-05
ENSMUSG00000009013	Dynll1	0.4421964723	6.7853360056	10.8914959143	0.0009660678	0.0167329665
ENSMUSG00000009246	Trpm5	-3.8665938137	0.4413118523	14.9991796582	0.0001075579	0.0030870402
ENSMUSG00000009350	Mpo	-5.9925482726	6.2751642191	65.6458517922	5.39684481726619e-16	1.4255259630607e-13
ENSMUSG00000009614	Sardh	1.1463535823	2.5294182879	9.5121311545	0.0020411797	0.0288754328
ENSMUSG00000010054	Tusc2	-0.6911362387	5.6949801506	8.8707884841	0.0028976996	0.0373935964
ENSMUSG00000010342	Tex14	7.8698888836	-0.905069698	23.1757185688	1.47852471208626e-06	8.3314867526061e-05
ENSMUSG00000010461	Eya4	6.9622008263	1.9076394736	53.8307405429	2.18526734533909e-13	4.38954372717201e-11
ENSMUSG00000010517	Faf1	-1.1288747628	4.6513157997	10.1129010618	0.0014723502	0.022818736
ENSMUSG00000010760	Phlda2	-1.2019546697	3.3526414364	17.1712494142	3.41566943789074e-05	0.001213065
ENSMUSG00000011263	Exoc3l2	1.2710189925	3.3554658792	18.3082114572	1.87895515903967e-05	0.0007544831
ENSMUSG00000011831	Evi5	-1.1070209495	4.4151238414	8.3347903172	0.0038892967	0.046432599
ENSMUSG00000012640	Zfp715	0.4969934609	6.8073075828	11.0735816001	0.0008756638	0.0156480931
ENSMUSG00000013974	Mcemp1	-2.4987257355	1.8977461726	11.0101017487	0.0009061667	0.0160573882
ENSMUSG00000014177	Tvp23b	0.4087995411	6.8340913079	8.1662733293	0.0042676502	0.0494896436
ENSMUSG00000015085	Entpd2	2.0852004007	2.5745859164	29.0103014413	7.19944301458312e-08	5.93690654446476e-06
ENSMUSG00000015094	Npdc1	1.4091624617	6.4828923458	84.2935304006	4.26508569481072e-20	1.50210986814115e-17
ENSMUSG00000015189	Casd1	-1.1833104901	7.1072843697	22.0840951917	2.6096299491357e-06	0.0001370342
ENSMUSG00000015214	Mtmr1	-1.177849729	6.3639518947	19.3360935547	1.09614627027085e-05	0.0004727131
ENSMUSG00000015316	Slamf1	1.0239132311	6.1505747341	17.3333780511	3.13629434398428e-05	0.00114512
ENSMUSG00000015340	Cybb	-2.7102766616	4.0671862425	26.5205538523	2.6074900797149e-07	1.82902986711952e-05
ENSMUSG00000015355	Cd48	-2.4625806417	3.5185602033	40.9496202196	1.56204364490098e-10	2.31634629974132e-08
ENSMUSG00000015568	Lpl	1.6145178227	4.2726620333	36.3423893891	1.65524307046712e-09	1.94318639626712e-07
ENSMUSG00000015714	Cers2	0.317249508	8.5175914863	8.5568611222	0.0034422241	0.0422591131
ENSMUSG00000015932	Dstn	0.4054558737	7.6097931669	9.5877896063	0.0019587561	0.0279905088
ENSMUSG00000015947	Fcgr1	-2.5067606063	0.2239341877	9.2450358118	0.0023613468	0.0322183756
ENSMUSG00000015950	Ncf1	-1.2799314729	4.0911025723	9.663275586	0.0018798813	0.0271386797
ENSMUSG00000016087	Fli1	0.3147536924	8.5524166408	8.1659899367	0.0042683171	0.0494896436
ENSMUSG00000016194	Hsd11b1	-3.0915735941	1.0763002963	10.2159470347	0.0013923148	0.0219562331
ENSMUSG00000016386	Mpped2	-1.3188835031	3.3954628108	17.9977304932	2.2116849090249e-05	0.0008715276
ENSMUSG00000016534	Lamp2	0.6135927265	9.5806280179	37.3771350403	9.73568491027476e-10	1.2468314652136e-07
ENSMUSG00000016995	Matn4	9.2148821699	4.7555708948	295.4682096291	3.19978319625341e-66	1.8030778310888e-62
ENSMUSG00000017007	Rbpjl	8.9645694621	0.5745560552	53.0104320137	3.31781584222107e-13	6.37359963781218e-11
ENSMUSG00000017309	Cd300lg	-5.6607283196	-0.16699334	13.2292942022	0.0002756076	0.0064531108
ENSMUSG00000017421	Zfp207	0.3765780538	8.9029524949	13.2176650556	0.0002773229	0.0064577326
ENSMUSG00000017466	Timp2	-0.9322987427	5.5426503755	9.0173182426	0.0026743348	0.0351664944
ENSMUSG00000017493	Igfbp4	-0.6383023352	7.8081913059	22.6721560589	1.92131917897681e-06	0.0001039788
ENSMUSG00000017667	Zfp334	1.8759076606	2.7101985766	16.1985393552	5.70380785189527e-05	0.0018401311
ENSMUSG00000017713	Tha1	0.8604363498	3.9006488427	10.6960780827	0.0010736289	0.0180954105
ENSMUSG00000017781	Pitpna	-0.8465639794	7.8097227197	11.5461864106	0.0006788836	0.0128890513
ENSMUSG00000017950	Hnf4a	-1.3470357199	4.7591462157	24.8363529825	6.24093143446781e-07	3.92204259850105e-05
ENSMUSG00000018339	Gpx3	1.9022427004	3.6929121414	16.9665046384	3.80451277840747e-05	0.0013371162
ENSMUSG00000018340	Anxa6	-1.412204354	6.4748841385	36.0384523868	1.93461878457989e-09	2.25549865884987e-07
ENSMUSG00000018341	Il12rb2	-1.9127153081	3.1701193121	24.2632251414	8.40281351741832e-07	5.07319866114131e-05
ENSMUSG00000018415	Gid4	-0.8486026445	6.5316967571	15.3243985266	9.05395663634026e-05	0.0026946679
ENSMUSG00000018425	Dhx40	1.3335292286	4.3171310395	18.4995099984	1.69947986636204e-05	0.0006922821
ENSMUSG00000018707	Dync1h1	-0.6773482427	6.2648236688	12.0693790712	0.0005125677	0.0104523002
ENSMUSG00000018819	Lsp1	-0.4837287677	7.3393581286	10.5780219931	0.0011444004	0.0189296368
ENSMUSG00000018927	Ccl6	-1.1087423162	3.6809846957	8.4402669321	0.0036700237	0.0444963515
ENSMUSG00000018931	Natd1	-0.7356939112	4.3306255885	8.4930244593	0.0035651067	0.0435148941
ENSMUSG00000019102	Aldh3a1	4.2686613967	1.8387236191	35.0265892235	3.25233733576371e-09	3.64111011000567e-07
ENSMUSG00000019189	Rnf145	-1.0009787029	6.7257059504	16.4181740259	5.07958648480549e-05	0.0016870414
ENSMUSG00000019278	Dpep1	7.3495894334	-0.8371914706	11.8961097836	0.000562513	0.0112379999
ENSMUSG00000019312	Grb7	8.6881997842	-0.2571555504	28.7064645973	8.42221151847932e-08	6.84507142884101e-06
ENSMUSG00000019528	Gyg	0.3621765745	7.6432388863	8.8184236226	0.0029820417	0.0383065466
ENSMUSG00000019590	Cyb561	2.6967878145	3.4565626932	50.23656924	1.36284277577703e-12	2.45094224728837e-10
ENSMUSG00000019846	Lama4	1.8416557409	2.1989098018	13.5948360233	0.0002268086	0.0055892114
ENSMUSG00000019851	Perp	1.3668136896	3.7484782016	20.2484895339	6.80071346482014e-06	0.0003049498
ENSMUSG00000019861	Gopc	-0.8478876011	5.6042369279	10.8371062373	0.0009948609	0.01705692
ENSMUSG00000019889	Ptprk	2.0216007008	4.1264694283	36.8581355167	1.27044846400972e-09	1.55629936841191e-07
ENSMUSG00000019894	Slc6a15	0.541165742	6.3469141971	9.2542824629	0.0023494537	0.0321033979
ENSMUSG00000019961	Tmpo	-0.9766882877	8.0150178174	14.3683273203	0.0001503094	0.0040205396
ENSMUSG00000019970	Sgk1	1.7850330742	4.902262623	36.7633652062	1.33373117615301e-09	1.61048039520476e-07
ENSMUSG00000019998	Stx7	0.408111788	7.4086545482	10.4264889589	0.0012422067	0.020056833
ENSMUSG00000020015	Cdk17	-0.7399486012	7.3689734498	10.2923113352	0.0013358566	0.021284312
ENSMUSG00000020020	Usp44	1.0879837811	2.7033646012	9.2089934329	0.0024082907	0.0327005258
ENSMUSG00000020027	Socs2	-1.8254172549	5.0169816419	31.1268173644	2.41708871814153e-08	2.22070025979253e-06
ENSMUSG00000020038	Cry1	-0.9727455731	4.5826802521	10.0653695599	0.0015108226	0.0231344707
ENSMUSG00000020044	Timp3	1.3749886629	6.1837845217	40.3122462516	2.16447956036765e-10	3.12739546735172e-08
ENSMUSG00000020053	Igf1	-1.6810017678	3.3971814293	23.7914104289	1.07360497672003e-06	6.34590633966855e-05
ENSMUSG00000020057	Dram1	-1.3935015671	2.3545455871	8.6482180666	0.0032738138	0.0408308204
ENSMUSG00000020077	Srgn	0.4474661267	10.2937146903	12.0901082134	0.0005069003	0.0103617291
ENSMUSG00000020087	Tysnd1	-1.38354358	3.826527978	11.3393410716	0.0007588224	0.0140502665
ENSMUSG00000020089	Ppa1	0.6148650657	7.5802238779	21.9743603175	2.7631725272801e-06	0.0001446174
ENSMUSG00000020120	Plek	1.2673150267	8.6416226994	89.1909389534	3.58487155741582e-21	1.40935473670033e-18
ENSMUSG00000020125	Elane	-4.8784207886	5.6813085916	17.6118854797	2.7089004085331e-05	0.0010157813
ENSMUSG00000020140	Lgr5	1.3481373625	2.0651384853	10.571748791	0.0011482904	0.0189694283
ENSMUSG00000020167	Tcf3	-0.8041558644	7.3151565247	17.6111474342	2.70995189250214e-05	0.0010157813
ENSMUSG00000020213	Glipr1l1	3.0900873485	1.1751201724	22.7993243091	1.7982891921353e-06	9.87015545228809e-05
ENSMUSG00000020216	Jsrp1	2.3810548121	0.6138567435	10.5504998463	0.0011615667	0.0190458635
ENSMUSG00000020231	Dip2a	-0.9213286459	3.5269534233	10.3792316022	0.0012744072	0.0204789487
ENSMUSG00000020282	Rhbdf1	-0.9245348026	3.7150067118	9.6384902481	0.0019054179	0.0274136931
ENSMUSG00000020309	Chac2	0.7915436541	4.0278717687	8.7895132474	0.0030296708	0.0386832208
ENSMUSG00000020349	Ppp2ca	-1.0144616451	6.3297767061	10.1045823049	0.0014790111	0.0228752816
ENSMUSG00000020358	Hnrnpab	-1.1753766108	7.7486374666	15.0058396701	0.000107179	0.0030854504
ENSMUSG00000020424	Castor1	0.6723097431	4.284473159	8.2671017069	0.00403699	0.0476240868
ENSMUSG00000020467	Efemp1	5.3904476378	1.2168159521	48.1734288417	3.90139422321411e-12	6.66192619630652e-10
ENSMUSG00000020482	Ccdc117	-0.8776337072	5.7660226012	8.5283083129	0.0034966456	0.0428339085
ENSMUSG00000020496	Rnf187	-1.1200510038	6.1809901504	10.881968695	0.0009710498	0.0167563952
ENSMUSG00000020520	Galnt10	-0.8672702959	5.6852044602	9.549452643	0.0020000905	0.0284608839
ENSMUSG00000020546	Stxbp4	1.2843233654	6.8469282966	67.9638835565	1.66517802078981e-16	4.69163907357528e-14
ENSMUSG00000020585	Laptm4a	0.3417589561	8.9301108738	9.1391043868	0.0025020355	0.0335804154
ENSMUSG00000020609	Apob	1.8418039558	2.4688868711	11.7879506853	0.0005961533	0.011677834
ENSMUSG00000020640	Itsn2	-1.1585482305	5.0414948387	15.82049667	6.96439754358964e-05	0.002148415
ENSMUSG00000020654	Adcy3	-2.1991940536	2.6775768768	28.055581261	1.17880649291001e-07	9.14115768928608e-06
ENSMUSG00000020661	Dnmt3a	-0.8014878188	5.7691078127	22.1002643474	2.58774106913157e-06	0.0001367055
ENSMUSG00000020689	Itgb3	2.0552694542	7.6093703848	152.0473201448	6.18705261977796e-35	8.04554804133434e-32
ENSMUSG00000020721	Helz	-0.499426841	6.464563999	9.6886434177	0.0018541038	0.0268123388
ENSMUSG00000020774	Aspa	2.5880850499	5.065374625	124.7704103222	5.71373757417662e-29	4.82953668457279e-26
ENSMUSG00000020787	P2rx1	-0.4250611629	6.5077326327	8.3951612835	0.0037622113	0.0453315623
ENSMUSG00000020811	Wscd1	7.646336671	-1.1708984501	11.9048882267	0.0005598683	0.0112272518
ENSMUSG00000020823	Sec14l1	0.6172958139	7.0170711466	18.2372457635	1.95027488969648e-05	0.0007812653
ENSMUSG00000020846	Rflnb	-1.1703684319	3.2953281362	8.8890504143	0.002868859	0.0371348094
ENSMUSG00000020875	Hoxb9	3.3339934721	0.1702885669	10.2355455957	0.0013775986	0.0217647702
ENSMUSG00000020894	Vamp2	-0.6201573738	5.5094358889	10.8464990279	0.0009898272	0.0169878462
ENSMUSG00000020907	Rcvrn	7.8481103094	2.1429774772	78.3517466673	8.62330725599023e-19	2.7505096068399e-16
ENSMUSG00000020956	Dtd2	0.570405235	6.0246641471	8.9680908037	0.0027473553	0.035836452
ENSMUSG00000021025	Nfkbia	0.5853294839	7.0936820049	16.8102374192	4.13098452639022e-05	0.0014310306
ENSMUSG00000021036	Sptlc2	0.4558133889	7.3516114362	10.9719761486	0.0009250007	0.0162751479
ENSMUSG00000021054	Sgpp1	-1.3317300628	5.5742746661	13.3645327371	0.0002564278	0.006131417
ENSMUSG00000021072	Tmx1	0.3730814633	8.645199135	10.651236369	0.0010999735	0.0184291893
ENSMUSG00000021091	Serpina3n	7.8189993131	-0.9172901854	14.7579549201	0.0001222307	0.0034210443
ENSMUSG00000021118	Plek2	2.8649808123	0.9844796184	23.0572566665	1.57247879755673e-06	8.74432699759752e-05
ENSMUSG00000021187	Tc2n	3.508899441	3.5688180691	118.681687101	1.22959485288988e-27	9.03752216874061e-25
ENSMUSG00000021270	Hsp90aa1	0.3619322508	8.610505541	8.9693197912	0.0027455079	0.035836452
ENSMUSG00000021384	Susd3	0.9312073804	5.7998221268	27.7705176083	1.36591860485706e-07	1.01275675504863e-05
ENSMUSG00000021388	Aspn	-7.3207192843	-1.7068160741	11.7340499717	0.000613669	0.0119379458
ENSMUSG00000021453	Gadd45g	2.2859967583	3.2716447803	34.3591645419	4.58237516551839e-09	5.03019819305768e-07
ENSMUSG00000021457	Syk	-0.5784669694	6.9312341556	15.1754628893	9.79682040713679e-05	0.0028802652
ENSMUSG00000021464	Ror2	2.1428915595	2.9862762046	27.9661498165	1.23456277175512e-07	9.47180237449291e-06
ENSMUSG00000021596	Mctp1	0.377757302	8.0988447749	10.5705260091	0.0011490503	0.0189694283
ENSMUSG00000021609	Slc6a3	8.4503407607	-0.1711951396	21.8373616443	2.96764845014543e-06	0.0001534193
ENSMUSG00000021614	Vcan	-7.8025567013	-1.0129231688	16.1184105258	5.95027747603332e-05	0.0019015017
ENSMUSG00000021638	Ocln	0.9769798081	5.1895431651	21.5723830098	3.40722856869061e-06	0.0001699091
ENSMUSG00000021681	Aggf1	-1.1702917923	5.3927912049	11.7101014117	0.0006216173	0.0120226214
ENSMUSG00000021687	Scamp1	0.3558670131	7.9521683182	8.2309109875	0.0041182853	0.0482464397
ENSMUSG00000021870	Slmap	-1.0403887619	5.6408744481	12.8942287642	0.0003295969	0.0074291138
ENSMUSG00000021892	Sh3bp5	-0.6921922717	5.5826806277	11.5438655287	0.0006797316	0.0128890513
ENSMUSG00000022010	Tsc22d1	0.9125764879	9.2964590528	42.0594080161	8.85421806645338e-11	1.33643353940531e-08
ENSMUSG00000022015	Tnfsf11	-3.3686574836	1.3444750314	10.4969720516	0.0011957033	0.0194917249
ENSMUSG00000022106	Rcbtb2	0.3810975992	7.5875031971	9.5209791804	0.0020313617	0.0287847182
ENSMUSG00000022146	Osmr	8.9170089321	2.9491467842	113.0425235927	2.11196461290424e-26	1.32232451041282e-23
ENSMUSG00000022439	Parvg	-0.4580062646	8.0141376572	11.8826819288	0.000566583	0.0112683355
ENSMUSG00000022508	Bcl6	0.8897849533	3.5575843409	9.0461157443	0.0026325352	0.0348223847
ENSMUSG00000022584	Ly6c2	-4.1105852386	4.8579544154	40.1385708449	2.36571532088087e-10	3.38918792368569e-08
ENSMUSG00000022587	Ly6e	0.3883697331	10.4307418017	13.1745715622	0.0002837736	0.0065805113
ENSMUSG00000022636	Alcam	1.2063203063	6.7147378314	57.3571792916	3.63434276729039e-14	7.87673903603128e-12
ENSMUSG00000022686	B3gnt5	0.662979182	6.587456915	12.0177590367	0.0005269602	0.0106941929
ENSMUSG00000022708	Zbtb20	-0.641366625	6.2910493111	13.211006471	0.0002783099	0.0064669264
ENSMUSG00000022722	Arl6	0.6629543682	5.2166574795	10.7080628932	0.0010666965	0.0179965116
ENSMUSG00000022824	Muc13	0.4652894833	9.2338411411	16.2179355217	5.64570653632563e-05	0.0018283653
ENSMUSG00000022901	Cd86	-1.5191191968	3.8921182792	17.3708892132	3.07499817073843e-05	0.0011251698
ENSMUSG00000022912	Pros1	0.9993987295	6.2549253194	38.1885235918	6.42290718588343e-10	8.4169958121984e-08
ENSMUSG00000023032	Slc4a8	2.4042398061	0.6675201581	10.3460839647	0.0012974965	0.0207906905
ENSMUSG00000023070	Rgn	3.375925439	1.7894594145	34.1549228868	5.08943255337737e-09	5.55076498805448e-07
ENSMUSG00000023092	Fhl1	1.4923281017	6.8863021318	106.9273287307	4.61796409009348e-25	2.78809581939394e-22
ENSMUSG00000023216	Epb42	-1.5709236251	1.8731935582	9.3507768864	0.0022289097	0.0308750584
ENSMUSG00000023224	Serping1	1.483447185	2.2918442171	12.0642464328	0.0005139808	0.0104684888
ENSMUSG00000023274	Cd4	-3.7766250545	1.9962190669	35.8866898073	2.09132511180623e-09	2.40502387857716e-07
ENSMUSG00000023328	Ache	1.3840965554	3.2577569819	10.4044817657	0.0012570984	0.0202779084
ENSMUSG00000023367	Tmem176a	0.5621268704	8.348818627	21.7120313275	3.1679816452833e-06	0.0001603435
ENSMUSG00000023764	Sfi1	-0.6842000923	5.4668041962	12.2592952381	0.0004629463	0.0096977788
ENSMUSG00000023927	Satb1	-1.378937256	3.7214964846	11.9823976404	0.0005370544	0.0108729395
ENSMUSG00000023942	Slc29a1	-0.5823426836	6.2791960334	9.5216767875	0.0020305896	0.0287847182
ENSMUSG00000023951	Vegfa	-1.6890551659	2.7441462944	15.6805097657	7.49929793736907e-05	0.0022925069
ENSMUSG00000023960	Enpp5	1.7128052309	8.3686598193	146.2630992517	1.13716653423427e-33	1.37312859008788e-30
ENSMUSG00000023961	Enpp4	0.6793396945	7.2141310125	20.5737139618	5.73785783999241e-06	0.0002650232
ENSMUSG00000024028	Tff2	1.3246351269	1.8071661319	9.9973235182	0.001567679	0.0237682638
ENSMUSG00000024164	C3	-3.8607911429	3.5499632084	28.4519718882	9.60518873742315e-08	7.65923186821407e-06
ENSMUSG00000024184	Pdia2	-8.5395480274	-0.7823001993	15.8319882442	6.92223017679062e-05	0.0021393108
ENSMUSG00000024201	Kdm4b	-0.6574474994	6.2136877355	9.2225236934	0.002390558	0.03257096
ENSMUSG00000024331	Dsc2	2.1360430402	2.9050319443	16.5870913441	4.64662166650347e-05	0.0015741711
ENSMUSG00000024399	Ltb	-1.1043407386	7.2992926985	33.659004691	6.56701764743324e-09	6.75044071867175e-07
ENSMUSG00000024511	Rab27b	0.6775722253	6.5390680886	13.6175537204	0.0002240805	0.0055381292
ENSMUSG00000024590	Lmnb1	-1.1514818411	5.7870546639	14.5760099207	0.0001346175	0.0037124123
ENSMUSG00000024600	Slc27a6	0.7195665435	5.7163002015	15.9676519924	6.44341222990791e-05	0.0020257961
ENSMUSG00000024620	Pdgfrb	0.6038105239	5.0982970153	9.7159726671	0.0018267337	0.0265883071
ENSMUSG00000024675	Ms4a4c	-7.3417048348	1.1794135664	31.7961639495	1.71230597055757e-08	1.63539731255795e-06
ENSMUSG00000024677	Ms4a6b	-1.0077704533	5.7676888698	21.7128902403	3.16656355569198e-06	0.0001603435
