"","X.term.ID","term.description","observed.gene.count","background.gene.count","false.discovery.rate","matching.proteins.in.your.network..IDs.","matching.proteins.in.your.network..labels."
"14","GO:0071230","cellular response to amino acid stimulus",2,67,0.05,"ENSMUSP00000034187,ENSMUSP00000105396","Dnmt3b,Mmp2"
"15","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway",2,9,0.0054,"ENSMUSP00000033899,ENSMUSP00000113852","Col4a2,Syk"
"16","GO:0051707","response to other organism",8,779,0.0025,"ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000031264,ENSMUSP00000039041,ENSMUSP00000087047,ENSMUSP00000093613,ENSMUSP00000096061,ENSMUSP00000113852","Cd37,Cd86,Flt3,Il12rb2,Mgst1,Plac8,Rnase6,Syk"
"17","GO:0046425","regulation of receptor signaling pathway via JAK-STAT",3,147,0.0293,"ENSMUSP00000018094,ENSMUSP00000020215,ENSMUSP00000034148","Hnf4a,Il15,Socs2"
"18","GO:0006952","defense response",8,1079,0.011,"ENSMUSP00000018963,ENSMUSP00000031264,ENSMUSP00000034148,ENSMUSP00000037028,ENSMUSP00000087047,ENSMUSP00000093613,ENSMUSP00000096061,ENSMUSP00000113852","Camk1d,Cd37,Cd86,Il15,Lsp1,Plac8,Rnase6,Syk"
"19","GO:0018209","peptidyl-serine modification",3,204,0.0465,"ENSMUSP00000037028,ENSMUSP00000045432,ENSMUSP00000113852","Camk1d,Mamdc2,Syk"
"20","GO:0032720","negative regulation of tumor necrosis factor production",2,52,0.0383,"ENSMUSP00000016638,ENSMUSP00000039041","Cd34,Flt3"
"21","GO:0007254","JNK cascade",2,65,0.0486,"ENSMUSP00000108675,ENSMUSP00000113852","Nrk,Syk"
"22","GO:0001525","angiogenesis",5,303,0.0056,"ENSMUSP00000016638,ENSMUSP00000033899,ENSMUSP00000034187,ENSMUSP00000034756,ENSMUSP00000113852","Anxa2,Cd34,Col4a2,Mmp2,Syk"
"23","GO:0048638","regulation of developmental growth",4,353,0.0351,"ENSMUSP00000020215,ENSMUSP00000031264,ENSMUSP00000039041,ENSMUSP00000108675","Flt3,Nrk,Plac8,Socs2"
"24","GO:0001894","tissue homeostasis",4,165,0.006,"ENSMUSP00000015667,ENSMUSP00000016638,ENSMUSP00000039041,ENSMUSP00000106154","Cd34,Ctss,Flt3,Slc28a2"
"25","GO:0018108","peptidyl-tyrosine phosphorylation",4,164,0.006,"ENSMUSP00000010605,ENSMUSP00000034148,ENSMUSP00000039041,ENSMUSP00000113852","Flt3,Il12rb2,Il15,Syk"
"26","GO:0006468","protein phosphorylation",6,793,0.03,"ENSMUSP00000010605,ENSMUSP00000034148,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000108675,ENSMUSP00000113852","Camk1d,Flt3,Il12rb2,Il15,Nrk,Syk"
"27","GO:0019221","cytokine-mediated signaling pathway",7,313,0.00028,"ENSMUSP00000003274,ENSMUSP00000010605,ENSMUSP00000020215,ENSMUSP00000034148,ENSMUSP00000039041,ENSMUSP00000094082,ENSMUSP00000113852","Csf2rb,Ebi3,Flt3,Il12rb2,Il15,Socs2,Syk"
"28","GO:0050900","leukocyte migration",3,186,0.0397,"ENSMUSP00000016638,ENSMUSP00000027871,ENSMUSP00000113852","Cd34,Sell,Syk"
"29","GO:0090023","positive regulation of neutrophil chemotaxis",2,31,0.0236,"ENSMUSP00000027871,ENSMUSP00000037028","Camk1d,Sell"
"30","GO:0042113","B cell activation",3,147,0.0293,"ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047","Cd86,Flt3,Lgals1"
"31","GO:0035987","endodermal cell differentiation",2,36,0.0267,"ENSMUSP00000033899,ENSMUSP00000034187","Col4a2,Mmp2"
"32","GO:0045807","positive regulation of endocytosis",3,157,0.0315,"ENSMUSP00000034756,ENSMUSP00000037028,ENSMUSP00000113852","Anxa2,Camk1d,Syk"
"33","GO:0006270","DNA replication initiation",2,24,0.0161,"ENSMUSP00000000505,ENSMUSP00000126135","Mcm5,Mcm7"
