"","X.term.ID","term.description","observed.gene.count","background.gene.count","false.discovery.rate","matching.proteins.in.your.network..IDs.","matching.proteins.in.your.network..labels."
"11","GO:1901570","fatty acid derivative biosynthetic process",3,43,0.0394,"ENSMUSP00000031982,ENSMUSP00000033634,ENSMUSP00000070868","Acsl4,Hpgds,Pla2g4a"
"12","GO:0043112","receptor metabolic process",4,91,0.0455,"ENSMUSP00000024860,ENSMUSP00000032492,ENSMUSP00000064538,ENSMUSP00000122072","Cd9,Dnm3,Ehd3,Ramp2"
"13","GO:0001775","cell activation",19,552,1.63e-05,"ENSMUSP00000005256,ENSMUSP00000015460,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000023151,ENSMUSP00000029795,ENSMUSP00000032738,ENSMUSP00000037966,ENSMUSP00000048736,ENSMUSP00000052404,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000107873,ENSMUSP00000132547,ENSMUSP00000134504","Bcl6,Chrna7,Clu,Cyp26b1,Egr1,Gadd45g,Gpr183,Id2,Itgb3,Jun,Klrb1c,Mef2c,Ndrg1,Plek,Ptger4,Rorc,Slamf1,Tox,Vwf"
"14","GO:0006749","glutathione metabolic process",4,52,0.0117,"ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000012348,ENSMUSP00000081011","Gpx3,Gstm1,Gstm2,Gstm7"
"15","GO:1904035","regulation of epithelial cell apoptotic process",4,83,0.0368,"ENSMUSP00000057815,ENSMUSP00000063562,ENSMUSP00000109144,ENSMUSP00000122072","Kdr,Pgr,Ramp2,Zfp36"
"16","GO:0048145","regulation of fibroblast proliferation",5,103,0.0171,"ENSMUSP00000021028,ENSMUSP00000032961,ENSMUSP00000033952,ENSMUSP00000102711,ENSMUSP00000128388","Itgb3,Jun,Nupr1,Pdgfd,Sfrp1"
"17","GO:0046085","adenosine metabolic process",2,10,0.0303,"ENSMUSP00000031793,ENSMUSP00000059889","Acpp,Nt5c3"
"18","GO:0033240","positive regulation of cellular amine metabolic process",2,12,0.0372,"ENSMUSP00000032738,ENSMUSP00000063548","Abat,Chrna7"
"19","GO:0032680","regulation of tumor necrosis factor production",5,136,0.0383,"ENSMUSP00000015460,ENSMUSP00000022616,ENSMUSP00000032738,ENSMUSP00000048736,ENSMUSP00000057815","Chrna7,Clu,Ptger4,Slamf1,Zfp36"
"20","GO:2001225","regulation of chloride transport",2,9,0.0265,"ENSMUSP00000041204,ENSMUSP00000088833","Abcb1a,Prnp"
"21","GO:0016102","diterpenoid biosynthetic process",2,8,0.0231,"ENSMUSP00000027053,ENSMUSP00000084918","Aldh1a1,Rdh10"
"22","GO:0070458","cellular detoxification of nitrogen compound",2,3,0.008,"ENSMUSP00000004137,ENSMUSP00000012348","Gstm2,Gstm7"
"23","GO:0042908","xenobiotic transport",2,8,0.0231,"ENSMUSP00000009058,ENSMUSP00000041204","Abcb1a,Abcb1b"
"24","GO:0051345","positive regulation of hydrolase activity",14,652,0.0116,"ENSMUSP00000006679,ENSMUSP00000019998,ENSMUSP00000023832,ENSMUSP00000027009,ENSMUSP00000029566,ENSMUSP00000040271,ENSMUSP00000044624,ENSMUSP00000049967,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000107863,ENSMUSP00000132547","Arhgap29,Casp12,Efna1,Jun,Mef2c,Mmp14,Ntf3,Perp,Plek,Plscr1,Prtn3,Rgn,Tbc1d8,Tnfsf10"
"25","GO:0032970","regulation of actin filament-based process",8,342,0.0475,"ENSMUSP00000021028,ENSMUSP00000028386,ENSMUSP00000048736,ENSMUSP00000057096,ENSMUSP00000060099,ENSMUSP00000099945,ENSMUSP00000107863,ENSMUSP00000132547","Dsg2,Itgb3,Mef2c,Nckap1,Ntf3,Plek,Ptger4,Tacstd2"
"26","GO:0006897","endocytosis",15,424,0.00014,"ENSMUSP00000001279,ENSMUSP00000006679,ENSMUSP00000015460,ENSMUSP00000019064,ENSMUSP00000021028,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000034745,ENSMUSP00000047730,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000099411,ENSMUSP00000103958,ENSMUSP00000122072,ENSMUSP00000127329","Cd9,Chrna7,Cxcl16,Dnm3,Ghr,Itgb3,Lsr,Myo1e,Prtn3,Rab34,Ramp2,Sbspon,Slamf1,Tgm2,Vldlr"
"27","GO:0019220","regulation of phosphate metabolic process",29,1650,0.0018,"ENSMUSP00000000109,ENSMUSP00000015460,ENSMUSP00000021028,ENSMUSP00000021903,ENSMUSP00000022616,ENSMUSP00000023832,ENSMUSP00000029566,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000037854,ENSMUSP00000040715,ENSMUSP00000042211,ENSMUSP00000048736,ENSMUSP00000052404,ENSMUSP00000057965,ENSMUSP00000062615,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000113040,ENSMUSP00000115228,ENSMUSP00000127329,ENSMUSP00000128388,ENSMUSP00000132547","Bmpr1a,Chrna7,Clu,Cntn1,Cysltr2,Efna1,Egr1,Gadd45g,Ghr,Gpr183,Itgb3,Jun,Kdr,Mef2c,Ntf3,Pdgfd,Phactr1,Plcl1,Plek,Ppp1r16b,Prnp,Ptger4,Rgn,Sema7a,Sfrp1,Slamf1,Trpc6,Vldlr,Wwtr1"
"28","GO:0048008","platelet-derived growth factor receptor signaling pathway",3,36,0.029,"ENSMUSP00000021028,ENSMUSP00000034745,ENSMUSP00000128388","Itgb3,Myo1e,Pdgfd"
"29","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",6,141,0.0133,"ENSMUSP00000015460,ENSMUSP00000021903,ENSMUSP00000023151,ENSMUSP00000029795,ENSMUSP00000069418,ENSMUSP00000132547","Bcl6,C4b,Gadd45g,Mef2c,Rorc,Slamf1"
"30","GO:0001666","response to hypoxia",10,278,0.0024,"ENSMUSP00000005256,ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000069616,ENSMUSP00000087119,ENSMUSP00000109144,ENSMUSP00000127329","Abat,Cd38,Chrna7,Egr1,Kdr,Mmp14,Ndrg1,Sfrp1,Trpc6,Vldlr"
"31","GO:1903053","regulation of extracellular matrix organization",3,38,0.0318,"ENSMUSP00000021028,ENSMUSP00000099793,ENSMUSP00000113062","Ddr1,Fap,Itgb3"
"32","GO:0050804","modulation of chemical synaptic transmission",10,367,0.0114,"ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000037854,ENSMUSP00000048736,ENSMUSP00000063548,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000132547","Abat,Cd38,Chrna7,Egr1,Kdr,Mef2c,Ntf3,Plcl1,Prnp,Ptger4"
"33","GO:1902003","regulation of amyloid-beta formation",4,20,0.00094,"ENSMUSP00000022616,ENSMUSP00000029566,ENSMUSP00000032738,ENSMUSP00000088833","Chrna7,Clu,Efna1,Prnp"
"34","GO:0009410","response to xenobiotic stimulus",10,225,0.00063,"ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000012348,ENSMUSP00000029795,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000101981","Abat,Cyp26b1,Egr1,Ghr,Gstm1,Gstm2,Gstm7,Pgr,Rorc,Sult1a1"
"35","GO:0045216","cell-cell junction organization",8,133,0.00058,"ENSMUSP00000001279,ENSMUSP00000006679,ENSMUSP00000019998,ENSMUSP00000032492,ENSMUSP00000057096,ENSMUSP00000065284,ENSMUSP00000122072,ENSMUSP00000126279","Cd9,Dsg2,Lsr,Ocln,Perp,Prtn3,Ptprk,Ramp2"
"36","GO:0034330","cell junction organization",10,147,4.01e-05,"ENSMUSP00000001279,ENSMUSP00000006679,ENSMUSP00000018315,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000032492,ENSMUSP00000057096,ENSMUSP00000065284,ENSMUSP00000122072,ENSMUSP00000126279","Cd9,Dsg2,Itgb3,Lsr,Ocln,Perp,Prtn3,Ptprk,Ramp2,Vmp1"
"37","GO:0019932","second-messenger-mediated signaling",7,235,0.0278,"ENSMUSP00000030691,ENSMUSP00000034215,ENSMUSP00000048736,ENSMUSP00000088833,ENSMUSP00000109144,ENSMUSP00000122072,ENSMUSP00000123924","Kdr,Mt1,Pclo,Prnp,Ptger4,Ramp2,Selp"
"38","GO:0071495","cellular response to endogenous stimulus",19,997,0.0078,"ENSMUSP00000004137,ENSMUSP00000021028,ENSMUSP00000029795,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000047597,ENSMUSP00000048736,ENSMUSP00000056703,ENSMUSP00000057815,ENSMUSP00000063562,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000102711,ENSMUSP00000116191,ENSMUSP00000126279,ENSMUSP00000128388,ENSMUSP00000132547","Bmpr1a,Chrna7,Egr1,Ghr,Gstm7,Itgb3,Jun,Ly6e,Mef2c,Pdgfd,Pgr,Prnp,Ptger4,Ptprk,Rorb,Rorc,Sfrp1,Stxbp4,Zfp36"
"39","GO:0007009","plasma membrane organization",6,65,0.00064,"ENSMUSP00000005256,ENSMUSP00000022616,ENSMUSP00000034932,ENSMUSP00000034941,ENSMUSP00000055694,ENSMUSP00000091318","Clu,Ndrg1,Plscr1,Plscr2,Plscr4,Sdpr"
"40","GO:0042330","taxis",10,434,0.0265,"ENSMUSP00000015460,ENSMUSP00000019064,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000023312,ENSMUSP00000029566,ENSMUSP00000042211,ENSMUSP00000052404,ENSMUSP00000063656,ENSMUSP00000107863","Alcam,Cxcl16,Efna1,Gpr183,Id2,Itgb3,Neo1,Ntf3,Sema7a,Slamf1"
"41","GO:0035584","calcium-mediated signaling using intracellular calcium source",3,19,0.0086,"ENSMUSP00000088833,ENSMUSP00000109144,ENSMUSP00000123924","Kdr,Prnp,Selp"
"42","GO:0006869","lipid transport",8,231,0.009,"ENSMUSP00000013995,ENSMUSP00000033634,ENSMUSP00000034932,ENSMUSP00000034941,ENSMUSP00000041204,ENSMUSP00000070868,ENSMUSP00000091318,ENSMUSP00000127329","Abca4,Abcb1a,Acsl4,Pla2g4a,Plscr1,Plscr2,Plscr4,Vldlr"
"43","GO:0097237","cellular response to toxic substance",7,190,0.0121,"ENSMUSP00000004137,ENSMUSP00000012348,ENSMUSP00000057965,ENSMUSP00000069616,ENSMUSP00000081011,ENSMUSP00000109144,ENSMUSP00000128388","Egr1,Gpx3,Gstm2,Gstm7,Kdr,Pdgfd,Trpc6"
"44","GO:0030030","cell projection organization",25,1020,7.11e-05,"ENSMUSP00000000109,ENSMUSP00000020692,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000023312,ENSMUSP00000024860,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000032738,ENSMUSP00000033634,ENSMUSP00000042211,ENSMUSP00000045369,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000088833,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000103958,ENSMUSP00000105053,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000113040,ENSMUSP00000113062,ENSMUSP00000126279,ENSMUSP00000127329","Acsl4,Alcam,Arhgef28,Btg2,Chrna7,Clu,Cntn1,Ddr1,Dnm3,Efna1,Ehd3,Itgb3,Jun,Kdr,Nckap1,Ndn,Neo1,Ntf3,Plek,Prnp,Ptprk,Rab34,Sema7a,Vldlr,Wwtr1"
"45","GO:0006954","inflammatory response",11,454,0.0147,"ENSMUSP00000015460,ENSMUSP00000022616,ENSMUSP00000023151,ENSMUSP00000032961,ENSMUSP00000042211,ENSMUSP00000069418,ENSMUSP00000075429,ENSMUSP00000076886,ENSMUSP00000091318,ENSMUSP00000102711,ENSMUSP00000123924","Bcl6,C4b,Clu,Cyp26b1,Jun,Nupr1,Plscr1,Prcp,Selp,Sema7a,Slamf1"
"46","GO:0071236","cellular response to antibiotic",5,124,0.0301,"ENSMUSP00000057965,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000128388,ENSMUSP00000132547","Egr1,Mef2c,Pdgfd,Pla2g4a,Trpc6"
"47","GO:0042060","wound healing",10,304,0.0039,"ENSMUSP00000021028,ENSMUSP00000023629,ENSMUSP00000029140,ENSMUSP00000075429,ENSMUSP00000096877,ENSMUSP00000099945,ENSMUSP00000107873,ENSMUSP00000113062,ENSMUSP00000119609,ENSMUSP00000128388","Ddr1,Itgb3,Mmrn1,Pdgfd,Plek,Prcp,Procr,Pros1,Thbd,Vwf"
"48","GO:0045927","positive regulation of growth",10,286,0.0028,"ENSMUSP00000019064,ENSMUSP00000030964,ENSMUSP00000033634,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000042211,ENSMUSP00000048736,ENSMUSP00000069457,ENSMUSP00000087119,ENSMUSP00000132547","Acsl4,Bmpr1a,Cd38,Cxcl16,Ghr,Mef2c,Mmp14,Ptger4,Sema7a,Sfrp1"
"49","GO:0060856","establishment of blood-brain barrier",3,10,0.0027,"ENSMUSP00000001279,ENSMUSP00000009058,ENSMUSP00000041204","Abcb1a,Abcb1b,Lsr"
"50","GO:0050807","regulation of synapse organization",6,183,0.0318,"ENSMUSP00000029566,ENSMUSP00000032738,ENSMUSP00000037096,ENSMUSP00000064538,ENSMUSP00000088833,ENSMUSP00000132547","Chrna7,Dnm3,Efna1,Lrrn1,Mef2c,Prnp"
"51","GO:0035690","cellular response to drug",12,325,0.00058,"ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000021028,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000056703,ENSMUSP00000057965,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000109144,ENSMUSP00000128388,ENSMUSP00000132547","Chrna7,Egr1,Gstm1,Gstm7,Itgb3,Kdr,Ly6e,Mef2c,Pdgfd,Prnp,Sfrp1,Trpc6"
"52","GO:0010172","embryonic body morphogenesis",2,10,0.0303,"ENSMUSP00000028386,ENSMUSP00000076729","Mab21l2,Nckap1"
"53","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",2,12,0.0372,"ENSMUSP00000020692,ENSMUSP00000057815","Btg2,Zfp36"
"54","GO:0001101","response to acid chemical",10,334,0.0069,"ENSMUSP00000030964,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000047597,ENSMUSP00000048736,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000109144,ENSMUSP00000128388,ENSMUSP00000132547","Cd38,Cd9,Cyp26b1,Egr1,Kdr,Mef2c,Pdgfd,Ptger4,Rorb,Sfrp1"
"55","GO:0044087","regulation of cellular component biogenesis",15,863,0.0362,"ENSMUSP00000022616,ENSMUSP00000028386,ENSMUSP00000037096,ENSMUSP00000048736,ENSMUSP00000052283,ENSMUSP00000060099,ENSMUSP00000062615,ENSMUSP00000064538,ENSMUSP00000084882,ENSMUSP00000087119,ENSMUSP00000099945,ENSMUSP00000102711,ENSMUSP00000109144,ENSMUSP00000123924,ENSMUSP00000132547","Clu,Dnm3,Gda,Jun,Kdr,Lamp2,Lrrn1,Mef2c,Mmp14,Nckap1,Plek,Ppp1r16b,Ptger4,Selp,Tacstd2"
"56","GO:0042445","hormone metabolic process",6,148,0.0155,"ENSMUSP00000027053,ENSMUSP00000069457,ENSMUSP00000076886,ENSMUSP00000084918,ENSMUSP00000101981,ENSMUSP00000122552","Aldh1a1,Cyp26b1,Dhrs3,Ghr,Rdh10,Sult1a1"
"57","GO:0001709","cell fate determination",3,43,0.0394,"ENSMUSP00000076886,ENSMUSP00000107863,ENSMUSP00000132547","Cyp26b1,Mef2c,Ntf3"
"58","GO:0006979","response to oxidative stress",10,377,0.0132,"ENSMUSP00000030964,ENSMUSP00000057965,ENSMUSP00000081011,ENSMUSP00000084918,ENSMUSP00000087119,ENSMUSP00000088833,ENSMUSP00000102711,ENSMUSP00000105926,ENSMUSP00000126279,ENSMUSP00000128388","Aldh1a1,Cd38,Gpx3,Jun,Mmp14,Oxr1,Pdgfd,Prnp,Ptprk,Trpc6"
"59","GO:0051145","smooth muscle cell differentiation",3,46,0.0447,"ENSMUSP00000107863,ENSMUSP00000122072,ENSMUSP00000132547","Mef2c,Ntf3,Ramp2"
"60","GO:0031345","negative regulation of cell projection organization",8,193,0.0038,"ENSMUSP00000006761,ENSMUSP00000029566,ENSMUSP00000030964,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000088833","Cd38,Dnm3,Efna1,Neo1,Prnp,Runx1t1,Tacstd2,Trpc6"
"61","GO:0046677","response to antibiotic",9,317,0.0142,"ENSMUSP00000032738,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000084918,ENSMUSP00000102711,ENSMUSP00000128388,ENSMUSP00000132547","Abat,Aldh1a1,Chrna7,Egr1,Jun,Mef2c,Pdgfd,Pla2g4a,Trpc6"
"62","GO:0048387","negative regulation of retinoic acid receptor signaling pathway",2,7,0.0198,"ENSMUSP00000076886,ENSMUSP00000122552","Cyp26b1,Dhrs3"
"63","GO:0010038","response to metal ion",8,344,0.0489,"ENSMUSP00000020974,ENSMUSP00000034215,ENSMUSP00000063548,ENSMUSP00000070868,ENSMUSP00000088833,ENSMUSP00000102711,ENSMUSP00000132547,ENSMUSP00000139672","Abat,Id2,Jun,Mef2c,Mt1,Pla2g4a,Prnp,Trpc1"
"64","GO:1901698","response to nitrogen compound",20,971,0.0028,"ENSMUSP00000004137,ENSMUSP00000012348,ENSMUSP00000015712,ENSMUSP00000020692,ENSMUSP00000021028,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000040271,ENSMUSP00000056703,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000096877,ENSMUSP00000102711,ENSMUSP00000116191,ENSMUSP00000128388,ENSMUSP00000132547","Abat,Btg2,Cd9,Chrna7,Egr1,Ghr,Gstm2,Gstm7,Itgb3,Jun,Lpl,Ly6e,Mef2c,Pdgfd,Pgr,Prnp,Sfrp1,Stxbp4,Thbd,Tnfsf10"
"65","GO:0034097","response to cytokine",14,792,0.0391,"ENSMUSP00000019064,ENSMUSP00000022746,ENSMUSP00000030964,ENSMUSP00000033634,ENSMUSP00000033952,ENSMUSP00000057815,ENSMUSP00000065284,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000091318,ENSMUSP00000102711,ENSMUSP00000108686,ENSMUSP00000116191,ENSMUSP00000123924","Acsl4,Cd38,Cxcl16,Egr1,Ghr,Il1rapl2,Jun,Ocln,Osmr,Plscr1,Selp,Sfrp1,Stxbp4,Zfp36"
"66","GO:0042552","myelination",5,95,0.0137,"ENSMUSP00000005256,ENSMUSP00000021119,ENSMUSP00000022616,ENSMUSP00000032492,ENSMUSP00000107863","Aspa,Cd9,Clu,Ndrg1,Ntf3"
"67","GO:0033623","regulation of integrin activation",3,13,0.0041,"ENSMUSP00000048736,ENSMUSP00000099945,ENSMUSP00000123924","Plek,Ptger4,Selp"
"68","GO:0045880","positive regulation of smoothened signaling pathway",3,38,0.0318,"ENSMUSP00000031005,ENSMUSP00000033952,ENSMUSP00000103958","Evc,Rab34,Sfrp1"
"69","GO:0050801","ion homeostasis",14,706,0.0197,"ENSMUSP00000004137,ENSMUSP00000021028,ENSMUSP00000023832,ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000034215,ENSMUSP00000042327,ENSMUSP00000057965,ENSMUSP00000063656,ENSMUSP00000088833,ENSMUSP00000099411,ENSMUSP00000109144,ENSMUSP00000110417,ENSMUSP00000139672","Cd38,Chrna7,Fhl1,Gstm7,Itgb3,Kdr,Lpar6,Mt1,Neo1,Prnp,Rgn,Tgm2,Trpc1,Trpc6"
"70","GO:0034249","negative regulation of cellular amide metabolic process",5,134,0.037,"ENSMUSP00000020692,ENSMUSP00000022616,ENSMUSP00000032738,ENSMUSP00000057815,ENSMUSP00000088833","Btg2,Chrna7,Clu,Prnp,Zfp36"
"71","GO:0010035","response to inorganic substance",12,505,0.0115,"ENSMUSP00000020974,ENSMUSP00000032492,ENSMUSP00000034215,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000070868,ENSMUSP00000088833,ENSMUSP00000102711,ENSMUSP00000109144,ENSMUSP00000128388,ENSMUSP00000132547,ENSMUSP00000139672","Abat,Cd9,Id2,Jun,Kdr,Mef2c,Mt1,Pdgfd,Pla2g4a,Prnp,Trpc1,Trpc6"
"72","GO:0071229","cellular response to acid chemical",8,189,0.0034,"ENSMUSP00000033952,ENSMUSP00000047597,ENSMUSP00000048736,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000109144,ENSMUSP00000128388,ENSMUSP00000132547","Cyp26b1,Egr1,Kdr,Mef2c,Pdgfd,Ptger4,Rorb,Sfrp1"
