Reanalysed, two affy_ctrls_lines deleted						
ID	Gene.symbol	logFC	adj.P.Val	P.Value	t	Gene.title
1450976_at	Ndrg1	1.6756270579	0.0153179182	7.71519756789664e-05	41.6653508202	N-myc downstream regulated gene 1
1425567_a_at	Anxa5	1.343114715	0.0153179182	7.7775382156523e-05	41.5400037655	annexin A5
1451943_a_at	Ppm1a	3.4740262275	0.0153179182	7.78480635274647e-05	41.5254797024	protein phosphatase 1A, magnesium dependent, alpha isoform
1430417_s_at	Neurl4	-3.0943407499	0.0153179182	7.81658657471856e-05	-41.4621907288	neuralized E3 ubiquitin protein ligase 4
1426205_at	Ppp1cb	1.8051704718	0.0153179182	7.84566639877954e-05	41.4045883545	protein phosphatase 1, catalytic subunit, beta isoform
1432042_a_at	Smu1	1.9575371636	0.0153179182	8.07329757420898e-05	40.9635967515	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)
1455042_at	Tbl1x	2.5156801866	0.0153179182	8.08217988450862e-05	40.946735908	transducin (beta)-like 1 X-linked
1448226_at	Rrm2	1.1262191566	0.0153179182	8.19189872923414e-05	40.7405389346	ribonucleotide reductase M2
1421768_a_at	Homer1	0.7164755099	0.0153179182	8.26972232907635e-05	40.596568824	homer scaffolding protein 1
1450400_at	Tgs1	3.8232893748	0.0153179182	8.3077137187452e-05	40.5269606361	trimethylguanosine synthase 1
1419244_a_at	Rab14	-1.0264175813	0.0153179182	8.32202199096831e-05	-40.5008581175	RAB14, member RAS oncogene family
1426748_s_at	Abcf3	-0.8486864156	0.0153179182	8.43175945590919e-05	-40.3026929659	ATP-binding cassette, sub-family F (GCN20), member 3
1435613_x_at	Cox5b	-2.3401075569	0.0153179182	8.47057594243063e-05	-40.2334438736	cytochrome c oxidase subunit Vb
1428322_a_at	Ndufb10	-1.9710968628	0.0153179182	8.54704105822184e-05	-40.0982956681	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10
1416171_at	Kansl2	-1.0210992536	0.0153179182	8.56991492785498e-05	-40.0581895656	KAT8 regulatory NSL complex subunit 2
1426656_at	Fam63a	-1.186254653	0.0153179182	8.57371357534216e-05	-40.0515434076	family with sequence similarity 63, member A
1424238_at	Sirt7	-1.4569750874	0.0156874057	8.90979086287327e-05	-39.4790658557	sirtuin 7
1417122_at	Vav3	1.7435864833	0.0156874057	9.06899843833439e-05	39.2181190688	vav 3 oncogene
1429897_a_at	D16Ertd472e	1.6612489815	0.0156874057	9.07185916567428e-05	39.2134878696	DNA segment, Chr 16, ERATO Doi 472, expressed
1421893_a_at	Tpp2	1.4524004295	0.0156874057	9.12497797169266e-05	39.1278571607	tripeptidyl peptidase II
1434120_a_at	Metap2	0.7650360837	0.0156874057	9.12621221112011e-05	39.1258756352	methionine aminopeptidase 2
1423073_at	Cmpk1	1.8754489775	0.0157205078	9.35883259497876e-05	38.758854263	cytidine monophosphate (UMP-CMP) kinase 1
1460186_at	Tm9sf3	1.1086430654	0.0157205078	9.40773255078758e-05	38.6832927169	transmembrane 9 superfamily member 3
1434790_a_at	Lta4h	-1.1584293485	0.0157205078	9.42054193849388e-05	-38.663588411	leukotriene A4 hydrolase
1415904_at	Lpl	2.6065746426	0.0157205078	9.85828684587597e-05	38.011554094	lipoprotein lipase
1433502_s_at	Tsr1	1.8820245053	0.0157205078	9.86900983813848e-05	37.9960827598	TSR1 20S rRNA accumulation
1427964_at	Cmtm8	-1.0223504264	0.0157205078	9.87505404899385e-05	-37.9873722295	CKLF-like MARVEL transmembrane domain containing 8
1423615_at	Rnf115	2.6263981883	0.0157205078	9.96863212623715e-05	37.8534408378	ring finger protein 115
1419642_at	Purb	2.594161396	0.0157205078	0.000100203	37.7802325414	purine rich element binding protein B
1417427_at	Rnaseh2c	-3.345199787	0.0157205078	0.0001011349	-37.6494918775	ribonuclease H2, subunit C
1450008_a_at	Ctnnb1	4.2879877	0.0157205078	0.0001013266	37.6227974953	catenin (cadherin associated protein), beta 1
1426435_at	Tmem135	2.5767687054	0.0157205078	0.0001028644	37.4111712959	transmembrane protein 135
1422980_a_at	Bet1l	-1.0810705259	0.0157205078	0.0001039541	-37.2638275864	Bet1 golgi vesicular membrane trafficking protein like
1434637_x_at	Sin3b	-0.9467004538	0.0157205078	0.0001042442	-37.2249556531	transcriptional regulator, SIN3B (yeast)
1416597_at	Hdgfrp2	-1.7273857244	0.0157205078	0.0001049401	-37.1323129577	hepatoma-derived growth factor, related protein 2
1437437_x_at	Dnpep	-1.4988999193	0.0157205078	0.0001053909	-37.0727510603	aspartyl aminopeptidase
1416369_at	Mfsd14b	2.8332542319	0.0157205078	0.0001070361	36.8583151769	major facilitator superfamily domain containing 14B
1452361_at	Rnf20	3.4958100318	0.0157205078	0.0001077126	36.7714458373	ring finger protein 20
1416705_at	Rpe	0.9759272202	0.0157205078	0.0001080137	36.7330212822	ribulose-5-phosphate-3-epimerase
1416618_at	Ppox	-1.9110849191	0.0157205078	0.0001083791	-36.6865915405	protoporphyrinogen oxidase
1416110_at	Slc35a4	0.5117788877	0.0157205078	0.0001085619	36.6634487821	solute carrier family 35, member A4
1451832_at	Cklf	-2.3039195286	0.0157205078	0.0001087674	-36.6374947738	chemokine-like factor
1418641_at	Lcp2	2.8359413099	0.0157205078	0.0001090589	36.60079003	lymphocyte cytosolic protein 2
1423686_a_at	Prr13	1.2154217	0.0157205078	0.0001095211	36.5428563652	proline rich 13
1419188_s_at	LOC100861978///Ccl27b///Gm2506///Gm13306///Ccl27a	-2.123488044	0.0157205078	0.0001100042	-36.482670646	c-C motif chemokine 27-like///chemokine (C-C motif) ligand 27b///predicted gene 2506///predicted gene 13306///chemokine (C-C motif) ligand 27A
1416985_at	Sirpa	-1.3403541251	0.0157205078	0.0001107135	-36.3949628009	signal-regulatory protein alpha
1439368_a_at	Slc9a3r2	-1.1075973406	0.0157205078	0.0001108145	-36.3825355169	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2
1451643_a_at	Rab4b	-0.5312600033	0.0157205078	0.0001109744	-36.3628851749	RAB4B, member RAS oncogene family
1420811_a_at	Ctnnb1	1.1975530063	0.0157205078	0.0001113037	36.3225616566	catenin (cadherin associated protein), beta 1
1426874_at	Edc4	-2.5023553073	0.0157205078	0.000111547	-36.292865763	enhancer of mRNA decapping 4
1422456_at	Nsf	2.7319055819	0.0159218914	0.0001138299	36.0185353777	N-ethylmaleimide sensitive fusion protein
1426312_at	Bre	1.5602733064	0.0159218914	0.0001143794	35.9536240472	brain and reproductive organ-expressed protein
1420142_s_at	Pa2g4	1.575729834	0.0162046774	0.0001177416	35.5655991872	proliferation-associated 2G4
1425173_s_at	Golph3l	1.7035997105	0.0162046774	0.0001182847	35.5043384394	golgi phosphoprotein 3-like
1416857_at	Sdf2	-0.7669969825	0.0162046774	0.0001185534	-35.4741830242	stromal cell derived factor 2
1456726_x_at	Qars	-0.58556099	0.0164979821	0.0001214263	-35.1574539181	glutaminyl-tRNA synthetase
1419835_s_at	Plec	-0.5515185141	0.0165096309	0.0001227796	-35.0118017806	plectin
1428368_at	Arhgap21	2.2883933484	0.0165096309	0.000123145	34.9728565169	Rho GTPase activating protein 21
1449852_a_at	Ehd4	1.1738222736	0.0165096309	0.0001241256	34.8691051125	EH-domain containing 4
1426407_at	Celf1	-2.43746178	0.0165096309	0.0001244225	-34.8379132344	CUGBP, Elav-like family member 1
1448021_at	Fam46c	2.4297908311	0.0165438129	0.0001254213	34.7337344573	family with sequence similarity 46, member C
1448797_at	Elk3	0.7290623341	0.0165438129	0.0001261384	34.6596390574	ELK3, member of ETS oncogene family
1424928_at	Emsy	-2.0955276318	0.0165859687	0.0001285364	-34.4159956314	EMSY, BRCA2-interacting transcriptional repressor
1416496_at	Mrfap1	1.4730366925	0.0165859687	0.0001291196	34.3576819006	Morf4 family associated protein 1
1426575_at	Sgms1	2.5022882233	0.0165859687	0.0001291517	34.3544850167	sphingomyelin synthase 1
1427006_at	Rapgef1	-1.9393626549	0.0165859687	0.000130089	-34.2615446747	Rap guanine nucleotide exchange factor (GEF) 1
1449618_s_at	Pagr1a	-1.9285373081	0.0165859687	0.0001313494	-34.1380164808	PAXIP1 associated glutamate rich protein 1A
1417374_at	Tuba4a	1.069058961	0.0165859687	0.0001315313	34.12032694	tubulin, alpha 4A
1438759_x_at	Adi1	1.715737342	0.0165859687	0.0001315767	34.1159210195	acireductone dioxygenase 1
1433521_at	Ankrd13c	1.8993406665	0.0166175193	0.0001327105	34.0064428799	ankyrin repeat domain 13c
1424207_at	Smarca5	4.5265503526	0.0166175193	0.0001332917	33.9508157502	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
1456011_x_at	Acaa1a	-0.8573654058	0.0167932196	0.0001354411	-33.7479640681	acetyl-Coenzyme A acyltransferase 1A
1418025_at	Bhlhe40	2.8874012061	0.0168594135	0.0001367213	33.6292405112	basic helix-loop-helix family, member e40
1421182_at	Clec1b	2.6069432651	0.0168594135	0.0001387273	33.4462305109	C-type lectin domain family 1, member b
1451128_s_at	Kif22	-2.6178477711	0.0168594135	0.0001398006	-33.3498006611	kinesin family member 22
1415813_at	Api5	1.5513227833	0.0168594135	0.0001399929	33.3326306368	apoptosis inhibitor 5
1449648_s_at	Polr1c	-0.55130955	0.0168594135	0.0001407368	-33.2665167321	polymerase (RNA) I polypeptide C
1452316_at	Ints12	2.0299421999	0.0168594135	0.0001408173	33.2593873485	integrator complex subunit 12
1424001_at	Nifk	0.5328415641	0.0168594135	0.0001411762	33.2276858298	nucleolar protein interacting with the FHA domain of MKI67
1449590_a_at	Mras	-0.613608841	0.0168826425	0.0001423991	-33.1204950372	muscle and microspikes RAS
1422901_at	Mgea5	0.8935552089	0.0168826425	0.0001428589	33.0805198493	meningioma expressed antigen 5 (hyaluronidase)
1450903_at	Rad23b	2.0751031506	0.0170155771	0.0001447336	32.9193249089	RAD23 homolog B, nucleotide excision repair protein
1449512_a_at	Zfx	3.0893947834	0.0171962657	0.0001470285	32.7258766539	zinc finger protein X-linked
1424076_at	Gdpd1	1.1219835571	0.0172234425	0.0001502684	32.4597081236	glycerophosphodiester phosphodiesterase domain containing 1
1435870_at	Chpt1	-1.3425067398	0.0172234425	0.0001504005	-32.4490157933	choline phosphotransferase 1
1421819_a_at	Set	2.8385734413	0.0172234425	0.0001506554	32.4284368276	SET nuclear oncogene
1425023_at	Usp3	-1.0200948403	0.0172234425	0.0001509236	-32.4068320253	ubiquitin specific peptidase 3
1437211_x_at	Elovl5	1.0138379913	0.0172234425	0.0001510562	32.3961730768	ELOVL family member 5, elongation of long chain fatty acids (yeast)
1439410_x_at	Slc25a39	0.8471152004	0.0172503365	0.0001520523	32.3164891108	solute carrier family 25, member 39
1451195_a_at	Tmx1	1.8771866909	0.0175275016	0.0001552679	32.0640822057	thioredoxin-related transmembrane protein 1
1415834_at	Dusp6	2.8139536983	0.0178132692	0.0001585844	31.8111568649	dual specificity phosphatase 6
1416341_at	Polr2c	-1.8754702864	0.0178513298	0.00015971	-31.7269631185	polymerase (RNA) II (DNA directed) polypeptide C
1424089_a_at	Tcf4	-0.8275651891	0.0178527058	0.0001608316	-31.643875563	transcription factor 4
1433645_at	Slc44a1	1.3191309594	0.0178527058	0.0001616263	31.5854858293	solute carrier family 44, member 1
1460430_at	Rap2c	1.3439830684	0.0178527058	0.0001627843	31.5011017995	RAP2C, member of RAS oncogene family
1427233_at	Tshz1	-1.5556512284	0.0178527058	0.0001631775	-31.4726342231	teashirt zinc finger family member 1
1422998_a_at	Glrx2	1.5146512264	0.0178527058	0.0001636564	31.4380936692	glutaredoxin 2 (thioltransferase)
1436885_a_at	Cherp	-1.5919442056	0.0178831383	0.0001649783	-31.3434624626	calcium homeostasis endoplasmic reticulum protein
1449221_a_at	Rrbp1	-1.4439027285	0.0178831383	0.000165631	-31.2971152755	ribosome binding protein 1
1448374_at	Med28	2.1959471499	0.0178831383	0.0001668928	31.2082357332	mediator complex subunit 28
1451272_a_at	Ube2f	0.7488521626	0.0178831383	0.0001670879	31.19457292	ubiquitin-conjugating enzyme E2F (putative)
1423126_at	Atp1b3	1.8301054713	0.0178885495	0.0001679269	31.136080117	ATPase, Na+/K+ transporting, beta 3 polypeptide
1455800_x_at	Samm50	-0.884636845	0.0179116264	0.0001689329	-31.0664643599	SAMM50 sorting and assembly machinery component
1437679_a_at	Glrx2	1.588815953	0.0179728324	0.0001703023	30.97261658	glutaredoxin 2 (thioltransferase)
1450894_a_at	Ap2m1	1.2643749893	0.0180716208	0.0001722991	30.837609712	adaptor-related protein complex 2, mu 1 subunit
1424058_at	Prrc1	-0.8925742185	0.0180716208	0.0001728313	-30.8019900296	proline-rich coiled-coil 1
1424056_at	Usp48	-1.0233454708	0.0181054688	0.0001750342	-30.6561320339	ubiquitin specific peptidase 48
1420583_a_at	Rora	2.0409569903	0.0181054688	0.0001763366	30.5710796334	RAR-related orphan receptor alpha
1416568_a_at	Acin1	-1.1290440925	0.0181054688	0.0001770428	-30.5253185882	apoptotic chromatin condensation inducer 1
1424078_s_at	Pex6	-2.9779589878	0.0181054688	0.000177347	-30.5056874745	peroxisomal biogenesis factor 6
1422806_x_at	Ing3	0.9153593422	0.0181054688	0.0001775367	30.49347036	inhibitor of growth family, member 3
1424115_at	Ppp5c	-1.6789281738	0.0181054688	0.0001787186	-30.4177310662	protein phosphatase 5, catalytic subunit
1418721_at	Cops7b	-3.2312079231	0.0181054688	0.0001787406	-30.4163286407	COP9 signalosome subunit 7B
1418521_a_at	Mtx1	-1.7876465038	0.0181789952	0.00018039	-30.3117972805	metaxin 1
1428575_at	Fcho1	-2.9019102553	0.0181789952	0.0001810689	-30.269156058	FCH domain only 1
1434271_at	Gba2	-1.9376013329	0.0182355882	0.0001836663	-30.1080061714	glucosidase beta 2
1434931_at	Neo1	4.3419325384	0.0182355882	0.0001849193	30.0313766401	neogenin
1424101_at	Hnrnpl	1.8647314385	0.0182355882	0.0001854228	30.0007869961	heterogeneous nuclear ribonucleoprotein L
