num.genes,GO,
3, outflow tract morphogenesis [GO:0003151],
3, nucleolus [GO:0005730],
3, nuclear receptor activity [GO:0004879],
3, neuron development [GO:0048666],
3, nervous system development [GO:0007399],
3, negative regulation of protein kinase activity [GO:0006469],
3, negative regulation of osteoblast differentiation [GO:0045668],
3, negative regulation of neuron projection development [GO:0010977],
3, negative regulation of neuron death [GO:1901215],
3, negative regulation of inflammatory response [GO:0050728],
3, negative regulation of epithelial cell proliferation [GO:0050680],
3, negative regulation of cold-induced thermogenesis [GO:0120163],
3, negative regulation of coagulation [GO:0050819],
3, negative regulation of cell growth [GO:0030308],
3, negative regulation of cell death [GO:0060548],
3, negative regulation of amyloid-beta formation [GO:1902430],
3, negative regulation of DNA-binding transcription factor activity [GO:0043433],
3, multicellular organism development [GO:0007275],
3, mitochondrial outer membrane [GO:0005741],
3, midbody [GO:0030496],
3, microtubule [GO:0005874],
3, mammary gland alveolus development [GO:0060749],
3, lymph node development [GO:0048535],
3, lipid binding [GO:0008289],
3, leukocyte tethering or rolling [GO:0050901],
3, learning or memory [GO:0007611],
3, lamellipodium membrane [GO:0031258],
3, kidney development [GO:0001822],
3, ion transmembrane transport [GO:0034220],
3, intrinsic component of plasma membrane [GO:0031226],
3, intrinsic apoptotic signaling pathway [GO:0097193],
3, inositol 145 trisphosphate binding [GO:0070679],
3, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157],
3, growth factor binding [GO:0019838],
3, growth factor activity [GO:0008083],
3, growth cone [GO:0030426],
3, glutathione peroxidase activity [GO:0004602],
3, fibronectin binding [GO:0001968],
3, extracellular matrix organization [GO:0030198],
3, endosome [GO:0005768],
3, endopeptidase activity [GO:0004175],
3, endodermal cell differentiation [GO:0035987],
3, early endosome [GO:0005769],
3, double-stranded DNA binding [GO:0003690],
3, dendritic spine [GO:0043197],
3, defense response to virus [GO:0051607],
3, cytoskeleton [GO:0005856],
3, cytokine activity [GO:0005125],
3, cysteine-type endopeptidase activity [GO:0004197],
3, collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063],
3, collagen binding [GO:0005518],
3, cilium assembly [GO:0060271],
3, cellular response to tumor necrosis factor [GO:0071356],
3, cellular response to transforming growth factor beta stimulus [GO:0071560],
3, cellular response to reactive oxygen species [GO:0034614],
3, cellular response to hydrogen peroxide [GO:0070301],
3, cellular response to drug [GO:0035690],
3, cellular response to calcium ion [GO:0071277],
3, cellular response to amino acid stimulus [GO:0071230],
3, cell periphery [GO:0071944],
3, cell adhesion molecule binding [GO:0050839],
3, calcium-mediated signaling using intracellular calcium source [GO:0035584],
3, calcium ion transport [GO:0006816],
3, calcium channel activity [GO:0005262],
3, cadherin binding [GO:0045296],
3, bicellular tight junction assembly [GO:0070830],
3, apical plasma membrane [GO:0016324],
3, amyloid-beta binding [GO:0001540],
3, adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189],
3, activation of GTPase activity [GO:0090630],
3, actin cytoskeleton reorganization [GO:0031532],
3, Rab GTPase binding [GO:0017137],
3, RNA binding [GO:0003723],
3, Notch signaling pathway [GO:0007219],
3, G protein-coupled receptor activity [GO:0004930],
3, ATPase-coupled transmembrane transporter activity [GO:0042626],
3, ATPase binding [GO:0051117],
2,plasma membrane [GO:0005886],
2,extracellular region [GO:0005576],
2,cytoplasmic vesicle [GO:0031410],
2,cell projection [GO:0042995],
2,cell cortex [GO:0005938],
2,caveola [GO:0005901],
2,basement membrane [GO:0005604],
2,adherens junction [GO:0005912],
2,Cul2-RING ubiquitin ligase complex [GO:0031462],
2, xenobiotic metabolic process [GO:0006805],
2, vesicle docking involved in exocytosis [GO:0006904],
2, vesicle [GO:0031982],
2, vasculogenesis [GO:0001570],
2, ubiquitin-protein transferase activity [GO:0004842],
2, type 5 metabotropic glutamate receptor binding [GO:0031802],
2, triglyceride biosynthetic process [GO:0019432],
2, transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315],
2, transmembrane transport [GO:0055085],
2, transmembrane receptor protein tyrosine kinase activity [GO:0004714],
2, transforming growth factor beta receptor signaling pathway [GO:0007179],
2, transferase activity [GO:0016740],
2, transcriptional repressor complex [GO:0017053],
2, transcription DNA-templated [GO:0006351],
2, transcription regulatory region sequence-specific DNA binding [GO:0000976],
2, transcription regulatory region DNA binding [GO:0044212],
2, transcription by RNA polymerase II [GO:0006366],
2, trans-Golgi network [GO:0005802],
2, tissue remodeling [GO:0048771],
2, tissue homeostasis [GO:0001894],
2, tight junction [GO:0070160],
2, synapse organization [GO:0050808],
2, stress fiber assembly [GO:0043149],
2, store-operated calcium channel activity [GO:0015279],
2, steroid binding [GO:0005496],
2, smooth muscle cell migration [GO:0014909],
2, single-stranded DNA binding [GO:0003697],
2, single fertilization [GO:0007338],
2, signal transduction by protein phosphorylation [GO:0023014],
2, serine-type peptidase activity [GO:0008236],
2, serine-type endopeptidase inhibitor activity [GO:0004867],
2, sensory perception of pain [GO:0019233],
2, sarcomere [GO:0030017],
2, sarcolemma [GO:0042383],
2, roof of mouth development [GO:0060021],
2, retinol metabolic process [GO:0042572],
2, retinol dehydrogenase activity [GO:0004745],
2, retinoid metabolic process [GO:0001523],
2, retinoic acid metabolic process [GO:0042573],
2, retinoic acid biosynthetic process [GO:0002138],
2, response to radiation [GO:0009314],
2, response to progesterone [GO:0032570],
2, response to organonitrogen compound [GO:0010243],
2, response to organic substance [GO:0010033],
2, response to nicotine [GO:0035094],
2, response to insulin [GO:0032868],
2, response to hydrogen peroxide [GO:0042542],
2, response to hormone [GO:0009725],
2, response to estrogen [GO:0043627],
2, response to cocaine [GO:0042220],
2, response to calcium ion [GO:0051592],
2, response to cAMP [GO:0051591],
2, response to axon injury [GO:0048678],
2, response to activity [GO:0014823],
2, respiratory gaseous exchange by respiratory system [GO:0007585],
2, regulation of sensory perception of pain [GO:0051930],
2, regulation of retinoic acid receptor signaling pathway [GO:0048385],
2, regulation of phosphorylation [GO:0042325],
2, regulation of neuron migration [GO:2001222],
2, regulation of neuron death [GO:1901214],
2, regulation of neuron apoptotic process [GO:0043523],
2, regulation of multicellular organism growth [GO:0040014],
2, regulation of membrane potential [GO:0042391],
2, regulation of lipid metabolic process [GO:0019216],
2, regulation of epithelial cell proliferation [GO:0050678],
2, regulation of cytosolic calcium ion concentration [GO:0051480],
2, regulation of circadian rhythm [GO:0042752],
2, regulation of cell migration [GO:0030334],
2, regulation of blood vessel endothelial cell migration [GO:0043535],
2, regulation of blood pressure [GO:0008217],
2, regulation of actin cytoskeleton organization [GO:0032956],
2, regulation of T cell differentiation [GO:0045580],
2, regulation of G protein-coupled receptor signaling pathway [GO:0008277],
2, recycling endosome membrane [GO:0055038],
2, receptor-mediated endocytosis [GO:0006898],
2, proteolysis involved in cellular protein catabolic process [GO:0051603],
2, protein-DNA complex [GO:0032993],
2, protein targeting [GO:0006605],
2, protein phosphorylation [GO:0006468],
2, protein localization to cell surface [GO:0034394],
2, protein kinase activity [GO:0004672],
2, protein homotetramerization [GO:0051289],
2, protein heterodimerization activity [GO:0046982],
2, protein dimerization activity [GO:0046983],
2, protein N-terminus binding [GO:0047485],
2, protein C-terminus binding [GO:0008022],
2, presynapse [GO:0098793],
2, pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267],
2, postsynaptic membrane [GO:0045211],
2, postsynapse [GO:0098794],
2, positive regulation of vesicle fusion [GO:0031340],
2, positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531],
2, positive regulation of tau-protein kinase activity [GO:1902949],
2, positive regulation of protein tyrosine kinase activity [GO:0061098],
2, positive regulation of protein targeting to membrane [GO:0090314],
2, positive regulation of protein secretion [GO:0050714],
2, positive regulation of protein complex assembly [GO:0031334],
2, positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895],
2, positive regulation of platelet activation [GO:0010572],
2, positive regulation of peptidyl-serine phosphorylation [GO:0033138],
2, positive regulation of osteoblast differentiation [GO:0045669],
2, positive regulation of nuclear-transcribed mRNA polyA tail shortening [GO:0060213],
2, positive regulation of neutrophil chemotaxis [GO:0090023],
2, positive regulation of natural killer cell differentiation [GO:0032825],
2, positive regulation of leukocyte migration [GO:0002687],
2, positive regulation of intrinsic apoptotic signaling pathway [GO:2001244],
2, positive regulation of innate immune response [GO:0045089],
2, positive regulation of glomerular mesangial cell proliferation [GO:0072126],
2, positive regulation of extrinsic apoptotic signaling pathway [GO:2001238],
2, positive regulation of epithelial cell proliferation [GO:0050679],
2, positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482],
2, positive regulation of cytokine secretion [GO:0050715],
2, positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050],
2, positive regulation of cell differentiation [GO:0045597],
2, positive regulation of cell cycle arrest [GO:0071158],
2, positive regulation of cell adhesion mediated by integrin [GO:0033630],
2, positive regulation of calcium ion transport [GO:0051928],
2, positive regulation of activated T cell proliferation [GO:0042104],
2, positive regulation of T cell proliferation [GO:0042102],
2, positive regulation of JNK cascade [GO:0046330],
2, positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123],
2, positive regulation of B cell differentiation [GO:0045579],
2, platelet aggregation [GO:0070527],
2, platelet activation [GO:0030168],
2, plasma membrane raft [GO:0044853],
2, plasma membrane protein complex [GO:0098797],
2, photoreceptor outer segment [GO:0001750],
2, phospholipid translocation [GO:0045332],
2, phosphatidylserine exposure on apoptotic cell surface [GO:0070782],
2, phosphatidylcholine floppase activity [GO:0090554],
2, phagocytosis [GO:0006909],
2, phagocytic vesicle membrane [GO:0030670],
2, phagocytic vesicle [GO:0045335],
2, peroxisomal membrane [GO:0005778],
2, paraxial mesoderm development [GO:0048339],
2, paracrine signaling [GO:0038001],
2, oxidoreductase activity [GO:0016491],
2, ovulation from ovarian follicle [GO:0001542],
2, ovarian follicle development [GO:0001541],
2, osteoblast differentiation [GO:0001649],
2, oligosaccharide binding [GO:0070492],
2, oligodendrocyte development [GO:0014003],
2, nucleotide metabolic process [GO:0009117],
2, nucleotide binding [GO:0000166],
2, nucleic acid binding [GO:0003676],
2, nuclear speck [GO:0016607],
2, nuclear membrane [GO:0031965],
2, nuclear body [GO:0016604],
2, nitrobenzene metabolic process [GO:0018916],
2, neuron projection extension [GO:1990138],
2, neuron migration [GO:0001764],
2, neural tube closure [GO:0001843],
2, neural crest cell development [GO:0014032],
2, nervous system process [GO:0050877],
2, negative regulation of retinoic acid receptor signaling pathway [GO:0048387],
2, negative regulation of protein complex assembly [GO:0031333],
2, negative regulation of platelet aggregation [GO:0090331],
2, negative regulation of peptidyl-tyrosine phosphorylation [GO:0050732],
2, negative regulation of nitric oxide biosynthetic process [GO:0045019],
2, negative regulation of neural precursor cell proliferation [GO:2000178],
2, negative regulation of multicellular organism growth [GO:0040015],
2, negative regulation of interleukin-6 production [GO:0032715],
2, negative regulation of fibroblast proliferation [GO:0048147],
2, negative regulation of fat cell differentiation [GO:0045599],
2, negative regulation of epithelial to mesenchymal transition [GO:0010719],
2, negative regulation of epithelial cell migration [GO:0010633],
2, negative regulation of endothelial cell apoptotic process [GO:2000352],
2, negative regulation of endopeptidase activity [GO:0010951],
2, negative regulation of dendritic spine morphogenesis [GO:0061002],
2, negative regulation of cell migration [GO:0030336],
2, negative regulation of cell cycle [GO:0045786],
2, negative regulation of cell adhesion [GO:0007162],
2, negative regulation of blood coagulation [GO:0030195],
2, negative regulation of Notch signaling pathway [GO:0045746],
2, negative regulation of DNA binding [GO:0043392],
2, negative regulation of B cell differentiation [GO:0045578],
2, negative chemotaxis [GO:0050919],
2, natural killer cell differentiation [GO:0001779],
2, modulation of chemical synaptic transmission [GO:0050804],
2, mitral valve morphogenesis [GO:0003183],
2, mitotic spindle [GO:0072686],
2, mitochondrial inner membrane [GO:0005743],
2, microtubule cytoskeleton [GO:0015630],
2, microglial cell activation [GO:0001774],
2, metanephros development [GO:0001656],
2, metallopeptidase activity [GO:0008237],
2, metalloendopeptidase activity [GO:0004222],
2, memory [GO:0007613],
2, manganese ion transport [GO:0006828],
2, male meiotic nuclear division [GO:0007140],
2, macropinosome [GO:0044354],
2, lung development [GO:0030324],
2, locomotor rhythm [GO:0045475],
2, liver development [GO:0001889],
2, lipid transport [GO:0006869],
2, lipid metabolic process [GO:0006629],
2, leukocyte migration [GO:0050900],
2, leukocyte cell-cell adhesion [GO:0007159],
2, laminin binding [GO:0043236],
2, lamellipodium [GO:0030027],
2, lactation [GO:0007595],
2, ion channel activity [GO:0005216],
2, intercellular canaliculus [GO:0046581],
2, intercalated disc [GO:0014704],
2, integral component of postsynaptic specialization membrane [GO:0099060],
2, histone acetyltransferase binding [GO:0035035],
2, hippo signaling [GO:0035329],
2, heterotypic cell-cell adhesion [GO:0034113],
2, hematopoietic progenitor cell differentiation [GO:0002244],
2, growth hormone receptor signaling pathway [GO:0060396],
2, gonad development [GO:0008406],
2, glycosaminoglycan binding [GO:0005539],
2, glomerular filtration [GO:0003094],
2, gamma-tubulin binding [GO:0043015],
2, gamma-aminobutyric acid signaling pathway [GO:0007214],
2, focal adhesion [GO:0005925],
2, floppase activity [GO:0140328],
2, fibrinolysis [GO:0042730],
2, female pregnancy [GO:0007565],
2, fatty acid metabolic process [GO:0006631],
2, establishment of skin barrier [GO:0061436],
2, establishment of blood-brain barrier [GO:0060856],
2, epithelial cell differentiation [GO:0030855],
2, energy homeostasis [GO:0097009],
2, endothelial cell proliferation [GO:0001935],
2, endoderm development [GO:0007492],
2, endocytic vesicle [GO:0030139],
2, embryonic organ development [GO:0048568],
2, embryonic body morphogenesis [GO:0010172],
2, ear development [GO:0043583],
2, drug binding [GO:0008144],
2, double-strand break repair via break-induced replication [GO:0000727],
2, dorsal/ventral axis specification [GO:0009950],
2, dipeptidyl-peptidase activity [GO:0008239],
2, desmosome organization [GO:0002934],
2, desmosome [GO:0030057],
2, dendrite arborization [GO:0140059],
2, defense response to bacterium [GO:0042742],
2, cytoskeleton organization [GO:0007010],
2, cysteine-type peptidase activity [GO:0008234],
2, cortical actin cytoskeleton organization [GO:0030866],
2, copper ion binding [GO:0005507],
2, circadian rhythm [GO:0007623],
2, circadian regulation of gene expression [GO:0032922],
2, cilium [GO:0005929],
2, chromatin DNA binding [GO:0031490],
2, chondroitin sulfate binding [GO:0035374],
2, chemical synaptic transmission [GO:0007268],
2, chaperone binding [GO:0051087],
2, cerebellum development [GO:0021549],
2, ceramide floppase activity [GO:0099038],
2, centrosome [GO:0005813],
2, central nervous system development [GO:0007417],
2, cellular response to vitamin D [GO:0071305],
2, cellular response to starvation [GO:0009267],
2, cellular response to retinoic acid [GO:0071300],
2, cellular response to prostaglandin E stimulus [GO:0071380],
2, cellular response to platelet-derived growth factor stimulus [GO:0036120],
2, cellular response to mechanical stimulus [GO:0071260],
2, cellular response to low-density lipoprotein particle stimulus [GO:0071404],
2, cellular response to heparin [GO:0071504],
2, cellular response to growth factor stimulus [GO:0071363],
2, cellular response to glucose stimulus [GO:0071333],
2, cellular response to glucocorticoid stimulus [GO:0071385],
2, cellular response to fibroblast growth factor stimulus [GO:0044344],
2, cellular response to estradiol stimulus [GO:0071392],
2, cellular response to epidermal growth factor stimulus [GO:0071364],
2, cellular response to copper ion [GO:0071280],
2, cellular response to cadmium ion [GO:0071276],
2, cellular response to BMP stimulus [GO:0071773],
2, cellular process [GO:0009987],
2, cellular detoxification of nitrogen compound [GO:0070458],
2, cellular calcium ion homeostasis [GO:0006874],
2, cell-substrate adhesion [GO:0031589],
2, cell-matrix adhesion [GO:0007160],
2, cell projection organization [GO:0030030],
2, cell projection assembly [GO:0030031],
2, cell population proliferation [GO:0008283],
2, cell maturation [GO:0048469],
2, cell development [GO:0048468],
2, cation channel activity [GO:0005261],
2, cartilage development [GO:0051216],
2, calmodulin binding [GO:0005516],
2, calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339],
2, calcium ion transmembrane transport [GO:0070588],
2, brush border [GO:0005903],
2, brain development [GO:0007420],
2, bone trabecula formation [GO:0060346],
2, bone morphogenesis [GO:0060349],
2, bone development [GO:0060348],
2, bicellular tight junction [GO:0005923],
2, axon terminus [GO:0043679],
2, axon extension [GO:0048675],
2, axon [GO:0030424],
2, autophagy [GO:0006914],
2, associative learning [GO:0008306],
2, apoptotic cell clearance [GO:0043277],
2, apolipoprotein binding [GO:0034185],
2, adult locomotory behavior [GO:0008344],
2, adenosine metabolic process [GO:0046085],
2, actin filament binding [GO:0051015],
2, acetylcholine receptor signaling pathway [GO:0095500],
2, T cell receptor complex [GO:0042101],
2, T cell costimulation [GO:0031295],
2, T cell chemotaxis [GO:0010818],
2, SH3 domain binding [GO:0017124],
2, SH2 domain binding [GO:0042169],
2, S100 protein binding [GO:0044548],
2, Rho protein signal transduction [GO:0007266],
2, RNA polymerase binding [GO:0070063],
2, RNA helicase activity [GO:0003724],
2,"s patch development [GO:0048541]""",
2, NADP-retinol dehydrogenase activity [GO:0052650],
2, MCM complex [GO:0042555],
2, Golgi cisterna [GO:0031985],
2, ERK1 and ERK2 cascade [GO:0070371],
2, DNA-binding transcription repressor activity RNA polymerase II-specific [GO:0001227],
2, DNA replication origin binding [GO:0003688],
2, DNA replication initiation [GO:0006270],
2, DNA helicase activity [GO:0003678],
2, CD4 receptor binding [GO:0042609],
2, BMP signaling pathway [GO:0030509],
2, B cell receptor signaling pathway [GO:0050853],
2, B cell activation [GO:0042113],
2, ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559],
2, ATPase activity coupled [GO:0042623],
2,"-nucleotidase activity [GO:0008253]""",
1,phagocytic vesicle [GO:0045335],
1,nucleoplasm [GO:0005654],
1,nuclear membrane [GO:0031965],
1,nuclear matrix [GO:0016363],
1,mitochondrion [GO:0005739],
1,mitochondrial inner membrane [GO:0005743],
