p_val	Genes	logFC_corrected	avg_logFC	pct.1	pct.2	p_val_adj
0.0493060525	Ndn	0.3318966811	-0.3318966811	0.396	0.551	1
0.053851731	Sfrp1	0.4499360469	-0.4499360469	0.875	0.855	1
0.0776217582	Vwf	0.359137533	-0.359137533	0.667	0.841	1
0.0993856813	Pla2g4a	0.2767310651	-0.2767310651	0.812	0.899	1
0.1044122046	Cd38	0.7198104875	-0.7198104875	0.938	0.928	1
0.1096610003	Slc6a15	0.485516392	-0.485516392	0.208	0.348	1
0.1139713453	Maf	0.6273846822	-0.6273846822	0.896	0.87	1
0.1470312904	Abcb1b	0.306766201	-0.306766201	0.458	0.594	1
0.1629928338	Arhgap30	-0.3958834149	0.3958834149	0.708	0.551	1
0.1834756963	Phf11d	0.3681658621	-0.3681658621	0.396	0.478	1
0.2933894417	Ghr	0.6478761165	-0.6478761165	0.25	0.304	1
0.4867911226	Tnfsf10	0.2663869142	-0.2663869142	1	1	1
0.5989461464	Thbd	-0.271365064	0.271365064	0.104	0.13	1
0.752509416	Kcnip3	0.2947647827	-0.2947647827	0.604	0.536	1
