ID	Gene.symbol	logFC	adj.P.Val	P.Value	t	B	Gene.title
10362314	Ptprk	1.133472413	0.0408340491	0.0001824279	5.5194413037	1.1253084447	protein tyrosine phosphatase, receptor type, K
10531724	Plac8	-1.6297819156	0.0435242745	0.0002365207	-5.3477842586	0.884051351	placenta-specific 8
10406434	Mef2c	0.6099602778	0.0435242745	0.0002451584	5.3242888047	0.8506499694	myocyte enhancer factor 2C
10502552	Clca3a1	1.7261429411	0.0439753053	0.0002803248	5.236935818	0.7256691941	chloride channel accessory 3A1
10535780	Flt3	-0.5994044709	0.0535145902	0.0004521485	-4.9309654036	0.2780542162	FMS-like tyrosine kinase 3
10562181	Lsr	0.5296247499	0.0536038846	0.0004641487	4.9144418896	0.2534503411	lipolysis stimulated lipoprotein receptor
10599736	Fhl1	0.7602550946	0.0542837195	0.000505836	4.8603574927	0.1726128647	four and a half LIM domains 1
10579958	Il15	-1.0455014658	0.054530785	0.0005263815	-4.8354083409	0.1351659058	interleukin 15
10568001	Sult1a1	0.8077813021	0.0552823608	0.0005540397	4.8033978351	0.0869763216	sulfotransferase family 1A, phenol-preferring, member 1
10514255	Mllt3	0.4816378694	0.0552823608	0.0005542096	4.8032065181	0.0866878219	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3
10346164	Sdpr	1.5858946523	0.0559844141	0.000569858	4.7858393589	0.0604747803	serum deprivation response
10601942	Nrk	-1.1916879886	0.0560544824	0.0005810151	-4.7737610627	0.0422165713	Nik related kinase
10541910	Vwf	0.5948454697	0.0565038193	0.0005937784	4.7602402682	0.0217507288	Von Willebrand factor
10424676	Ly6e	0.5059907349	0.062512346	0.0007214304	4.639769796	-0.1618516337	lymphocyte antigen 6 complex, locus E
10587799	Plscr2	1.4653507427	0.0627807933	0.0007348886	4.628399239	-0.1792959739	phospholipid scramblase 2
10416371	Lpar6	0.6999972491	0.0627807933	0.000734927	4.6283670475	-0.179345389	lysophosphatidic acid receptor 6
10499062	Fhdc1	1.2393444683	0.0631214199	0.0007685584	4.6008852895	-0.2215881966	FH2 domain containing 1
10393106	Trim47	0.4925165193	0.0631375419	0.000771985	4.5981564477	-0.2257889963	tripartite motif-containing 47
10499132	Mab21l2	1.0461053199	0.0644007796	0.0008063158	4.5714998893	-0.2668833073	mab-21-like 2 (C. elegans)
10384458	Plek	0.6373895797	0.0666951904	0.0008839075	4.5154049507	-0.3537076023	pleckstrin
10346330	Plcl1	0.7965551783	0.0671676299	0.0009256723	4.4873149719	-0.3973606833	phospholipase C-like 1
10503382	Runx1t1	0.7583000517	0.0675424612	0.0009623002	4.4637539069	-0.4340648567	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
10484318	Nckap1	0.7052907908	0.0676452855	0.0009847136	4.4497959581	-0.455847141	NCK-associated protein 1
10462281	Vldlr	1.2951475182	0.0690488766	0.0010607481	4.4048127068	-0.5262379312	very low density lipoprotein receptor
10542470	Mgst1	-2.1746566449	0.0690488766	0.0010676862	-4.4008775482	-0.5324095658	microsomal glutathione S-transferase 1
10572906	Mcm5	-0.5794959597	0.0694529229	0.0010957837	-4.3852106926	-0.5570022706	minichromosome maintenance complex component 5
10587792	Plscr1	0.590709949	0.069632334	0.0011411709	4.360771599	-0.595434471	phospholipid scramblase 1
10556302	Ampd3	0.8395793623	0.0721577995	0.001232024	4.3147707779	-0.6680013078	adenosine monophosphate deaminase 3
10495685	Arhgap29	0.5853824834	0.0758091898	0.0014077208	4.2351036964	-0.794365955	Rho GTPase activating protein 29
10479852	Camk1d	-0.4797678821	0.0783148428	0.0016295293	-4.1482127773	-0.9331549413	calcium/calmodulin-dependent protein kinase ID
10357875	Btg2	0.6801782025	0.0798793703	0.0017975044	4.0902607201	-1.0262611036	B cell translocation gene 2, anti-proliferative
10483081	Fap	1.0076562394	0.0804718167	0.0018263156	4.0808905381	-1.0413548294	fibroblast activation protein
10487392	Kcnip3	0.5437456429	0.0815151362	0.0018744739	4.0655668183	-1.0660620046	Kv channel interacting protein 3, calsenilin
10356082	Plscr1	0.6171455814	0.0852146537	0.0021961281	3.9726787322	-1.2164351633	phospholipid scramblase 1
10593776	Nrg4	0.7416333288	0.0854703204	0.0022621277	3.9553767049	-1.244556463	neuregulin 4
10475487	Slc28a2	-0.5966369778	0.0876297212	0.0024593273	-3.9066443156	-1.3239435958	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2
10427471	Osmr	1.1138423793	0.0876297212	0.0024628675	3.905806997	-1.3253099246	oncostatin M receptor
10481857	Pbx3	0.626318276	0.0879314907	0.0025550885	3.8844240594	-1.3602282498	pre B cell leukemia homeobox 3
10402195	Tc2n	1.7466157521	0.0880150001	0.0025639103	3.8824207007	-1.3635022651	tandem C2 domains, nuclear
10567995	Nupr1	1.2075882794	0.0940416164	0.0031375756	3.7654949274	-1.5553107503	nuclear protein transcription regulator 1
10446777	Ehd3	0.7462708177	0.099585984	0.0037433212	3.663938273	-1.7229762272	EH-domain containing 3
10519527	Abcb1a	0.5531040174	0.100569297	0.0038945597	3.641230799	-1.7605890905	ATP-binding cassette, sub-family B (MDR/TAP), member 1A
10482802	Cytip	0.463215591	0.1112260885	0.0051894433	3.4774535106	-2.0330379951	cytohesin 1 interacting protein
10511416	Tox	0.5486165895	0.1141629025	0.0055305757	3.4413014142	-2.0934198274	thymocyte selection-associated high mobility group box
10385966	Anxa6	-0.6284090487	0.1198295107	0.0063336575	-3.3644952515	-2.2219374132	annexin A6
10581865	Ldhd	0.3339142114	0.1198446442	0.0063705779	3.3612080479	-2.2274441643	lactate dehydrogenase D
10574027	Mt1	0.6560881627	0.1211622233	0.0066117937	3.3401989903	-2.2626497431	metallothionein 1
10588226	Amotl2	0.4054020565	0.1213292591	0.0066430278	3.3375360241	-2.2671134818	angiomotin-like 2
10351667	Slamf1	0.47285091	0.1234646208	0.0072450203	3.2885666952	-2.3492452138	signaling lymphocytic activation molecule family member 1
10572130	Lpl	0.4452391741	0.1245910355	0.007604803	3.2612435214	-2.3951069202	lipoprotein lipase
10445338	Enpp5	0.8144290092	0.1254119879	0.0077378863	3.2514690001	-2.4115186027	ectonucleotide pyrophosphatase/phosphodiesterase 5
10542172	Clec1b	0.6459251119	0.1260966853	0.00781173	3.2461189905	-2.4205024825	C-type lectin domain family 1, member b
10559207	Lsp1	-0.4501798086	0.1271737432	0.0080688414	-3.2278845923	-2.4511274529	lymphocyte specific 1
10351603	Arhgap30	-0.4560784954	0.1274182122	0.0081125288	-3.2248451165	-2.4562330462	Rho GTPase activating protein 30
10549506	Dennd5b	0.6365830089	0.1347299566	0.0095270777	3.1344901344	-2.6080769065	DENN/MADD domain containing 5B
10548307	Klrb1c	1.1152133334	0.1355950738	0.0096974125	3.1245408096	-2.6248020203	killer cell lectin-like receptor subfamily B member 1C
10495712	Abca4	0.435222241	0.1360319393	0.0097520001	3.1213897485	-2.6300991226	ATP-binding cassette, sub-family A (ABC1), member 4
10354168	Tbc1d8	0.4034588462	0.1381940208	0.0102646883	3.0926374918	-2.6784336161	TBC1 domain family, member 8
10482030	Stom	0.735214165	0.1570682892	0.01444066	2.9014320742	-2.999564236	stomatin
10476314	Prnp	-0.8002051043	0.1573314093	0.0145808015	-2.8960273679	-3.0086254247	prion protein
10427461	Ptger4	0.4921026934	0.1590552842	0.0150745356	2.8773922418	-3.0398575351	prostaglandin E receptor 4 (subtype EP4)
10359480	Dnm3	0.8875961927	0.1633027444	0.0163004184	2.8336434008	-3.1131093359	dynamin 3
10433445	Abat	0.2878620635	0.164005258	0.0165067714	2.8266040508	-3.1248856078	4-aminobutyrate aminotransferase
10602896	Adgrg2	0.5872844594	0.1657504759	0.0169959768	2.810260743	-3.1522147028	adhesion G protein-coupled receptor G2
10503992	Tmem215	0.5754722109	0.1662866023	0.0171683659	2.8046132503	-3.1616543422	transmembrane protein 215
10574023	Mt2	1.1747369829	0.1668212188	0.0173636891	2.7982823894	-3.1722336616	metallothionein 2
10561453	Zfp36	0.3738381008	0.1738705997	0.0195734031	2.7312273786	-3.2841053307	zinc finger protein 36
10547177	Rassf4	-0.3871634337	0.1795592247	0.0213391306	-2.6828485492	-3.3645825035	Ras association (RalGDS/AF-6) domain family member 4
10545780	Exoc6b	0.4410923482	0.1813979302	0.0218367922	2.6699292984	-3.3860354412	exocyst complex component 6B
10466587	Rorb	0.5476316904	0.185166954	0.0229773932	2.6413858298	-3.4333714349	RAR-related orphan receptor beta
10583179	Pgr	0.6556070054	0.1867989591	0.0236337102	2.625589777	-3.4595290224	progesterone receptor
10415052	Mmp14	0.556581303	0.1963605513	0.0267523052	2.5559967195	-3.57441488	matrix metallopeptidase 14 (membrane-inserted)
10527965	Cldn12	0.3151353463	0.1978433737	0.027551572	2.5394467599	-3.6016431583	claudin 12
10461979	Aldh1a1	0.6256811805	0.1994375233	0.0280901535	2.5285583426	-3.6195360873	aldehyde dehydrogenase family 1, subfamily A1
10418927	Bmpr1a	1.0713093775	0.2038813484	0.0293379546	2.5040982832	-3.659668579	bone morphogenetic protein receptor, type 1A
10498284	Wwtr1	0.414870054	0.2041737337	0.0294842673	2.5012972009	-3.6642587275	WW domain containing transcription regulator 1
10596303	Acpp	0.4014222403	0.21307973	0.0327814969	2.4415338814	-3.7618978138	acid phosphatase, prostate
10478474	Rbpjl	0.2500543917	0.2216224628	0.0362322151	2.384961445	-3.8537621033	recombination signal binding protein for immunoglobulin kappa J region-like
10586781	Myo1e	0.6960729654	0.2249417786	0.0379403302	2.358867412	-3.895933683	myosin IE
10491091	Tnfsf10	0.5755420705	0.2305438807	0.0402943634	2.3247107229	-3.9509305833	tumor necrosis factor (ligand) superfamily, member 10
10538706	Mmrn1	0.4015114255	0.2324001564	0.0412076814	2.3119752701	-3.971374397	multimerin 1
10389795	Stxbp4	0.3253565454	0.2343703424	0.0420235091	2.3008273373	-3.9892412838	syntaxin binding protein 4
10450496	Lst1	-0.5444265045	0.2357335133	0.0426179169	-2.2928355488	-4.0020331148	leukocyte specific transcript 1
10429140	Ndrg1	0.4292431626	0.2359456152	0.0426765075	2.2920536205	-4.0032839304	N-myc downstream regulated gene 1
10573924	Mmp2	-0.32405868	0.2396841817	0.044329594	-2.2704073793	-4.0378560796	matrix metallopeptidase 2
10450242	C4b	0.361470324	0.2496000527	0.0482584374	2.2219205633	-4.1149012522	complement component 4B (Chido blood group)
10344952	Rdh10	0.830642319	0.2507822298	0.0487491648	2.2161321023	-4.1240611176	retinol dehydrogenase 10 (all-trans)
10604187	Lamp2	0.2520653223	0.2521324075	0.0498392878	2.2034701172	-4.1440687123	lysosomal-associated membrane protein 2
10392056	Cyb561	0.2944569812	0.2521324075	0.0498952009	2.2028278298	-4.1450825332	cytochrome b-561
10455108	Pcdhb16	0.4762208797	0.252773976	0.0501344461	2.2000873002	-4.1494071541	protocadherin beta 16
10349174	Serpinb8	0.5743891243	0.2560505348	0.051889208	2.1803598396	-4.1804805979	serine (or cysteine) peptidase inhibitor, clade B, member 8
10416057	Clu	0.7939478889	0.2712324701	0.0591674235	2.1047839306	-4.2985529101	clusterin
10519555	Abcb1b	0.3384627505	0.2768641027	0.0617180436	2.0803713414	-4.3363452613	ATP-binding cassette, sub-family B (MDR/TAP), member 1B
10529613	Evc	0.3028663826	0.2790602443	0.063548491	2.0634312858	-4.3624645725	Ellis van Creveld gene syndrome
10581992	Maf	0.1865222921	0.2863538061	0.0674575807	2.0287394855	-4.4156770674	avian musculoaponeurotic fibrosarcoma oncogene homolog
10423921	Oxr1	0.3113797055	0.2911751041	0.0697381729	2.0093611898	-4.4452333292	oxidation resistance 1
10440513	Cyyr1	0.3078701281	0.3017647967	0.0761759005	1.9576921184	-4.5234273752	cysteine and tyrosine-rich protein 1
10548314	Klrb1b	0.2354909809	0.3110064327	0.0815952854	1.9172527468	-4.5839761891	killer cell lectin-like receptor subfamily B member 1B
10601927	Il1rapl2	0.7628871384	0.3150620756	0.084182359	1.8988174559	-4.6113808719	interleukin 1 receptor accessory protein-like 2
10519770	Pclo	0.2440266328	0.3175945276	0.0853495268	1.8906708468	-4.6234505476	piccolo (presynaptic cytomatrix protein)
10502816	Gipc2	0.271587701	0.3201306433	0.0872808889	1.8774129906	-4.6430389081	GIPC PDZ domain containing family, member 2
10548038	Ntf3	0.2707403368	0.3216040792	0.0879088448	1.87316048	-4.6493076662	neurotrophin 3
10536324	Asb4	0.3410454879	0.3305997302	0.0926995952	1.8416056131	-4.6956028793	ankyrin repeat and SOCS box-containing 4
10385993	Anxa6	0.2552605292	0.3368921255	0.0966348935	1.8167826645	-4.7317418257	annexin A6
10478145	Ppp1r16b	0.2713247537	0.3396885051	0.0981218716	1.8076426596	-4.7449849536	protein phosphatase 1, regulatory (inhibitor) subunit 16B
10404792	Phactr1	0.2072911984	0.3397491999	0.0981685556	1.8073577546	-4.7453972017	phosphatase and actin regulator 1
10438738	Bcl6	0.3359057987	0.3403149032	0.0984634136	1.8055611264	-4.7479960856	B cell leukemia/lymphoma 6
10381298	Ramp2	0.4496952328	0.3427087014	0.0999205601	1.7967536725	-4.76071687	receptor (calcitonin) activity modifying protein 2
10501229	Gstm1	0.3685795376	0.3503944389	0.1043488031	1.7706860101	-4.798174661	glutathione S-transferase, mu 1
10489204	Tgm2	0.322766549	0.3584157139	0.1089230955	1.7447896298	-4.8350956463	transglutaminase 2, C polypeptide
10426397	Cntn1	0.2104213582	0.358665721	0.1091483908	1.7435396991	-4.8368702326	contactin 1
10420488	Phf11d	0.4985888132	0.3588832901	0.1093016636	1.7426906752	-4.8380752367	PHD finger protein 11D
10387890	Cxcl16	0.291581365	0.3764135903	0.1209871989	1.680912483	-4.9248778904	chemokine (C-X-C motif) ligand 16
10607089	Acsl4	0.1745663652	0.394572464	0.1327147504	1.6240497214	-5.0031815904	acyl-CoA synthetase long-chain family member 4
10367436	Cd63	0.1858447833	0.3962298086	0.1340768597	1.6177367912	-5.0117769313	CD63 antigen
10493474	Muc1	0.320973477	0.4204561437	0.1533441022	1.5339848505	-5.123869822	mucin 1, transmembrane
10510129	Dhrs3	0.3272792994	0.4207906212	0.1537368798	1.5323751896	-5.1259878685	dehydrogenase/reductase (SDR family) member 3
10489471	Matn4	0.1868461155	0.4265968407	0.1583389929	1.5137755854	-5.1503594546	matrilin 4
10499536	Efna1	-0.3793622296	0.433462006	0.1642056507	-1.4907302594	-5.18029165	ephrin A1
10514466	Jun	0.2389384982	0.4393666515	0.1684007985	1.4746810427	-5.2009610687	jun proto-oncogene
10548875	Art4	0.3790071889	0.4435604861	0.1718953817	1.4615711863	-5.2177361711	ADP-ribosyltransferase 4
10436666	Jam2	0.4629235352	0.467582787	0.1920807738	1.3899961101	-5.307548751	junction adhesion molecule 2
10405216	Syk	-0.1485130217	0.4699534929	0.1937356006	-1.3844140711	-5.3144239978	spleen tyrosine kinase
10379044	Rab34	-0.2043342922	0.4764641302	0.1990041594	-1.366903969	-5.3358664545	RAB34, member RAS oncogene family
10530692	Kdr	0.3557512243	0.48232347	0.2049931447	1.3474626605	-5.359450608	kinase insert domain protein receptor
10366163	Slc6a15	0.2835926881	0.494149872	0.2146037258	1.3172266257	-5.3956550289	solute carrier family 6 (neurotransmitter transporter), member 15
10358434	Pla2g4a	0.1654627822	0.5108962023	0.230404065	1.2698506465	-5.4511920599	phospholipase A2, group IVA (cytosolic, calcium-dependent)
10416522	Tsc22d1	0.1245095017	0.5142167668	0.2338074641	1.2599937468	-5.4625603198	TSC22 domain family, member 1
10389797	Stxbp4	0.257691657	0.518499306	0.2387512571	1.2458801151	-5.4787241749	syntaxin binding protein 4
10594110	Neo1	0.4802587371	0.5212236697	0.2412475667	1.2388428616	-5.4867332552	neogenin
10540401	Lrrn1	0.4362152086	0.5232081375	0.2432707715	1.233182108	-5.4931512314	leucine rich repeat protein 1, neuronal
10501222	Gstm2	0.569916739	0.5323314344	0.2516571195	1.2101120731	-5.519079367	glutathione S-transferase, mu 2
10545168	Tacstd2	0.4601594674	0.5384728705	0.2570483314	1.1956027631	-5.5351968614	tumor-associated calcium signal transducer 2
10494023	Rorc	0.3192534304	0.5404623252	0.2596695517	1.1886352729	-5.5428841257	RAR-related orphan receptor gamma
10570957	Sfrp1	0.4574010713	0.5547707897	0.2736149198	1.1524709561	-5.5822301873	secreted frizzled-related protein 1
10389561	Dhx40	0.2031265875	0.5547707897	0.2736499144	1.1523820402	-5.5823257698	DEAH (Asp-Glu-Ala-His) box polypeptide 40
10570068	Col4a2	0.1168363174	0.5547707897	0.273777652	1.152057554	-5.5826745366	collagen, type IV, alpha 2
10530421	Gabra4	0.1856778831	0.5572461886	0.2762204497	1.1458748011	-5.5893053643	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4
10478389	Hnf4a	-0.1567547541	0.5594136463	0.278566828	-1.1399760143	-5.5956057762	hepatic nuclear factor 4, alpha
10489694	Zfp334	0.1230289042	0.5851704712	0.3060796135	1.073513496	-5.6648183976	zinc finger protein 334
10389507	Vmp1	0.1626622551	0.58865528	0.3102000431	1.063956289	-5.6744983286	vacuole membrane protein 1
10470027	Npdc1	-0.1386026762	0.5893894031	0.3110926177	-1.0618986198	-5.676573306	neural proliferation, differentiation and control 1
10431637	Cpne8	0.4948848512	0.6101499778	0.3355255781	1.0072122871	-5.7305206628	copine VIII
10396476	Rhoj	0.2840104365	0.6229261545	0.3516436716	0.9727244543	-5.763333182	ras homolog family member J
10549504	Dennd5b	-0.3288400619	0.6528085522	0.3876969749	-0.8995032589	-5.829802236	DENN/MADD domain containing 5B
10436456	Pros1	0.2295878281	0.6867697832	0.429698851	0.8199420386	-5.896939417	protein S (alpha)
10503334	Gem	0.230725115	0.6874976529	0.4313786299	0.8168713597	-5.8994216538	GTP binding protein (gene overexpressed in skeletal muscle)
10435920	Cd200r4	0.1806506229	0.688994295	0.4333363385	0.813302585	-5.9022962244	CD200 receptor 4
10408600	Serpinb6a	-0.2774537029	0.7010434232	0.4498780525	-0.7835623162	-5.9258179216	serine (or cysteine) peptidase inhibitor, clade B, member 6a
10454172	Dsg2	0.1193681617	0.7155923385	0.4693048036	0.749524032	-5.9517795233	desmoglein 2
10450579	Ddr1	0.079405826	0.7226117359	0.4805441478	0.7302374191	-5.9660297772	discoidin domain receptor family, member 1
10361887	Perp	-0.1342120774	0.7410473802	0.5061656587	-0.6872899109	-5.9965508414	PERP, TP53 apoptosis effector
10583008	Casp12	0.1691716528	0.7534509325	0.524689868	0.6570491519	-6.017026194	caspase 12
10564272	Chrna7	0.0800736022	0.7639897269	0.538683391	0.6346172625	-6.0316655682	cholinergic receptor, nicotinic, alpha polypeptide 7
10488378	Thbd	0.0927207954	0.7675668756	0.5442805458	0.6257387859	-6.0373297051	thrombomodulin
10411668	Ocln	-0.1484905993	0.7760299799	0.5555960489	-0.6079460761	-6.0484574265	occludin
10472436	B3galt1	-0.1589555169	0.7765575198	0.5567661231	-0.6061178602	-6.0495838693	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
10553833	Ndn	-0.2449390431	0.7901322459	0.5776701911	-0.5738055473	-6.0689688437	necdin
10501199	Gstm7	-0.1046136554	0.8100635763	0.6088422409	-0.5267612652	-6.0954027264	glutathione S-transferase, mu 7
10388254	Aspa	0.1599973404	0.8170634464	0.6223181902	0.5068075238	-6.1059672639	aspartoacylase
10521678	Cd38	0.1297280137	0.8223913938	0.6332254792	0.4908136244	-6.1141545676	CD38 antigen
10498273	Tm4sf1	0.1891553905	0.8260407743	0.6389526407	0.4824692331	-6.1183265115	transmembrane 4 superfamily member 1
10538150	Tmem176a	-0.0739280809	0.8267783111	0.6402042875	-0.4806503919	-6.1192267929	transmembrane protein 176A
10583021	Pdgfd	0.1307761916	0.8386191338	0.6604162894	0.451507806	-6.1332066673	platelet-derived growth factor, D polypeptide
10583163	Trpc6	0.0464726302	0.8407618887	0.6646098407	0.4455132999	-6.1359780552	transient receptor potential cation channel, subfamily C, member 6
10545771	Cyp26b1	-0.0526912337	0.8542022113	0.6877154188	-0.4127832343	-6.1504791658	cytochrome P450, family 26, subfamily b, polypeptide 1
10554574	Tm6sf1	-0.0891948307	0.8598577707	0.6977315012	-0.3987434211	-6.156371389	transmembrane 6 superfamily member 1
10548030	Cd9	0.0575249336	0.8672593606	0.713594203	0.3766786511	-6.165231308	CD9 antigen
10486041	Meis2	-0.0697808204	0.8676081123	0.7149233778	-0.3748388836	-6.165947895	Meis homeobox 2
10477717	Procr	0.0967497306	0.8690640502	0.7168718349	0.372144407	-6.1669912234	protein C receptor, endothelial
10364529	Prtn3	0.0706303716	0.8769530109	0.7327442979	0.3503007328	-6.1751782707	proteinase 3
10493820	S100a6	-0.1530197599	0.8939061657	0.7624247399	-0.3099240581	-6.1890356549	S100 calcium binding protein A6 (calcyclin)
10477325	Dnmt3b	-0.0346745146	0.8963364277	0.7680521459	-0.3023320016	-6.191455503	DNA methyltransferase 3B
10501802	Tmem56	0.0933109947	0.9302982912	0.8363864168	0.211483351	-6.2158149777	transmembrane protein 56
10598863	Rgn	-0.0303212993	0.9396822105	0.8556006281	-0.1863105846	-6.2210544679	regucalcin
10405211	Gadd45g	0.0332405451	0.9401064744	0.8574361404	0.1839128345	-6.2215191872	growth arrest and DNA-damage-inducible 45 gamma
10544982	Nt5c3	0.0231054235	0.9641971511	0.9117718289	0.1133865674	-6.2325071066	5'-nucleotidase, cytosolic III
10427402	Ghr	-0.0342586061	0.9671035775	0.9186523809	-0.1045073267	-6.233522094	growth hormone receptor
10399691	Id2	0.0101556931	0.9926139763	0.9777943932	0.0284752096	-6.238829454	inhibitor of DNA binding 2
