ID	external_gene_name	logFC	logCPM	LR	PValue	FDR
1939	Tc2n	3.508899441	3.5688180691	118.681687101	1.22959485288988e-27	9.03752216874061e-25
1971	Gadd45g	2.2859967583	3.2716447803	34.3591645419	4.58237516551839e-09	5.03019819305768e-07
1972	Syk	-0.5784669694	6.9312341556	15.1754628893	9.79682040713679e-05	0.0028802652
1991	Ocln	0.9769798081	5.1895431651	21.5723830098	3.40722856869061e-06	0.0001699091
2025	Tsc22d1	0.9125764879	9.2964590528	42.0594080161	8.85421806645338e-11	1.33643353940531e-08
2043	Osmr	8.9170089321	2.9491467842	113.0425235927	2.11196461290424e-26	1.32232451041282e-23
2079	Bcl6	0.8897849533	3.5575843409	9.0461157443	0.0026325352	0.0348223847
2089	Ly6e	0.3883697331	10.4307418017	13.1745715622	0.0002837736	0.0065805113
2099	Alcam	1.2063203063	6.7147378314	57.3571792916	3.63434276729039e-14	7.87673903603128e-12
2144	Cd86	-1.5191191968	3.8921182792	17.3708892132	3.07499817073843e-05	0.0011251698
2147	Pros1	0.9993987295	6.2549253194	38.1885235918	6.42290718588343e-10	8.4169958121984e-08
2168	Rgn	3.375925439	1.7894594145	34.1549228868	5.08943255337737e-09	5.55076498805448e-07
2176	Fhl1	1.4923281017	6.8863021318	106.9273287307	4.61796409009348e-25	2.78809581939394e-22
2206	Tmem176a	0.5621268704	8.348818627	21.7120313275	3.1679816452833e-06	0.0001603435
2226	Satb1	-1.378937256	3.7214964846	11.9823976404	0.0005370544	0.0108729395
2233	Enpp5	1.7128052309	8.3686598193	146.2630992517	1.13716653423427e-33	1.37312859008788e-30
2362	Vldlr	1.1456987265	6.3783637774	17.719976677	2.55924814798929e-05	0.000976616
2464	Cd63	0.4242411121	9.1761649411	15.6210818247	7.73869765006372e-05	0.0023487017
2553	Klhl4	1.4742605156	7.4191230104	117.0233911329	2.8370184754604e-27	1.84460758952531e-24
2569	Tmem47	3.1940623244	3.9593012629	65.4429826979	5.98198607080275e-16	1.55577653118339e-13
2629	Casp12	1.2750823624	6.6410456649	44.6918848557	2.30611149816e-11	3.71283951203761e-09
2642	Rdh10	0.1974722024	4.5441040909	0.292367861	0.5887071297	0.8611053534
2803	Serpinb8	1.2968158764	4.3058770986	21.5937036533	3.36956183307978e-06	0.0001685279
2908	Selp	4.0901712015	7.2658077816	384.2133183945	1.50545834225463e-85	1.27248866379072e-81
3022	Cytip	0.8267959627	7.2854823259	33.5133817088	7.07753711233467e-09	7.20757619783239e-07
3046	Stom	0.618559649	6.709381029	15.3149324923	9.09943772617946e-05	0.0026987017
3099	Nckap1	0.3233099413	4.2638015107	0.8213527238	0.3647849579	0.7280625398
3166	Meis2	2.0160028969	1.261335452	13.2177718586	0.0002773071	0.0064577326
3169	Slc28a2	-0.6448263465	5.6866743808	10.0125945749	0.0015547334	0.0236740315
3286	Dnmt3b	-0.7559176256	5.4585899525	12.3094985779	0.000450659	0.0094685259
3336	Procr	0.5932819609	6.8907641852	12.3085745108	0.0004508822	0.0094685259
3410	Tm4sf1	4.2294468274	4.8126576669	128.001311555	1.12168823423024e-29	9.98007347350644e-27
3411	Wwtr1	3.9106670363	5.5093881546	198.0562392609	5.54643743071128e-45	9.37625247661742e-42
3467	Efna1	1.4519566789	5.2210085562	49.5473869727	1.93637598502913e-12	3.34024857417526e-10
3546	Abca4	2.5110186125	4.8951586565	76.4602954288	2.24685278548615e-18	7.03389747011915e-16
3549	Tmem56	0.7336876394	2.9596680873	2.3079160834	0.1287165141	0.4432578265
3558	Rorc	2.0069121089	4.0641927177	51.7799886362	6.20813320146432e-13	1.14074447576907e-10
3584	Gem	0.9239820739	5.7216419574	17.9813193996	2.23083467171608e-05	0.0008751805
3704	Mllt3	-0.0403841557	7.7902738598	0.1052079225	0.7456672348	0.9285657007
3928	Abcb1b	0.8177557232	6.3415823888	20.0832706738	7.41423881388204e-06	0.0003281092
3984	Cd38	1.9330915802	6.3779461008	79.9340103467	3.87125317926556e-19	1.25852951914393e-16
4002	Evc	1.1685953841	3.651261241	13.0335830644	0.0003059546	0.0069799769
4051	Gabra4	5.279824715	2.3070133522	27.7977144172	1.34685130538353e-07	1.00301856024267e-05
4092	Plac8	-2.2111738321	5.4438440232	93.4748537674	4.11394158235215e-22	1.98703378427609e-19
4096	Antxr2	-0.7176780236	6.2489979982	11.7134465262	0.0006205009	0.0120155413
4277	Mcm7	-0.1704327561	8.4612294956	1.1569649238	0.282095879	0.6526386799
4292	Nt5c3	0.6006711576	8.8952504935	26.4051888564	2.76795908157958e-07	1.92561104008653e-05
4416	Clec1b	0.9967325049	1.6333736289	3.0615314015	0.0801660823	0.3399066016
4440	Art4	0.7081101496	7.6774925626	24.4011008464	7.82239816489662e-07	4.77392205695225e-05
4479	Dennd5b	0.9304632933	3.8361812636	8.9329855796	0.0028006618	0.0363913812
4486	Klrb1c	2.1172646041	4.4433164666	49.9656740551	1.56459246299546e-12	2.78415111441455e-10
4495	Cd9	0.7537027878	8.0678885232	33.8134255942	6.06588062689858e-09	6.36917465824351e-07
4545	Chrna7	4.189301161	0.3128292122	10.6116133801	0.0011237959	0.0187354731
4623	Nupr1	2.7460077953	5.1183305199	130.1520889984	3.79552998635748e-30	3.77431967172784e-27
4668	Cd37	-0.6863547859	5.6878060285	8.2577550862	0.0040578276	0.0477698998
4825	Acsl4	0.4266947848	6.526589292	8.4311482217	0.0036884736	0.0446339627
4833	Adgrg2	2.9691421071	4.3338287139	128.7417961649	7.72403437475805e-30	7.25415561696027e-27
4917	Col4a2	-1.2215729601	6.8394191678	35.6125371208	2.40733214165022e-09	2.73127180232195e-07
4941	Sfrp1	1.2311262629	3.1621511098	8.4948355241	0.0035615597	0.0435030108
5011	Il15	-0.7085967249	5.3895903411	10.9618924327	0.0009300479	0.0163435125
5022	Mmp2	-1.5871926163	4.350022918	16.6835534799	4.41622055244384e-05	0.0015082062
5033	Mt2	5.5227122555	1.4866095555	57.0268049003	4.29912118729587e-14	9.08458045890458e-12
5034	Mt1	3.7129013675	5.9939357725	250.7873529843	1.74900353883496e-56	4.9278174706675e-53
5085	Pgr	2.0081761312	3.6257626526	33.2056630795	8.29087234803126e-09	8.29332526884429e-07
5127	Ldhd	1.4058715051	4.2585983126	27.693770735	1.42119619626771e-07	1.04914068549806e-05
5150	Trpc6	0.4456798912	7.1225960436	8.7063731501	0.0031709946	0.0399315692
5153	Pdgfd	0.7415437479	5.9860989251	11.6212103641	0.0006520396	0.0124691502
5234	Myo1e	1.8953759052	4.4617000873	32.8648848674	9.87917331325478e-09	9.70973400352163e-07
5276	Nrg4	1.2668145036	3.2830117946	16.6410947617	4.51618387155679e-05	0.0015361386
5291	Neo1	1.2585242198	4.1593255213	15.5735977025	7.93549785762827e-05	0.0024041145
5302	Plscr1	1.0918935491	6.7320181655	44.9524663948	2.01875780882007e-11	3.28145199597147e-09
5304	Plscr2	5.0401785534	6.8168701495	548.9663663802	2.11274856713173e-121	3.57160145273619e-117
5379	Amotl2	2.7665916591	4.5182918174	102.2745600333	4.83359740559125e-24	2.47612012550061e-21
5392	Acpp	1.3850554967	4.2105375397	26.8009879123	2.25522018181083e-07	1.60186962913916e-05
5449	Sbspon	4.6739313739	3.6991479111	133.4434839749	7.23121573282969e-31	7.64023137271787e-28
5478	Trpc1	3.3173993219	0.9497129446	17.5573726087	2.78767822488653e-05	0.0010403024
5520	Clec1a	1.9901380097	6.9385508156	103.4669582866	2.64773287678604e-24	1.39874763381463e-21
5582	Lpar6	0.3372761237	6.0197373442	3.2683374007	0.0706291701	0.3162877139
5602	Ndn	0.771888284	7.023804359	33.284195697	7.96271480333969e-09	8.01248177086057e-07
5629	Exoc6b	0.3539922054	7.2948370318	6.5907007497	0.0102512812	0.0911614462
5657	Zswim5	6.0820278678	0.4719566312	24.5135745796	7.37881467374397e-07	4.56149405109716e-05
5805	Lrrn1	6.0632026386	2.3543539495	52.3909898846	4.54805829835713e-13	8.44889291579421e-11
5833	B3galt1	2.8666742788	1.1786149954	17.8844917374	2.34726088014615e-05	0.0009059462
6113	Rorb	4.4815150392	3.3063247351	75.2975502604	4.04861661617782e-18	1.24439752539066e-15
6421	Ppp1r16b	0.8943395218	4.425123008	15.3859762143	8.7636286401373e-05	0.0026128597
6433	Tgm2	0.9418230142	8.5628609514	49.6904625557	1.80018895387973e-12	3.13733961498318e-10
6585	Plcl1	0.2795987823	4.8634155615	0.7707317288	0.3799907813	0.739249806
6677	Tm6sf1	-1.2354604645	3.9282759898	20.1682158065	7.09216225861662e-06	0.0003167507
6705	Pbx3	1.2159614139	4.3130634321	19.0838246806	1.25100691437397e-05	0.0005273883
6802	Gipc2	9.734428239	1.332792655	80.6158130309	2.74156792329332e-19	9.13714086520282e-17
6804	Camk1d	-1.6290715311	3.9984527105	26.2120234891	3.05911895035673e-07	2.09370064193443e-05
6851	Tnfsf10	0.567190951	7.2029546059	10.4400530828	0.0012331173	0.0199586026
6955	Arhgap29	0.8107649811	6.2449283472	20.908569289	4.81734714524624e-06	0.0002271164
6979	Ptger4	0.2814132569	6.4594649539	1.3409878534	0.2468598334	0.6137324186
7053	Dnm3	2.9137587183	2.0533123847	31.5077912241	1.98641620197934e-08	1.87599809466261e-06
7126	Gstm2	3.3495958595	5.8975438846	104.4981249991	1.57342233627455e-24	8.86623486490709e-22
7131	Abcb1a	1.6476688014	4.2198608727	28.7429786204	8.2649022663509e-08	6.74967018418657e-06
7235	Cyyr1	0.4864369355	0.5548693109	0.7334352004	0.3917719675	0.7454029387
7260	Tox	0.7860469775	5.6474515038	16.3690397065	5.21298273701486e-05	0.0017145034
7345	Fhdc1	3.110521426	5.5242037942	117.9766397008	1.75442166082051e-27	1.18633992704683e-24
7389	Rassf4	-1.5561417458	5.999185606	31.1048402216	2.44461050138128e-08	2.23384543382976e-06
7476	Asb4	1.4888054692	3.1251716998	19.6150756898	9.47188653216196e-06	0.0004116253
7512	Muc1	4.8749421765	3.8106334411	91.6582757082	1.03014206453889e-21	4.24745161000732e-19
7517	Flt3	-0.6083768583	7.0798410894	5.2557607583	0.0218742368	0.1514266886
7696	Dsg2	1.8263539891	4.475045257	47.7428323497	4.8595766589853e-12	8.13377657625213e-10
7743	Zfp36	0.2061982781	5.7076426695	1.4316879561	0.2314891606	0.5963630673
7879	Cavin2	2.5904741536	7.5120591276	214.6653201931	1.3184905543261e-48	2.47656475787586e-45
7949	Tmem215	4.9339892832	3.5563656662	73.8913889971	8.25355688444864e-18	2.44783121283516e-15
7967	Rhoj	1.072028298	5.52926589	24.8600629012	6.16464003928202e-07	3.88855372627099e-05
7972	Cldn12	0.4893753561	6.6248267203	9.0167328318	0.0026751915	0.0351664944
8107	Pcdhb16	1.683218363	2.8262634053	21.358098312	3.81007912705794e-06	0.0001872366
8207	Arhgap30	-0.5031177562	6.7962417824	10.5796774037	0.0011433761	0.0189296368
8235	Ntf3	9.0159571429	0.4470371549	37.1476732047	1.0951334235732e-09	1.36126695040477e-07
8259	Zg16	10.4582497573	1.7917334582	70.7553700631	4.04382266786802e-17	1.17863486552257e-14
8483	Tacstd2	1.1182462331	4.9304790355	23.2168413884	1.44724347391878e-06	8.2375929045781e-05
8586	Cpne8	1.752087647	5.6300314508	92.2605488043	7.59840392750039e-22	3.29361585626651e-19
8597	Jun	1.2041694394	4.9282620431	8.6318698626	0.0033033233	0.0410665842
8619	Nrk	-1.4237120842	3.1101211722	12.3857850753	0.0004326147	0.0092126525
8721	Tdrd9	4.9083116096	3.9556707168	143.7192950824	4.09225929660441e-33	4.61197622727317e-30
8778	Mmrn1	0.5753326738	10.1633493806	11.7992077422	0.0005925593	0.0116479248
8816	Cntn1	9.5582669666	1.561672275	60.9122318799	5.96768959153406e-15	1.42089848654765e-12
8846	Maf	3.14482094	4.8077300571	92.604711645	6.38552276064449e-22	2.99853506301931e-19
8874	Ghr	0.9849678201	5.6254456727	27.9205740145	1.26398606096242e-07	9.53914480382577e-06
8897	Clca3a1	5.157997043	6.0137676926	237.2938499751	1.53031452037288e-53	3.6957095667005e-50
8914	Pla2g4a	0.6422258736	7.9094609054	25.0229115259	5.66530962725241e-07	3.61403997164913e-05
9048	Prtn3	0.8271837356	7.783088993	20.4047170793	6.26751177425505e-06	0.0002863575
9049	Mab21l2	10.4171402694	2.0066049397	80.6050462059	2.75654648994584e-19	9.13714086520282e-17
9055	Abat	2.7404109815	3.5823919006	52.8713164134	3.56132568820429e-13	6.7645180628195e-11
9070	Gstm1	0.5301227544	8.6707092456	17.6267218957	2.68784989801273e-05	0.0010119845
9149	Il1rapl2	2.3768783561	3.2457701118	38.9687076532	4.30653527964945e-10	5.82415831219792e-08
9240	Serpinb6a	0.6519970779	5.9062210501	13.4797971604	0.0002411459	0.0058403595
9312	Prcp	0.8426098915	6.9855478041	41.8650126506	9.77970006838681e-11	1.46306043943433e-08
9344	Pclo	0.5698019231	0.7021577661	0.6390886634	0.4240409981	0.766921266
9379	Cd200r4	2.3636070477	3.6046189022	58.9076941516	1.65244790476409e-14	3.77495024730228e-12
9445	Kdr	2.1626306999	4.2412316519	57.8305466159	2.8569846906585e-14	6.35491134152394e-12
9489	Cyp26b1	1.6231545928	4.5386858491	14.8533766444	0.0001161999	0.0032848806
9627	Dhrs3	1.4990898416	4.8814280528	20.1512461949	7.15536138550687e-06	0.0003183194
9759	Phf11d	2.1920303954	4.4088559031	50.2902837717	1.32604470804577e-12	2.41040707414126e-10
10050	Gm10419	4.0192296036	5.3835878879	260.9269807054	1.07760064231698e-58	4.55420971459212e-55
10101	Lst1	-1.3872586309	5.9541477745	43.5644613146	4.10221514800124e-11	6.42110621082972e-09
10104	C4b	4.5936998553	5.2180502115	101.7258855829	6.37616919720024e-24	3.17026883172559e-21
10258	Thbd	1.4993421948	4.6936552628	24.5207598827	7.35134932935626e-07	4.56149405109716e-05
10486	Prnp	0.6855586315	5.9919463924	15.1423886516	9.96994248446766e-05	0.0029210031
10488	Kcnip3	1.3090433128	5.1267590821	36.3917733467	1.61382956274e-09	1.9078173956727e-07
