Genes,Beerman, Chambers, Flach, Grover, Kirshner, Kowalczyk, Noda, Quere, Rossi_, Sun, Wahlestedt
Plscr2,0,0,1,3.453236243,0,0,0,2.32428,2.3,2.805522686,4.34446
Clu,0,0,0,2.570191876,0,0,0,2.02852,3,2.279063003,3.21473
Neo1,0,0,0,0,0,0,1,0,1.95,1.654441873,2.25629
Enpp5,0,0,0,2.848531971,0,0,0,0,0,1.655433716,1.98246
Mmp14,0,0,0,0,0,0,0,0,3.2,0.885912508,1.56368
Gstm2,0,0,0,2.319471596,0,0,0,0,0,2.376107674,2.80573
Selp,0,0,1,4.422477499,0,0,0,0,17.1,2.395587556,3.26728
Fyb,0,0,1,0,0,0,0,0,2.9,0,0.96293
Pbx3,0,0,0,0,0,0,0,0,2.3,1.108385426,0.93183
Oxr1,0,0,0,3.205633697,0,0,0,0,1.6,1.037682105,1.22541
Aldh1a1,0,0,0,4.343514043,0,-1,0,2.88669,0,1.129204203,1.84459
Muc1,0,0,0,0,0,0,0,0,3.2,2.37046256,2.59314
Clca1,0,0,1,4.047024557,0,-1,0,2.574,2,2.49560921,3.28162
Lpl,0,0,0,0,0,0,0,0,1.7,1.317972012,1.66664
Mef2c,0,0,1,0,0,0,0,0,2.4,0.387581441,0.89618
Fap,0,0,1,0,0,0,0,0,3.8,2.122012927,3.51482
Ehd3,0,0,0,0,0,-1,0,1.86235,4.6,1.648094553,2.30042
Fhl1,0,0,0,2.492331858,0,0,0,0,1.8,1.049545003,1.38612
Plek,0,0,0,3.504038382,0,0,0,0,0,0.328108783,1.5639
Plscr1,0,0,0,0,0,-1,0,0,0,0.789685122,0.89192
Matn4,0,0,0,0,0,0,0,4.72487,0,2.931638272,1.66876
Fosb,0,0,0,0,0.9125,0,1,3.91007,0,-4.658855586,0
Zfp36,0,0,0,0,0.938898026,0,0,0.883692,0,-1.826845324,0
Itga6,0,0,0,2.668097789,0,0,0,0,2.7,0.648436552,1.03359
Sult1a1,0,0,0,4.77870034,0,-1,0,0,0,1.995549715,2.32306
Ptger4,0,0,0,0,0,0,1,0,0,1.060870486,1.49528
Ptger3,0,0,0,0,0,0,0,0,1.6,0.472608457,0.75535
Fos,0,0,0,0,0.918174342,0,0,2.74543,0,-2.790351556,0
Rnf128,0,0,0,0,0,0,0,2.23882,3.6,0.706651419,0
Slamf1,0,0,0,0,0,0,0,1.95492,1.6,0.880850595,1.1016
Bcl3,0,0,0,0,0,0,1,0,2.9,0.913550193,0.83512
Ampd3,0,0,0,0,0,0,0,0,1.9,0.839582593,1.5023
Trpc1,0,0,1,0,0,0,0,0,0,3.013859088,3.2629
Mt2,0,0,0,0,0,0,1,3.19272,0,1.630719581,2.47926
Mt1,0,0,0,4.910165133,0,0,1,2.258,0,1.391727102,2.80748
Mpeg1,0,0,0,0,0,0,0,-1.03028,-4,-0.683841572,0
Pawr,0,0,0,0,0,0,1,0,0,1.129063658,0.98394
Egr1,0,0,0,4.625041925,0.870723684,0,0,1.86848,0,-1.915149699,0
Thbd,0,0,0,0,0,0,0,1.23641,1.9,0.763441561,1.0365
Scd1,0,0,0,0,0,0,0,0,1.8,1.137779866,1.88156
Sell,0,0,-1,0,0,-1,0,0,0,-1.01237963,-1.66456
Cebpb,0,0,0,0,0.860773026,0,1,0,1.7,0,0
Nr4a2,0,0,0,0,0.960526316,0,1,0,2.95,-1.300801158,0
Jam2,0,0,0,0,0,-1,0,0,2.7,1.669149184,2.75194
Casp12,0,0,0,2.92018092,0,0,0,0,0,0.963952412,0
Il1rapl2,0,0,0,0,0,0,1,0,2.3,1.777516936,0
Vldlr,0,0,0,0,0,0,0,0,3.625,0.964083999,1.738
Gem,0,0,0,0,0,0,1,0,0,1.551817543,1.46527
Nt5c3,0,0,0,0,0,-1,0,0,0,0.586436271,0.77523
Ctss,0,0,-1,0,0,-1,0,0,-4.8,-0.836085413,0
Calml4,0,0,0,0,0,0,0,0,3.5,1.578644038,1.59068
Ptprk,0,0,1,0,0,0,0,0,2.1,2.102198826,1.7082
Serpini1,0,0,-1,0,0,0,0,0,-2.2,-0.449725782,0
Rps6ka3,0,0,0,0,0,0,0,0,1.65,0.455193774,1.01462
Mpo,0,0,0,0,0,0,0,0,-3.5,-1.166424486,-1.87753
Kdr,0,0,0,0,0,0,0,0,3.4,1.270109735,1.46589
Arhgap6,0,0,0,0,0,0,0,0,3.4,0.474782762,0.91753
Ngp,0,0,0,0,0,0,0,1.58141,-4,-2.053508386,0
Gpr183,0,0,1,2.317138066,0,0,0,0,0,3.711406492,4.37454
Gm106,0,0,1,0,0,0,0,0,4.45,3.896359339,5.0333
Klhl4,0,0,1,3.235089235,0,0,0,0,2.6,1.618982169,1.67501
Itgb3,0,0,1,2.963108623,0,-1,0,1.40419,0,1.331952609,1.59511
Osmr,0,0,1,0,0,0,1,0,5.8,3.627401254,4.12783
Runx1t1,0,0,1,0,0,-1,1,0,0,1.201746085,2.09917
Gda,0,0,1,3.759959492,0,-1,0,0,1.8,1.741694939,2.43231
Abca4,0,0,1,0,0,0,0,0,3,1.498739993,1.98423
Rorb,0,0,1,0,0,0,1,0,5.4,3.675778095,1.29189
Klrb1c,0,0,1,0,0,0,0,0,3.4,2.918591953,2.29071
Il15,0,0,-1,0,0,-1,0,0,-2.6,-0.811034534,-0.90849
Rnase6,0,0,-1,0,0,-1,0,0,-3.4,-1.087881456,-1.57042
Epb4.1l3,0,0,-1,0,0,0,0,0,-3,-1.147803418,-1.04795
Phldb2,0,0,-1,0,0,0,0,0,-1.5,-1.350479414,-0.90223
Plac8,0,0,-1,0,0,-1,0,-0.875512,0,-0.993955694,-2.17002
Cd34,0,0,-1,0,0,-1,0,0,0,-0.96178016,-0.94622
Tmsb10,0,0,-1,0,0,-1,0,0,-2.3,-0.481445462,0
Ms4a6b,0,0,-1,0,0,0,-1,0,-1.9,-0.555502821,-1.15355
Arhgap30,0,0,-1,0,0,0,-1,0,0,-1.074005829,-1.18358
Mgst1,0,0,-1,0,0,-1,0,0,0,-0.675603197,-1.18624
Anxa2,0,0,-1,0,0,-1,0,0,0,-0.55150038,-0.8335
Nupr1,0,0,0,5.158768845,0,-1,0,0,0,2.433939546,3.27435
Btg2,0,0,0,5.06026451,0.971217105,0,1,0,4.4,-2.331185452,0
Nr4a1,0,0,0,3.323580738,0.959375,0,1,0,0,-3.298875845,0
Id2,0,0,0,3.314474713,0,-1,1,0,0,1.311868124,1.57834
Ier2,0,0,0,3.274870747,0.746052632,0,0,0,2.3,-1.475881968,0
Nfkbiz,0,0,0,2.996307004,0.762993421,0,1,0,0,-1.361672814,0
Tgm2,0,0,0,2.356355858,0,-1,0,0,0,0.863428574,1.07342
Jun,0,0,0,0,0.860855263,0,1,2.07079,0,-3.136252664,0
Plk2,0,0,0,0,0,-1,1,0,0,1.359299041,1.99165
Vwf,0,0,0,0,0,-1,0,2.37539,0,1.574642519,1.9894
Trim47,0,0,0,0,0,-1,0,0,2,1.111458478,1.40524
Gadd45g,0,0,0,0,0,-1,0,0,1.8,1.310129784,2.49844
Maf,0,0,0,0,0,0,1,0,2,1.267342562,2.55951
Pcdhb16,0,0,0,0,0,0,1,0,2,1.474968523,1.54155
Ripk4,0,0,0,0,0,0,1,0,2.5,3.883248562,3.50058
Klf1,0,0,0,0,0,0,-1,1.65402,0,-1.349197392,-1.1684
Cysltr2,0,0,0,0,0,0,1,0,1.8,1.480789069,1.86091
Gpr64,0,0,0,0,0,0,1,2.93403,0,1.402665646,3.09935
Rab40b,0,0,0,0,0,0,1,0,2.4,1.102831057,1.41843
Rapgef3,0,0,0,0,0,0,1,1.29807,2.9,0.407594531,0
P2ry14,0,0,0,0,0,0,-1,0,-1.9,-1.699929103,-1.56026
B3galt1,0,0,0,0,0,0,0,3.57861,4.7,1.166504752,2.13117
