Genes,Bersenev, Chambers, Flach, Norddahl, Wahlestedt, Grover, Kirshner, Kowalczyk, Mann, Lazare, Maryanovich, Sun
Zfp36,1.061805508,2.657821705,0.373838101,1.375351508,0.963808504,0.003405466,8.99E-07,9.80E-16,0,0.224339382,0.206198278,0.234214928
Gm12185,1.055691497,0.016251275,0.42870018,0.151348125,0.302160864,0,0,0,0,0.104143612,-0.035758926,0.559280335
Slpi,1.043033434,1.196464662,0.411930254,0.14798122,0.343115343,0,0,0,0,0.216677219,-0.610815877,2.044328072
C4b,1.034576099,0,0.361470324,0,0,0,0,0,0,1.129004912,4.593699855,2.390093515
Gipc2,1.027710266,0.752064989,0.271587701,1.379162577,2.042796988,0,0,0,0,0.312003432,9.734428239,4.70716888
Pros1,1.016819374,3.63367039,0.229587828,1.201036934,1.255583056,0,0,3.15E-12,0,0.038262078,0.99939873,1.125562484
Matn4,1.015899849,2.368679867,0.186846116,1.321208335,2.246731796,0,0,0,0.44364028,1.049201671,9.21488217,2.755122223
Plek,1.010404159,1.782819506,0.63738958,1.372594894,1.315172084,3.52E-06,0.010689016,8.32E-14,-0.599828814,0.105008981,1.267315027,0.753840697
Ifi47,1.007537606,1.330169049,0,0.24969464,0.172817808,0.027383663,0.042547161,0.172001181,0,0.273473491,0.42784067,0.614534127
Tmem215,1.004679256,0,0.575472211,1.584739135,1.910784872,0,0.000313529,0,0,1.297391407,4.933989283,2.731465676
Csf2rb,-0.994667848,-0.016238064,-0.693399762,-1.469283803,-1.138607165,0,0,0,-0.450379173,0,0,0
Rhoj,0.985892807,1.802810536,0.284010437,1.806262386,1.0382173,0,0,0,0,0.388386411,1.072028298,1.242621239
Emp2,0.982931209,0.269618675,0.298470755,0.564350999,0.441299688,0.743269829,0,0,0,0,0,0
Gm10384,-0.980218802,0,0,0,0,0,0,0,0,-0.943077999,-1.664260519,-1.518019009
Epha2,0.973605785,0.153661338,0.10391439,0.347931906,0.636382943,0,0,0,0,0.450743246,2.941666324,2.050601226
Itgb3,0.972797889,0.03396063,1.349370161,0.824638911,0.853720917,9.13E-10,3.10E-05,0,0.518873138,1.13638942,2.055269454,1.457893731
Dock9,0.960551594,1.050117457,0.69967096,0.807391992,0.749129765,0,0,0,0,0,0,0
Igtp,0.955065952,-0.242714133,0,0.198704994,0.17255372,4.68E-05,0,0.054074997,-0.280120009,-0.04079459,0.184541589,0.500804379
Tmem56,0.95358306,3.630023083,0.093310995,0.750974742,0.777398708,0.000605014,0,0,0,0.610302053,0.733687639,0.702120913
Fads3,0.95026187,0.246819709,0.009511969,0.750463021,0.862541559,0,0,0,0,0,0,0
Stom,0.941187979,0.6367227,0.735214165,0.164626798,0.255902248,0,0,0,0,0.887941103,0.618559649,0.519319169
Pde9a,0.939670991,0.261171316,0.165874578,1.462645336,1.812659193,0,0.001743293,0,0,0,0,0
Tacr1,0.934950446,0.009708019,0.189673756,0.063433802,0.01121038,0,0,0,0,0.75073199,2.466451271,2.999022223
Ugt1a7c,-0.933412339,0,0,0,0,0,0,0,0,-0.076638576,-0.779642272,-0.246046095
Lsr,0.933019041,0.227956589,0.52962475,0.612971225,0.303768931,0,0,0,0,0.838625517,0.958077933,1.448290444
Ect2,-0.928418235,-0.674669892,-0.800846479,-1.3391384,-0.892229745,0,0,0,0,-0.404215893,0.174542936,-0.733287705
Cd34,-0.927987472,-0.173983536,-0.740462989,-0.992122983,-0.817079725,0.031351976,0.243629535,7.34E-08,-0.686630595,-1.097512246,-0.379778187,-0.859492472
Cpne8,0.926609605,0,0.494884851,1.333076775,1.350834975,5.60E-06,0,0,0.480462659,0.662110099,1.752087647,1.503923108
Prcp,0.921887555,1.284930688,0.622744064,0.351342895,0.605932214,0.010102973,0.478767963,0,0.452615423,0.631140031,0.842609892,1.1475762
Dok1,0.920696292,0.501461279,0.016902966,0.511368125,0.468597976,0,0,0,0,-0.192975395,0.519996113,0.356612862
Tnip3,0.916959421,0,0.264160231,0,0,0.224569895,0.013558846,0,0.411571174,0.465126819,0.865492114,0.778399522
Ccnd1,0.916133198,0.399722084,0.136319775,0.381272733,0.656639097,0,0,0,0,0.544061126,0.573968653,0.731222336
Fyb,0.909174523,1.557241696,1.181019886,0.951851282,1.05634155,0,0.005686609,1.89E-06,0,0,0,0
Ctsw,0.90277038,0.778925552,-0.334607967,1.241201751,1.284973626,0.002190574,0.000987365,8.54E-08,0,0,0,0
Hoxb5,0.896242453,0.13319642,-0.195202092,1.096770885,0.688254638,0,0,0,0,0.849895516,0.568163413,0.592246286
Igf2bp2,-0.892761127,0.01748205,-0.708914224,-0.410225394,-1.183918373,0,0,0,0,0,0,0
Abcb1a,0.892528324,1.30301925,0.553104017,1.308481565,1.711737529,0,0,0,0,0.315043536,1.647668801,0.74073954
Car5b,0.891103663,0.01357622,0.328312865,0.557232066,0.096149726,0,0,0,0,0.033187619,1.064638236,0.927216704
F2rl3,0.890353913,2.466532019,-0.061477512,0.145301801,0.683683778,0,0,0,0,0.109083014,0.660625395,0.56387646
Iigp1,0.887202927,0.149331661,-0.094872745,0.156721402,-0.040789662,7.42E-07,0,0,0.291390418,0,0,0
Pbx3,0.879266164,1.882558768,0.626318276,1.045447531,1.102392205,6.60E-07,0,0,0,0.958007746,1.215961414,1.165625987
Jakmip1,-0.870661298,0,0.024644987,-0.507631562,-0.685224115,0,0,0,0,0,0,0
Scarna13,-0.870513177,0,-0.212936928,0,0,0,0,0,0,0.1465165,0,-1.169464515
Pcdhga5,0.866165022,0,0,0,0,0,0,0,0,0.1519168,-0.623579739,0.756251
Myo1e,0.863510272,0.418972154,0.696072965,0.417528284,0.648449885,0,0,0,0,0.510814691,1.895375905,1.002234001
Zfp334,0.858677459,0.877572992,0.123028904,0.628627854,0.435728177,0,0,0,0,0.252693758,1.875907661,1.44496581
Serpinb6a,0.845396994,0.579279944,-0.277453703,1.015335276,1.053708807,0,0,0,0,0.582033797,0.651997078,0.889530138
Serpinb8,0.83836546,0.214649712,0.574389124,0.576123261,0.582427277,0.00055008,0,0,0,0.460063625,1.296815876,0.505741957
Gm14964,0.837360572,0,0.661247252,0.180809522,-0.063727921,0,0,0,0,1.152264856,2.959298309,2.04503671
Tent5c,0.829134151,0,0,0,0,0,0,0,0,0.586099902,2.32354,1.797675184
Cxcl16,0.828093137,0.993166691,0.291581365,0.471782969,0.977697218,0,0,0,0,0.481610198,1.336947275,1.020903082
Klf6,0.827559364,2.389017401,-0.210914106,0.679228279,0.132582362,0,2.36E-06,0.000110096,0.371549571,0,0,0
Kif23,-0.826710545,-0.688592439,0.243391783,-0.598428108,-0.71972152,0,0,0,0,-0.53998205,-0.020429057,-0.750908694
Itga6,0.82572694,1.483765029,0.72283064,1.148627546,0.785392285,1.44E-05,0.000632656,0,0,0,0,0
Ppp1r16b,0.824753297,0.037346905,0.271324754,0.66664923,0.464250434,0.031337599,0,0,0.301355435,0.324154889,0.894339522,0.784715915
Arid5b,0.817574194,-0.377608143,0.210806307,0.277004571,0.174325028,0,0,0,0,0.757093519,0.109351842,0.271507844
Hes1,0.81632488,3.400720374,-0.894404755,0.693691169,0.5515728,0,7.71E-07,0,0,0,0,0
Cpeb2,0.814424257,0.567901537,0.545608809,0.867449932,0.539694115,0,0,0,0,0,0,0
Irgm2,0.812612153,0.632933825,0,0.337003723,0.196772874,0.031775921,0,0,0,0.152963398,0.225817138,0.586280544
Il15,-0.809604262,-1.227348975,-1.045501466,-0.974748857,-0.898251663,0,0,1.55E-15,0,-0.842477564,-0.708596725,-0.772453801
Ly6a,0.80546654,0.625671955,-0.179222939,0.334624306,0.016545798,0,0.245599051,0,0,0.441865769,0.051286733,0.792809098
Tm6sf1,-0.801011683,-0.495456755,-0.089194831,-1.213137237,-0.515147006,0,0,0,0,0.401902269,-1.235460465,-0.779655498
Rbpjl,0.797807321,0.006079883,0.250054392,0.089115419,0.033971431,0,0,0,0,1.39160924,8.964569462,2.651250193
Rnase6,-0.792327732,0,-1.154961957,-1.313715143,-1.821246732,0.000718202,0,2.91E-12,-0.25092133,0,0,0
Igkv3-4,-0.784569042,0,0,0,0,0,0,0,0,0,0,10.25969381
Pcdhb18,0.782253824,-0.007093967,0.29614618,-0.037014857,0.092622867,0,0,0,0,0.915551339,0.128163538,0.984698702
Srd5a1,0.780395084,0,-0.091418245,0.178962718,0.650492302,0,0,0,0,0,0,0
Nckap1,0.77915963,0.419469635,0.705290791,1.286258247,0.967570577,0,0,0,0,0.263070949,0.323309941,0.867665631
Clec1b,0.771664598,2.606943265,0.645925112,1.418164561,1.316626829,0,0,0,0,1.149519351,0.996732505,0.980432537
Selenom,0.762241457,0,0,0,0,0,0,0,0,0.394111627,1.04572777,0.935380062
Slc6a15,0.761959029,3.497558101,0.283592688,0.952966465,1.151915204,0.109661,0,0,0.349324175,0.350584114,0.541165742,0.665084131
Pfkfb3,0.755751664,0.226393365,0.344540271,0.24969136,0.330600582,0,0.006543126,0,0.32064839,0.158666506,0.213647464,0.551521754
Gdpd1,0.754340581,0.781100161,-0.179962537,0.765667847,0.889349833,0,0,0,0,0.245731441,0.544562749,0.511696439
Gpr4,0.748323198,0,0.256815444,1.677814635,0.847945163,0,0.074984776,0,0,0.633655064,0.591843093,1.244450778
St3gal6,0.747590823,1.873533528,-0.01231187,0.62859239,0.426564549,0,0,9.61E-09,0,0,0,0
Tnfaip2,0.741198628,0.307714523,0.035789276,0.599097348,0.522451734,0,0.187231626,0,0,0.082021525,-0.304843939,0.267742759
Uba7,0.73457826,-0.428836927,0.132094662,0.751395264,0.3657726,0,0.194912627,3.46E-05,0.575013621,0.51275205,0.518032225,0.361014674
Large2,0.725846613,0,0,0,0,0,0,0,0,0.130364557,1.251178531,0.415431569
Pclo,0.723890782,1.216890307,0.244026633,0.74188967,0.91417358,0.017055555,0,0,0,0.302715104,0.569801923,0.60872502
Stxbp4,0.723509623,-0.060170591,0.291524101,0.87997163,0.659461322,0,0.053979108,0,0,0.574264672,1.284323365,0.623351294
Cd86,-0.721734177,-1.416436973,-1.373779483,-1.169639426,-0.843643788,0.001159151,0,0,0,-0.842391928,-1.519119197,-1.775828821
Pcdhb17,0.719098319,0.001921848,0.263460454,1.092663007,1.315393744,0,0,0,0,1.075629491,0.511371257,1.193085881
Cd37,-0.718890575,-2.45296804,-0.684583072,-0.693508484,-0.638581343,0,0,2.31E-19,0,-0.527026463,-0.686354786,-1.069109062
Lama5,0.717160849,0.034161466,0.277294924,0.188765716,0.132122996,0,0,0,0,0.565389143,0.047161365,0.762285004
Abca4,0.716931025,0.15840557,0.435222241,2.472515188,1.644097485,0,4.88E-06,0,0,0.828522456,2.511018613,1.62508826
Mmp2,-0.710607431,-3.998466863,-0.32405868,-1.276409185,-1.738263798,0,0,0,0,-0.143420153,-1.587192616,-1.527233148
Arhgap29,0.709707424,0.519986124,0.585382483,0.63252825,0.661819503,0.000180198,0.000732155,0,0,0.554621929,0.810764981,1.043702927
Lsp1,-0.704331697,-2.426234562,-0.450179809,-0.343075613,-0.740448083,0,0.015354833,5.17E-08,0,-0.282109576,-0.483728768,-0.399840537
Arhgap30,-0.69704063,0,-0.456078495,-0.687310936,-0.681000521,0.162992834,0,0,0,-0.41544954,-0.503117756,-1.057350396
Slc28a2,-0.692715825,0,-0.596636978,0,0,0,0,3.17E-13,0,-0.568060808,-0.644826347,-0.839703489
Arhgef28,0.691200139,0.119298262,0.900397192,0.672655197,0.585922713,0,0.057682182,0,0,0,0,0
Exoc3l2,0.686176018,0,0,1.043218772,0.841435925,0,0,0,0,0.794667321,1.271018993,1.204083302
Snord34,0.685257453,0,0,0,0,0,0,1.00E-06,0,0,0,-1.139196684
Epb41l4b,-0.668973469,0.30422771,0.025250469,0.022624621,-0.269375451,0,0,0,0,-0.279208648,-1.086885604,-0.204877044
Rnf141,0.660134769,0.555708171,0.159624175,0.199084111,0.159248739,0,0.686041994,0,0,0.334871953,0.355473812,0.564293728
Slamf1,0.658486977,0.794390718,0.47285091,0.847162861,0.706988795,0.007345459,0,0,0,0.622708931,1.023913231,0.997220594
Galnt6,0.658128916,0.012816182,0.297139282,0.705478959,0.555499519,0,0.014524448,0,0,0.184376108,1.007819686,0.224111496
Phactr1,0.656864536,0.119230916,0.207291198,0.717591238,0.432535444,0,0.043116215,2.17E-20,0.460613652,0,0,0
Mindy1,0.655892247,0,0,0,0,0,0.014508803,0,0,0.745146241,0.540443982,0.630916603
Npdc1,0.655367781,-0.005045398,-0.138602676,0.717583707,0.836431579,0.008852618,0,2.12E-07,0,0.504185087,1.409162462,0.782172331
Tnfsf10,0.654600365,0.009836851,0.575542071,0.784525959,0.618016936,0.486791123,0,0,0.320200642,0.654731834,0.567190951,0.927431799
Arrb2,-0.653233172,-0.787131736,-0.459133379,-0.596198109,-0.35122593,0,0,0,0,-0.280920823,-0.479998504,-0.492361825
Ndrg1,0.646503444,1.011274631,0.429243163,0.934501139,0.535188308,5.89E-07,0.000482062,0,0,0,0,0
C1qb,-0.644980699,-0.919127508,0.416146841,-1.049769358,-0.201767813,0,0,0,0,0.307570143,-0.790532738,-1.066662048
Cd9,0.641443793,2.22371154,0.057524934,0.406439717,0.64617704,0.040945589,0,0,0,-0.007812616,0.753702788,0.547142359
Lysmd2,0.639604726,1.347868066,-0.545646337,0.093328111,0.177143694,0,0,0,0,-0.139103507,-0.346110479,0.47371982
Cd302,0.638121888,0.260924178,0.081845453,0.296541988,0.554311718,0,0,0,0,0.128093319,1.426176893,0.823004888
Pla2g4a,0.632782084,1.537270403,0.165462782,0.276601999,0.439320814,0.099385681,0,0,0,0.486249083,0.642225874,0.447556747
Coro2a,-0.632473972,-0.910434048,-0.297177055,-0.436635628,-0.545914159,0.000271217,0,0,0,-0.513320609,-0.736666129,-0.566306596
Ncf4,-0.628543447,-1.079511009,-0.183848478,-1.60984907,-1.632355484,0,0,0,0,0,0,0
Mtss2,0.627297106,0,0,0,0,0,0,0,0,0.388643287,0.55733842,0.473977728
Arhgap6,0.622893253,0.541398591,0.277975351,0.375589985,0.588089863,0.792109911,0,0,0,0.233358716,0.610656009,0.58659154
Pip5k1b,0.609725702,0.436134193,0.271584305,0.974664072,0.641845478,0,0,0,0,0.348549675,0.706375248,0.422382005
Gpc3,0.60696803,0.009672917,-0.351046703,0.013599023,0.24358725,0,0,0,0,-0.323882088,1.463810468,0.697402569
Map10,-0.606794866,0,0.158548021,-0.615099076,-0.67504683,0,0,0,0,-0.396262662,-2.747864869,-0.734390389
H2-T22,0.604681647,0,0,0,0,0,0.051489966,0,0.316462698,0.340558488,0.289296943,0.471856312
Abat,0.598724113,0.023220684,0.287862064,0.891223895,0.839994643,0,0,0,0,0.255109992,2.740410982,1.377627364
Gm6623,0.594712383,0,0,0,0,0,0,0,0,-0.046442125,1.407354758,1.604606501
H2-T23,0.585176356,0,0,0,0,1.73E-05,0,0,0.313863828,0.147829628,0.385814934,0.266486696
Col4a2,-0.581915233,-1.512599134,0.116836317,-0.792961461,-1.086592519,0,0.240558462,0,-0.28063813,-0.674091132,-1.22157296,-1.132542776
Slco4a1,0.577177135,0,0.251167215,0.060950423,0.808388821,0.001851587,0,0,0,0.470997066,0.874888483,0.420104819
Lag3,0.574983552,0.016762971,-0.283048756,0.221610193,0.072806138,0,0,0,0,0.446852953,-0.029847363,0.678419678
