ensembl_gene_id_version,external_gene_name,logFC,logCPM,FDR
ENSMUSG00000027261.3,Hao1,2.94431481938561,0.109135754195067,0.00352690466088318
ENSMUSG00000029149.15,Krtcap3,1.45582920431511,2.67777835556305,0.00352690466088318
ENSMUSG00000040811.16,Eml2,-0.938403292016938,4.37545072383465,0.00352690466088318
ENSMUSG00000022037.16,Clu,-0.822623155249458,4.96849800351643,0.0042275998554995
ENSMUSG00000031626.19,Sorbs2,0.856524416225162,4.7460565277683,0.0042275998554995
ENSMUSG00000041351.17,Rap1gap,1.71679693909288,2.19062527251319,0.0044937168047898
ENSMUSG00000038086.5,Hspb2,-2.51050890849716,0.726561065173848,0.00455335958638777
ENSMUSG00000029275.19,Gfi1,1.27565267063971,3.20699129474807,0.00466818515239821
ENSMUSG00000041729.16,Coro2b,1.17419853963712,3.30360995370321,0.00469613534515053
ENSMUSG00000037855.16,Zfp365,-3.12900625702176,-0.254092698735136,0.00508610970890038
ENSMUSG00000029322.13,Plac8,-0.575277752869744,6.93018631378799,0.00554877975397006
ENSMUSG00000020385.17,Clk4,0.586042720549064,6.59736999266401,0.00584409505287819
ENSMUSG00000000365.10,Rnf17,1.25245854530836,3.04770768673387,0.00601595917839815
ENSMUSG00000096210.3,H1f0,-0.589708236673351,6.52874323241924,0.00601595917839815
ENSMUSG00000034881.9,Tbxa2r,-0.87352856400433,4.54875516088492,0.00646976119319989
ENSMUSG00000035356.18,Nfkbiz,0.667029216052792,5.63962708371805,0.00669673260450467
ENSMUSG00000043592.16,Unc5cl,-1.88788305838271,1.83791372125438,0.00669673260450467
ENSMUSG00000106164.2,9430085M18Rik,-2.9703991778952,-0.132503645133624,0.0068398786602895
ENSMUSG00000034664.14,Itga2b,-0.535731744221766,7.66190863158585,0.00892122111208673
ENSMUSG00000040265.17,Dnm3,-2.0603552851142,1.48512538861596,0.00892122111208673
ENSMUSG00000058385.9,H2bc8,0.867610137661002,4.40684378826994,0.00892122111208673
ENSMUSG00000110631.2,Gm42047,-0.670710860775766,5.5394535330616,0.00892122111208673
ENSMUSG00000104876.2,Trdc,2.81774122679952,-0.0398765988258701,0.00998341628043519
ENSMUSG00000086552.4,Dlx4os,-2.56450099864647,0.580628742075654,0.0104076014993222
ENSMUSG00000034850.16,Tmem127,0.58812278470336,6.12510007933846,0.0131693261450535
ENSMUSG00000030137.9,Tuba8,-0.576254920843786,6.28367160222958,0.0132275298756276
ENSMUSG00000100009.7,Gm7967,-1.2921810543091,2.71220557695425,0.0157306627781422
ENSMUSG00000058773.3,H1f5,-0.790534073543889,4.6497677954861,0.0182205610001588
ENSMUSG00000015568.17,Lpl,-1.12503906530328,3.28048843038542,0.0183653967415896
ENSMUSG00000037447.17,Arid5a,0.81913110267062,4.4458472043,0.0186799286985116
ENSMUSG00000000078.8,Klf6,0.547685859200081,6.48635803247442,0.0191679228482358
ENSMUSG00000032028.16,Nxpe2,-1.45235919315328,2.28194926581373,0.0191679228482358
ENSMUSG00000102564.2,Gm37035,-2.48470252303163,0.326856083095128,0.0191679228482358
ENSMUSG00000041773.9,Enc1,1.394068115838,2.42533439317862,0.0194190404035911
ENSMUSG00000030159.16,Clec1b,-1.90408920352921,1.36997900292344,0.0205677452627716
ENSMUSG00000073000.4,Gm10451,-2.43254242885302,0.563491454163525,0.0213142146734776
ENSMUSG00000021609.7,Slc6a3,-2.69733048993906,-0.216784863817615,0.0213321486652814
ENSMUSG00000053675.9,Tgm5,2.59628256544903,-0.148521904605987,0.0213321486652814
ENSMUSG00000024900.6,Cpt1a,0.510513765767102,7.18474720843454,0.0221320371823957
ENSMUSG00000074398.6,Gm15441,0.512756919033528,7.05694074278027,0.0230841328533808
ENSMUSG00000020448.17,Rnf185,0.75642678884234,4.69693995490885,0.0240565324016608
ENSMUSG00000022755.5,Adgrg7,-0.864659648017449,3.97196984922841,0.024922772173735
ENSMUSG00000026360.10,Rgs2,0.72157268394268,4.89735279587841,0.024922772173735
ENSMUSG00000028873.17,Cdca8,-0.53943661804259,6.39966998105923,0.025009460596526
ENSMUSG00000026177.12,Slc11a1,-2.56431649922279,-0.120379669066808,0.0260742334572409
ENSMUSG00000022893.15,Adamts1,-2.60316325482979,-0.234143455148594,0.0267904633101857
ENSMUSG00000034855.14,Cxcl10,-1.5078023368952,2.18682164456951,0.0267904633101857
ENSMUSG00000066000.13,Zfp979,-0.861220637233064,3.9457224579039,0.0267904633101857
ENSMUSG00000027203.16,Dut,-0.580627173050882,5.73898453130245,0.0271073813054203
ENSMUSG00000003382.19,Etv3,0.614277555136934,5.51524514121194,0.0271566613416621
ENSMUSG00000016995.18,Matn4,-2.4301295242635,0.457343783880858,0.0273332857733168
ENSMUSG00000045730.5,Adrb2,0.809522274191478,4.23890160873831,0.0295473727717218
ENSMUSG00000051509.7,Olfr414,-2.46481604941182,-0.00226921089307999,0.0309339015746237
ENSMUSG00000027459.17,Fam110a,0.65575089424373,5.19659938537068,0.0323753946597135
ENSMUSG00000024975.14,Pdcd4,-0.472371859682385,9.49522583267341,0.0324342027998662
ENSMUSG00000034906.16,Ncaph,-0.796811604724081,4.33615350264715,0.0344909616005775
ENSMUSG00000107083.2,Gm43313,1.10114657572445,2.97751946894517,0.0360451554003338
ENSMUSG00000032246.15,Calml4,-0.927151051311591,3.57816766522065,0.0366175285825934
ENSMUSG00000059336.15,Slc14a1,-0.485477047176154,7.20622274133024,0.0376084138805901
ENSMUSG00000112971.2,Gm33682,-2.28658936027371,0.262410903109444,0.0387288034308043
ENSMUSG00000008999.8,Bmp7,-2.60584294427353,-0.352967800172551,0.0395653558089287
ENSMUSG00000053310.12,Nrgn,-0.551617844386177,5.86844052347655,0.0395653558089287
ENSMUSG00000022040.9,Ephx2,-2.44764816910722,-0.151045301352684,0.0418600872339547
ENSMUSG00000027487.12,Cdk5rap1,-0.866872758575691,3.76571049307611,0.0424667797927456
ENSMUSG00000032034.7,Kcnj5,-1.9096925472445,1.11608257533081,0.0424667797927456
ENSMUSG00000103822.2,6030460B20Rik,-2.25038712802313,0.263182563674682,0.0428234064696753
ENSMUSG00000050921.13,P2ry10,1.39215893428678,2.20831245904336,0.0432990651659535
ENSMUSG00000038429.11,Usp5,-0.4746209198864,7.334065195952,0.0434981385998378
ENSMUSG00000014164.16,Klhl3,0.529825778354339,6.08114771569471,0.0447891942330106
ENSMUSG00000025451.16,Paip1,-0.498019494367775,6.54021543049724,0.0478446662029919
ENSMUSG00000028362.3,Tnfsf8,2.30361311596803,0.068148418026451,0.0484552716381834
ENSMUSG00000032115.15,Hyou1,-0.606544546523378,5.33540628230229,0.0486094128495637
ENSMUSG00000067768.13,Xlr4b,0.821809549721037,3.90686531322732,0.0486094128495637
ENSMUSG00000097068.3,Gm26760,-1.5047889834823,1.82034313177593,0.0486094128495637
ENSMUSG00000070605.5,Zfp992,-0.799937117697059,4.0227207728152,0.0490859730510914
