Gene	logFC	adj.P.Val
Clca3a1	4.027027191	0.086970856
Jam2	2.430586847	0.08706374
Mef2c	1.344085002	0.087841878
Meis2	0.269759982	0.088124732
Lamp2	1.438766206	0.088272309
Asb4	2.758402976	0.09380199
Ptger4	1.982519877	0.093906325
Ptprk	0.57506518	0.094211065
Dsg2	1.772429486	0.096588594
Ocln	1.409302032	0.097879437
Cd38	4.279190353	0.098662388
Tmem47	1.512913945	0.0993792
Gem	2.412267145	0.100618893
Prcp	1.663774806	0.102674685
Id2	0.125361417	0.103771896
Syk	-1.063160654	0.103846204
Ndn	1.432946623	0.108233668
Nt5c3	1.18920069	0.108363468
Tmem176a	0.752752446	0.110556959
Ptprk	0.723998101	0.113320653
Cd86	-2.829604992	0.113946888
Acsl4	1.437134614	0.115024423
Kdr	0.187616138	0.115939297
Jam2	1.054131082	0.116128271
Ndrg1	0.956693415	0.119100471
Tsc22d1	0.645075155	0.119174908
Id2	1.753606601	0.119500172
Prcp	0.90608657	0.121249087
Ddr1	1.480444748	0.122332902
Lsp1	-2.426234562	0.124621676
Casp12	2.755188602	0.125406854
Vldlr	0.263546125	0.130296593
Wwtr1	0.944885303	0.13125035
Ebi3	-2.091498258	0.132889658
Flt3	-2.341932531	0.134697178
Prtn3	0.788938644	0.134786083
Muc1	3.649165751	0.135012002
Cxcl16	0.314737729	0.1361817
Tox	0.954131034	0.137315288
Mab21l2	0.060840319	0.140011068
Prnp	0.546855596	0.141311669
Gstm1	0.654414701	0.141595265
Hnf4a	-0.342237745	0.141882405
Vldlr	1.822918614	0.143781332
Zfp334	1.760612919	0.146884004
Bmpr1a	0.068884797	0.15325078
Procr	0.917410675	0.160143063
Antxr2	-1.002020216	0.160184633
Ampd3	1.483665001	0.160557038
Gstm1	1.0879916	0.161026799
Plac8	-0.939935451	0.161247384
Vldlr	1.379959325	0.161247384
Cd37	-1.864918965	0.167300587
Trpc6	0.842696371	0.167440492
Lst1	-1.988662437	0.167594697
Bcl6	1.478585875	0.170078349
Btg2	0.793116145	0.174151802
Mef2c	1.712212745	0.175742121
Syk	-1.429136006	0.176642885
Rab34	-0.732679953	0.17973277
Serpinb6a	0.579279944	0.18554694
Jun	0.517055295	0.190347124
Mgst1	-0.734697677	0.194774251
Abat	0.050246549	0.196676387
Tm6sf1	-0.456353908	0.19900429
Cysltr2	1.613018606	0.21143842
Il15	-1.227348975	0.211941521
Dhrs3	-1.035595834	0.218742691
Mef2c	0.738580783	0.223229691
Cxcl16	1.671595652	0.230679606
Tbc1d8	-0.125016114	0.234128515
Kcnip3	0.045927112	0.237144236
Casp12	2.909545484	0.246037649
Dsg2	-0.038693566	0.246864627
Dsg2	0.045428001	0.257055027
Slamf1	1.775977809	0.257236402
Mt1	0.04139081	0.260658993
Tgm2	0.803988218	0.262657582
Ddr1	0.042187094	0.263367118
Evc	0.037460332	0.273430902
Ppp1r16b	0.037346905	0.273849282
Pcdhb16	-0.043736724	0.2829115
Tgm2	0.53972419	0.286019067
Tc2n	-0.035357064	0.286676076
Bmpr1a	0.927187296	0.291476217
Rgn	0.033761022	0.305501729
Gipc2	0.752064989	0.306452243
Osmr	1.529758498	0.30692063
Itgb3	0.03396063	0.309559006
Evc	0.061060005	0.311523234
Nrk	-0.076610317	0.316166285
Dsg2	-0.089516963	0.329538713
Satb1	-0.188470299	0.337205825
Maf	0.028603437	0.355917659
Abcb1a	0.557625904	0.361127904
Bcl6	0.103148235	0.374010736
Stom	0.029938916	0.380567093
Gstm7	0.026681737	0.382755661
Jun	0.897955696	0.391514434
Acpp	0.025583421	0.393899118
Dnmt3b	0.656917807	0.395120281
Vwf	0.760477817	0.395954752
Tgm2	0.767571854	0.400839089
Stom	0.026393395	0.40377009
Mcm7	-0.654767513	0.40377009
Phactr1	0.119230916	0.414239764
Anxa6	-0.512466939	0.422914185
Klrb1b	-0.030224658	0.431202513
Dhx40	0.704323681	0.460993506
Serpinb8	0.214649712	0.471690901
Tm6sf1	-0.534559601	0.471902708
Slamf1	0.594443923	0.472896053
Prnp	0.380958801	0.47431319
Camk1d	-0.069660994	0.480172824
Tsc22d1	-0.042747101	0.484067504
Gpx3	0.022248154	0.484560666
Nrg4	0.227622563	0.486529723
Acsl4	0.020783122	0.487553269
Hnf4a	-0.31551716	0.488166714
Ddr1	0.311384996	0.502161332
Myo1e	1.146295564	0.509305349
Efna1	0.40604675	0.513204643
Art4	-0.681597797	0.514989933
Il1rapl2	0.303662058	0.515930067
Ptger4	0.461144057	0.524668122
Amotl2	0.194001985	0.524674374
Runx1t1	0.242794749	0.530206501
Cntn1	0.682629971	0.531853908
Pdgfd	-0.065657422	0.532960675
Runx1t1	0.702766418	0.534998427
Osmr	0.017672095	0.535660281
Ndrg1	0.017904382	0.537702938
Nckap1	0.419469635	0.537724629
Nrk	-0.286305565	0.541291926
Mmp14	-0.116217518	0.544330919
Tc2n	1.441904023	0.545213579
Ndn	0.017153067	0.547174708
Sfrp1	0.68531625	0.548320585
Tm4sf1	0.205989268	0.549636651
Chrna7	-0.339397851	0.554092007
Tmem176a	0.288822893	0.554657981
Sfrp1	0.33132223	0.560094322
Lsr	0.227956589	0.563300931
Jam2	0.111914565	0.574270387
Abca4	0.15840557	0.57495519
Rdh10	0.484736254	0.575797
Sfrp1	0.016820192	0.579869166
Tc2n	0.878055489	0.587160084
Arhgap29	0.519986124	0.587544693
Pclo	0.014812847	0.592179747
Tgm2	0.016079036	0.602615841
Syk	0.014684042	0.609443593
Il1rapl2	0.014074502	0.634914153
Gadd45g	0.518188007	0.63584775
Acpp	0.012593738	0.649848627
Cd34	-0.173983536	0.658621293
Ndn	0.012480251	0.662902341
Vmp1	-0.080054038	0.68086084
Rorc	0.011448833	0.681327628
Stxbp4	0.017478702	0.699529169
Tgm2	0.236363273	0.70726317
Slamf1	0.012750423	0.709708622
Ddr1	0.010892876	0.712707232
Rbpjl	0.011018725	0.718318202
B3galt1	0.00979309	0.731932603
Tnfsf10	0.009836851	0.740898477
Klrb1b	0.009158575	0.745989967
Stxbp4	-0.137819884	0.759407075
Id2	0.019995605	0.77898737
Jam2	0.008807493	0.779615598
Ddr1	0.070672201	0.782959144
Tox	0.00760216	0.79127088
Rorb	0.007050096	0.809115436
Abcb1b	-0.065400666	0.810079334
Rab34	-0.174522689	0.810376117
Mcm5	0.372836146	0.814926359
Ndn	0.046819556	0.816172573
Ptprk	-0.006761851	0.822447673
Hnf4a	0.008051217	0.82440986
Ndn	0.006481183	0.833818568
Ddr1	0.037618584	0.835807531
Myo1e	0.012461051	0.839511486
Sfrp1	0.075848064	0.84487824
Dnm3	-0.005902112	0.867120976
Zfp334	-0.005466934	0.872712498
Tgm2	-0.011672811	0.889957488
Hnf4a	0.004267469	0.892012692
Ddr1	0.003711351	0.905673259
Vldlr	-0.060245295	0.922254208
Lpl	-0.008148829	0.924974403
Kcnip3	-0.0052518	0.928753501
Cyyr1	-0.005016583	0.930766131
Myo1e	0.098159847	0.933770529
Trpc1	0.002984097	0.935635257
Abat	-0.003805181	0.935635257
Stom	-0.002127358	0.952695558
Rorc	0.002594374	0.95326191
Lamp2	-0.01813724	0.956837173
Cd86	-0.003268955	0.958785966
Dsg2	0.00160296	0.960134214
Cd38	0.001606466	0.961511479
B3galt1	-0.001694403	0.968615942
Rbpjl	0.001141041	0.971189166
Stom	-0.001782257	0.97148771
Mgst1	0.001314568	0.972916333
Ghr	0.001146125	0.974394239
Npdc1	-0.005045398	0.97663185
Pgr	0.000952126	0.981102743
Ntf3	-0.000506144	0.994926242
