external_gene_name	logFC	FDR
Mcm7	-0.512368318	0.641408262
Nt5c3	0.445367987	0.76315485
Clec1b	1.149519351	0.591430832
Art4	0.23743205	0.96806809
Dennd5b	0.685636745	0.151618344
Klrb1c	1.71529802	3.48E-07
Cd9	-0.007812616	0.998326261
Chrna7	-0.07645509	0.997572655
Nupr1	1.579603557	7.89E-06
Cd37	-0.527026463	0.520264268
Acsl4	0.299862028	0.947705361
Adgrg2	0.885701209	0.041738295
Col4a2	-0.674091132	0.054158448
Sfrp1	0.740330282	0.252316601
Il15	-0.842477564	0.118203839
Mmp2	-0.143420153	0.997572655
Mt2	2.055498091	0.00292589
Mt1	1.742664146	3.84E-06
Pgr	0.878275566	0.077706293
Ldhd	0.689251848	0.205408171
Trpc6	0.24886379	0.977378034
Pdgfd	0.606734018	0.559904941
Myo1e	0.510814691	0.391916098
Nrg4	0.698717246	0.090372705
Neo1	1.111001586	0.001406163
Plscr1	0.897903565	0.023086364
Plscr2	1.468573549	0.00010369
Amotl2	0.913182912	0.001807321
Acpp	0.625018255	0.258387198
Sbspon	2.466875615	3.48E-07
Trpc1	1.046677729	0.00052285
Clec1a	0.969389057	0.014965369
Lpar6	0.481679821	0.773492468
Ndn	0.125183121	0.997572655
Exoc6b	0.840166537	0.254660174
Zswim5	0.079960663	0.997572655
Lrrn1	0.464465913	0.951461681
B3galt1	-0.508881361	0.872150585
Rorb	0.905805681	0.04052793
Ppp1r16b	0.324154889	0.7840879
Tgm2	0.622952744	0.527427345
Plcl1	0.808043245	0.009186753
Tm6sf1	0.401902269	0.947705361
Pbx3	0.958007746	0.000398081
Gipc2	0.312003432	0.994455917
Camk1d	-0.169550938	0.995533545
Tnfsf10	0.654731834	0.290897213
Arhgap29	0.554621929	0.448117445
Ptger4	1.113292549	0.020494891
Dnm3	1.2024676	0.001897776
Gstm2	1.745558067	0.001897776
Abcb1a	0.315043536	0.925702346
Cyyr1	0.863772683	0.134893553
Tox	0.482855383	0.771174074
Fhdc1	0.769677756	0.014965369
Rassf4	-0.685745558	0.09336746
Asb4	-0.045661023	0.997572655
Muc1	1.286486185	0.29603703
Flt3	-1.030359823	0.001333902
Dsg2	0.80447117	0.18213255
Zfp36	0.224339382	0.988542218
Cavin2	1.004774078	0.016501552
Tmem215	1.297391407	0.025352567
Rhoj	0.388386411	0.726031887
Cldn12	0.364634712	0.822575248
Pcdhb16	0.940309626	0.01663194
Arhgap30	-0.41544954	0.750582243
Ntf3	1.84932271	0.131930299
Zg16	2.599980608	0.000108
Tacstd2	0.381550559	0.928069826
Cpne8	0.662110099	0.122826901
Jun	-0.239971533	0.994455917
Nrk	-1.164109672	0.014965369
Tdrd9	0.919707332	0.00267468
Cntn1	0.380256706	0.919804979
Maf	1.179932908	0.002038438
Ghr	0.751381091	0.186044893
Clca3a1	1.534362181	4.20E-08
Pla2g4a	0.486249083	0.559904941
Prtn3	0.67593274	0.496114609
Mab21l2	2.237604955	0.000818412
Abat	0.255109992	0.970443455
Gstm1	0.35718877	0.939432371
Il1rapl2	0.753748933	0.508910478
Serpinb6a	0.582033797	0.499833207
Prcp	0.631140031	0.38051139
Pclo	0.302715104	0.926873161
Cd200r4	0.149976477	0.997572655
Kdr	0.390662318	0.864395931
Cyp26b1	1.338519777	0.002777577
Dhrs3	0.554928514	0.588267845
Phf11d	1.297642745	0.026054805
Gm10419	1.300447473	1.69E-05
Lst1	-0.734594912	0.932126147
C4b	1.129004912	0.026054805
Thbd	0.496425931	0.731830414
Prnp	0.897685878	0.313503966
Kcnip3	0.530419637	0.615496633
Klrb1b	-0.479446471	0.988542218
