Gene	logFC	adj.P.Val
Tgm2	0.801473546	0.144794735
Tm6sf1	-0.801011683	0.018297694
Rbpjl	0.797807321	0.030459965
Rnase6	-0.792327732	0.048347047
Gadd45g	0.792092756	0.113232607
Kdr	0.783267543	0.066113325
Nckap1	0.77915963	0.011587747
Clec1b	0.771664598	0.028624023
Slc6a15	0.761959029	0.013134691
Ampd3	0.758584277	0.065093234
Pclo	0.723890782	0.045746384
Stxbp4	0.723509623	0.034205776
Lst1	-0.723026063	0.088215347
Cd86	-0.721734177	0.029505307
Cd37	-0.718890575	0.024927795
Abca4	0.716931025	0.028842302
Mmp2	-0.710607431	0.022393233
Arhgap29	0.709707424	0.007776162
Tox	0.705689429	0.270817166
Lsp1	-0.704331697	0.039544119
Arhgap30	-0.69704063	0.041036638
Thbd	0.695239105	0.128544418
Slc28a2	-0.692715825	0.025041374
Ndn	0.691890114	0.164146528
Gstm7	0.672259346	0.12059324
Meis2	0.671695806	0.233619759
Slamf1	0.658486977	0.040248248
Phactr1	0.656864536	0.044400504
Npdc1	0.655367781	0.049081581
Gabra4	0.655248724	0.066366051
Tnfsf10	0.654600365	0.039544119
Oxr1	0.651170278	0.056623175
Art4	0.650583792	0.108296007
Ndrg1	0.646503444	0.023656258
Cd9	0.641443793	0.025041374
Pla2g4a	0.632782084	0.014686857
Procr	0.631625288	0.487199205
Perp	0.628088894	0.112852029
Efna1	0.621173512	0.274756958
Ldhd	0.620863302	0.146133018
Lpar6	0.614819062	0.10495801
Ntf3	0.604314844	0.33887479
Abat	0.598724113	0.028975932
Ghr	0.596473638	0.10443707
Col4a2	-0.581915233	0.014060579
Exoc6b	0.580242687	0.340417913
Abcb1b	0.571001259	0.040262079
Cd200r4	0.569694967	0.201080199
Dhx40	0.563655793	0.008988539
Dennd5b	0.561840484	0.028842302
Rdh10	0.558850103	0.327005113
Acpp	0.553363791	0.063959057
Nt5c3	0.54731177	0.05068592
Amotl2	0.541148281	0.23539178
Evc	0.536347357	0.031249442
Plscr1	0.52903952	0.060707473
Rab34	0.528534049	0.249720032
Syk	-0.524770763	0.435074973
Cyp26b1	0.498444266	0.457530822
Runx1t1	0.494966542	0.310507898
Trpc6	0.485440536	0.045183667
Prnp	0.483137691	0.23659363
Plcl1	0.47846729	0.387816205
Tsc22d1	0.476190462	0.043473476
Ocln	0.471193057	0.101790432
Cntn1	0.470374074	0.068527822
Mmrn1	0.458992398	0.05068592
Tbc1d8	0.408708543	0.185279089
Dnmt3b	-0.406665617	0.097695524
Cldn12	0.391869262	0.433664699
Tmem176a	0.377706206	0.280217306
Antxr2	-0.354769972	0.125655638
Maf	0.344108022	0.357174133
Cytip	0.332229516	0.153497521
Gstm1	0.307444181	0.487477628
Mcm5	-0.284051213	0.458359076
Ly6e	0.275429662	0.153282536
Mcm7	-0.272877891	0.320162264
Lamp2	0.269489249	0.219653927
Camk1d	-0.211894728	0.591940403
Rgn	0.202728909	0.361420622
Ddr1	0.196663842	0.497117969
Mef2c	0.192877662	0.436772811
Vmp1	0.159477034	0.474933831
Mllt3	0.142499739	0.734528989
Acsl4	0.131563983	0.530757831
Cd63	0.123684344	0.691319211
Chrna7	0.048414739	0.883289402
Cyb561	0.035103728	0.950748302
Klrb1b	0.035069683	0.9252364
